Total,Has a computer,Has a computer With dial-up Internet subscription alone,Has a computer With a broadband Internet subscription,Has a computer Without an Internet subscription,Total No computer,id,Geographic Area Name
64954,57916,196,50531,7189,7038,8101,"Pueblo County, Colorado"
107929,102751,206,96263,6282,5178,8123,"Weld County, Colorado"
345634,325221,698,310128,14395,20413,9001,"Fairfield County, Connecticut"
348049,320183,739,297169,22275,27866,9003,"Hartford County, Connecticut"
73598,67520,228,62917,4375,6078,9005,"Litchfield County, Connecticut"
66983,62516,164,58736,3616,4467,9007,"Middlesex County, Connecticut"
335539,303843,935,280598,22310,31696,9009,"New Haven County, Connecticut"
108098,100040,214,94696,5130,8058,9011,"New London County, Connecticut"
55619,52027,201,48628,3198,3592,9013,"Tolland County, Connecticut"
44571,40500,166,37318,3016,4071,9015,"Windham County, Connecticut"
67841,60595,228,57421,2946,7246,10001,"Kent County, Delaware"
206351,196008,344,187641,8023,10343,10003,"New Castle County, Delaware"
93479,84814,213,77971,6630,8665,10005,"Sussex County, Delaware"
287476,266613,182,244913,21518,20863,11001,"District of Columbia, District of Columbia"
97782,93407,139,84455,8813,4375,12001,"Alachua County, Florida"
73856,68037,65,63684,4288,5819,12005,"Bay County, Florida"
226363,209537,797,199410,9330,16826,12009,"Brevard County, Florida"
694980,655599,1164,595375,59060,39381,12011,"Broward County, Florida"
74975,67947,183,64209,3555,7028,12015,"Charlotte County, Florida"
62293,57105,46,50992,6067,5188,12017,"Citrus County, Florida"
75958,73268,142,70205,2921,2690,12019,"Clay County, Florida"
144172,134294,188,122867,11239,9878,12021,"Collier County, Florida"
25678,24000,0,20518,3482,1678,12023,"Columbia County, Florida"
367238,342926,620,320444,21862,24312,12031,"Duval County, Florida"
118820,109334,273,98491,10570,9486,12033,"Escambia County, Florida"
41274,36375,0,30427,5948,4899,12035,"Flagler County, Florida"
76163,71041,199,65765,5077,5122,12053,"Hernando County, Florida"
40573,34959,117,31378,3464,5614,12055,"Highlands County, Florida"
540142,514288,389,477938,35961,25854,12057,"Hillsborough County, Florida"
57636,51246,118,46965,4163,6390,12061,"Indian River County, Florida"
136366,127494,278,120393,6823,8872,12069,"Lake County, Florida"
281222,264914,838,243916,20160,16308,12071,"Lee County, Florida"
