Total,Has a computer,Has a computer With dial-up Internet subscription alone,Has a computer With a broadband Internet subscription,Has a computer Without an Internet subscription,Total No computer,id,Geographic Area Name
66273,63305,218,60577,2510,2968,31153,"Sarpy County, Nebraska"
808605,755963,1956,685174,68833,52642,32003,"Clark County, Nevada"
185709,176054,297,162707,13050,9655,32031,"Washoe County, Nevada"
30208,27152,262,25510,1380,3056,33005,"Cheshire County, New Hampshire"
35394,32576,184,28726,3666,2818,33009,"Grafton County, New Hampshire"
161649,152929,794,145303,6832,8720,33011,"Hillsborough County, New Hampshire"
58521,55097,503,52251,2343,3424,33013,"Merrimack County, New Hampshire"
119467,114561,233,110152,4176,4906,33015,"Rockingham County, New Hampshire"
48393,45144,0,41423,3721,3249,33017,"Strafford County, New Hampshire"
96981,90877,219,83929,6729,6104,34001,"Atlantic County, New Jersey"
339953,318296,660,304655,12981,21657,34003,"Bergen County, New Jersey"
166698,156495,694,147919,7882,10203,34005,"Burlington County, New Jersey"
188840,172891,480,159891,12520,15949,34007,"Camden County, New Jersey"
39208,36467,0,34144,2323,2741,34009,"Cape May County, New Jersey"
50034,44617,262,40994,3361,5417,34011,"Cumberland County, New Jersey"
289921,266330,472,241865,23993,23591,34013,"Essex County, New Jersey"
101414,95140,140,91575,3425,6274,34015,"Gloucester County, New Jersey"
263924,246399,364,230930,15105,17525,34017,"Hudson County, New Jersey"
47733,45515,188,44005,1322,2218,34019,"Hunterdon County, New Jersey"
132980,124528,182,112661,11685,8452,34021,"Mercer County, New Jersey"
285480,269001,564,253974,14463,16479,34023,"Middlesex County, New Jersey"
236327,221863,531,210742,10590,14464,34025,"Monmouth County, New Jersey"
181738,172181,283,167392,4506,9557,34027,"Morris County, New Jersey"
228622,205540,827,188044,16669,23082,34029,"Ocean County, New Jersey"
169521,156615,75,142680,13860,12906,34031,"Passaic County, New Jersey"
23952,22042,29,20220,1793,1910,34033,"Salem County, New Jersey"
118729,114618,204,110980,3434,4111,34035,"Somerset County, New Jersey"
53749,51259,142,49712,1405,2490,34037,"Sussex County, New Jersey"
192021,174469,363,163249,10857,17552,34039,"Union County, New Jersey"
41742,37737,62,35674,2001,4005,34041,"Warren County, New Jersey"
270655,250248,649,219773,29826,20407,35001,"Bernalillo County, New Mexico"
22616,19376,203,16088,3085,3240,35005,"Chaves County, New Mexico"
80409,70212,175,54923,15114,10197,35013,"Doña Ana County, New Mexico"
23215,21057,0,18652,2405,2158,35025,"Lea County, New Mexico"
21449,13598,519,9456,3623,7851,35031,"McKinley County, New Mexico"
23747,21840,148,19282,2410,1907,35035,"Otero County, New Mexico"
53996,48489,285,44985,3219,5507,35043,"Sandoval County, New Mexico"
43707,36996,155,31089,5752,6711,35045,"San Juan County, New Mexico"
62707,55119,214,51018,3887,7588,35049,"Santa Fe County, New Mexico"
28379,25003,38,21123,3842,3376,35061,"Valencia County, New Mexico"
126578,114748,498,107180,7070,11830,36001,"Albany County, New York"
507370,449984,1002,389784,59198,57386,36005,"Bronx County, New York"
75539,68759,176,63864,4719,6780,36007,"Broome County, New York"
32079,26799,61,24076,2662,5280,36009,"Cattaraugus County, New York"
30083,26806,89,24363,2354,3277,36011,"Cayuga County, New York"
53429,46451,421,41739,4291,6978,36013,"Chautauqua County, New York"
34325,30456,45,27975,2436,3869,36015,"Chemung County, New York"
31392,28840,146,26575,2119,2552,36019,"Clinton County, New York"
108071,101278,219,95448,5611,6793,36027,"Dutchess County, New York"
390341,349864,1159,326751,21954,40477,36029,"Erie County, New York"
44657,40785,92,37712,2981,3872,36045,"Jefferson County, New York"
969317,862989,1015,790232,71742,106328,36047,"Kings County, New York"
23746,21860,102,20381,1377,1886,36051,"Livingston County, New York"
26127,23602,42,22398,1162,2525,36053,"Madison County, New York"
301668,275770,1147,258843,15780,25898,36055,"Monroe County, New York"
447123,421870,515,403884,17471,25253,36059,"Nassau County, New York"
752258,695861,668,651863,43330,56397,36061,"New York County, New York"
89765,79356,458,72431,6467,10409,36063,"Niagara County, New York"
88871,79346,152,74875,4319,9525,36065,"Oneida County, New York"
185046,163493,291,146259,16943,21553,36067,"Onondaga County, New York"
44079,40692,40,38537,2115,3387,36069,"Ontario County, New York"
128259,116218,222,107403,8593,12041,36071,"Orange County, New York"
46270,41390,458,38780,2152,4880,36075,"Oswego County, New York"
35425,33517,0,32386,1131,1908,36079,"Putnam County, New York"
788110,727774,935,671403,55436,60336,36081,"Queens County, New York"
64614,60061,504,56808,2749,4553,36083,"Rensselaer County, New York"
167441,153692,272,138554,14866,13749,36085,"Richmond County, New York"
99502,88477,163,84365,3949,11025,36087,"Rockland County, New York"
41680,36032,157,33319,2556,5648,36089,"St. Lawrence County, New York"
94156,88679,200,84010,4469,5477,36091,"Saratoga County, New York"
55262,50432,52,46514,3866,4830,36093,"Schenectady County, New York"
40578,35590,182,32423,2985,4988,36101,"Steuben County, New York"
496784,467856,848,446551,20457,28928,36103,"Suffolk County, New York"
28900,25630,154,23324,2152,3270,36105,"Sullivan County, New York"
40250,38483,90,34835,3558,1767,36109,"Tompkins County, New York"
69154,64596,393,60576,3627,4558,36111,"Ulster County, New York"
28007,24347,64,22270,2013,3660,36113,"Warren County, New York"
35927,31970,76,29922,1972,3957,36117,"Wayne County, New York"
352498,327815,399,308215,19201,24683,36119,"Westchester County, New York"
64700,57378,104,50922,6352,7322,37001,"Alamance County, North Carolina"
56752,53603,17,51868,1718,3149,37019,"Brunswick County, North Carolina"
108411,96027,147,89428,6452,12384,37021,"Buncombe County, North Carolina"
36157,31861,137,26489,5235,4296,37023,"Burke County, North Carolina"
73751,70142,203,67089,2850,3609,37025,"Cabarrus County, North Carolina"
31544,27293,37,25295,1961,4251,37027,"Caldwell County, North Carolina"
28720,26753,61,25165,1527,1967,37031,"Carteret County, North Carolina"
62861,56607,201,52316,4090,6254,37035,"Catawba County, North Carolina"
28343,25874,81,22385,3408,2469,37037,"Chatham County, North Carolina"
34574,28405,118,22583,5704,6169,37045,"Cleveland County, North Carolina"
40412,37486,45,34705,2736,2926,37049,"Craven County, North Carolina"
127911,117600,214,110599,6787,10311,37051,"Cumberland County, North Carolina"
68761,61118,159,54408,6551,7643,37057,"Davidson County, North Carolina"
127527,121670,66,113793,7811,5857,37063,"Durham County, North Carolina"
150437,138253,316,120350,17587,12184,37067,"Forsyth County, North Carolina"
26380,23339,204,21835,1300,3041,37069,"Franklin County, North Carolina"
84999,75886,197,69899,5790,9113,37071,"Gaston County, North Carolina"
209842,189359,258,170171,18930,20483,37081,"Guilford County, North Carolina"
46015,42502,92,36604,5806,3513,37085,"Harnett County, North Carolina"
49514,44766,120,41771,2875,4748,37089,"Henderson County, North Carolina"
68328,62711,133,58820,3758,5617,37097,"Iredell County, North Carolina"
70001,64027,253,53951,9823,5974,37101,"Johnston County, North Carolina"
34233,31886,98,30461,1327,2347,37109,"Lincoln County, North Carolina"
418135,400351,297,376393,23661,17784,37119,"Mecklenburg County, North Carolina"
40756,36601,272,34469,1860,4155,37125,"Moore County, North Carolina"
37767,33542,157,30468,2917,4225,37127,"Nash County, North Carolina"
98151,93018,160,85113,7745,5133,37129,"New Hanover County, North Carolina"
66834,64394,162,60712,3520,2440,37133,"Onslow County, North Carolina"
53959,50631,164,46905,3562,3328,37135,"Orange County, North Carolina"
69288,62255,0,56980,5275,7033,37147,"Pitt County, North Carolina"
54783,49837,212,43606,6019,4946,37151,"Randolph County, North Carolina"
46026,38868,122,30065,8681,7158,37155,"Robeson County, North Carolina"
37476,28486,72,24796,3618,8990,37157,"Rockingham County, North Carolina"
53806,47046,103,43499,3444,6760,37159,"Rowan County, North Carolina"
26305,22134,88,19054,2992,4171,37161,"Rutherford County, North Carolina"
29230,23524,209,17207,6108,5706,37171,"Surry County, North Carolina"
77696,73978,57,71702,2219,3718,37179,"Union County, North Carolina"
408473,396038,52,375788,20198,12435,37183,"Wake County, North Carolina"
49019,42724,54,39408,3262,6295,37191,"Wayne County, North Carolina"
30123,25891,64,23107,2720,4232,37193,"Wilkes County, North Carolina"
31817,26628,101,23778,2749,5189,37195,"Wilson County, North Carolina"
40736,37729,198,33302,4229,3007,38015,"Burleigh County, North Dakota"
74343,69466,9,63085,6372,4877,38017,"Cass County, North Dakota"
30916,28146,0,24318,3828,2770,38035,"Grand Forks County, North Dakota"
27887,24927,64,22659,2204,2960,38101,"Ward County, North Dakota"
41204,36955,32,34687,2236,4249,39003,"Allen County, Ohio"
35445,29614,359,27208,2047,5831,39007,"Ashtabula County, Ohio"
22533,19965,0,17974,1991,2568,39009,"Athens County, Ohio"
24742,20117,90,18092,1935,4625,39013,"Belmont County, Ohio"
143040,132630,303,124478,7849,10410,39017,"Butler County, Ohio"
55327,50284,224,47401,2659,5043,39023,"Clark County, Ohio"
77920,72215,388,67891,3936,5705,39025,"Clermont County, Ohio"
41884,36332,173,33758,2401,5552,39029,"Columbiana County, Ohio"
542122,484796,1982,439928,42886,57326,39035,"Cuyahoga County, Ohio"
70501,69078,299,67402,1377,1423,39041,"Delaware County, Ohio"
31675,28788,301,24292,4195,2887,39043,"Erie County, Ohio"
55934,51556,191,46951,4414,4378,39045,"Fairfield County, Ohio"
519468,487921,541,454906,32474,31547,39049,"Franklin County, Ohio"
35387,31533,95,29326,2112,3854,39055,"Geauga County, Ohio"
66053,61005,0,58193,2812,5048,39057,"Greene County, Ohio"
344562,314575,915,296562,17098,29987,39061,"Hamilton County, Ohio"
31606,29276,160,27628,1488,2330,39063,"Hancock County, Ohio"
27292,22011,31,20773,1207,5281,39081,"Jefferson County, Ohio"
96577,90290,287,84384,5619,6287,39085,"Lake County, Ohio"
62237,57298,152,53992,3154,4939,39089,"Licking County, Ohio"
121344,113148,670,97161,15317,8196,39093,"Lorain County, Ohio"
178289,161733,332,148043,13358,16556,39095,"Lucas County, Ohio"
97365,86026,273,79947,5806,11339,39099,"Mahoning County, Ohio"
24205,21948,7,19398,2543,2257,39101,"Marion County, Ohio"
70609,66715,113,61580,5022,3894,39103,"Medina County, Ohio"
41148,37220,253,35426,1541,3928,39109,"Miami County, Ohio"
224225,203538,397,190654,12487,20687,39113,"Montgomery County, Ohio"
34471,30345,13,27610,2722,4126,39119,"Muskingum County, Ohio"
60801,55835,98,50763,4974,4966,39133,"Portage County, Ohio"
48105,40628,233,38061,2334,7477,39139,"Richland County, Ohio"
29779,26239,0,23322,2917,3540,39141,"Ross County, Ohio"
28719,25187,46,22976,2165,3532,39145,"Scioto County, Ohio"
152210,136562,143,126883,9536,15648,39151,"Stark County, Ohio"
226243,205924,775,193666,11483,20319,39153,"Summit County, Ohio"
83303,72800,146,66889,5765,10503,39155,"Trumbull County, Ohio"
36740,32281,137,28876,3268,4459,39157,"Tuscarawas County, Ohio"
83540,80591,68,77296,3227,2949,39165,"Warren County, Ohio"
43908,37666,255,35281,2130,6242,39169,"Wayne County, Ohio"
50694,47790,168,43265,4357,2904,39173,"Wood County, Ohio"
45344,42784,55,41170,1559,2560,40017,"Canadian County, Oklahoma"
110775,104885,288,96380,8217,5890,40027,"Cleveland County, Oklahoma"
42489,39368,54,37090,2224,3121,40031,"Comanche County, Oklahoma"
26957,24167,74,21086,3007,2790,40037,"Creek County, Oklahoma"
26566,22845,90,19229,3526,3721,40101,"Muskogee County, Oklahoma"
302645,277983,538,255036,22409,24662,40109,"Oklahoma County, Oklahoma"
30734,28837,84,25266,3487,1897,40119,"Payne County, Oklahoma"
26714,23730,165,21503,2062,2984,40125,"Pottawatomie County, Oklahoma"
35254,33299,121,29061,4117,1955,40131,"Rogers County, Oklahoma"
250492,232795,462,215279,17054,17697,40143,"Tulsa County, Oklahoma"
30186,28356,63,26636,1657,1830,40145,"Wagoner County, Oklahoma"
35520,34172,94,32898,1180,1348,41003,"Benton County, Oregon"
158749,151173,499,140697,9977,7576,41005,"Clackamas County, Oregon"
79950,76811,182,70278,6351,3139,41017,"Deschutes County, Oregon"
45647,41312,481,37877,2954,4335,41019,"Douglas County, Oregon"
89787,85224,674,76816,7734,4563,41029,"Jackson County, Oregon"
37059,34437,214,29715,4508,2622,41033,"Josephine County, Oregon"
26798,24545,48,22135,2362,2253,41035,"Klamath County, Oregon"
156072,147852,588,138334,8930,8220,41039,"Lane County, Oregon"
48464,45112,257,41255,3600,3352,41043,"Linn County, Oregon"
119511,113504,743,102302,10459,6007,41047,"Marion County, Oregon"
330223,313993,406,296156,17431,16230,41051,"Multnomah County, Oregon"
31218,29947,146,28343,1458,1271,41053,"Polk County, Oregon"
26048,23525,49,21109,2367,2523,41059,"Umatilla County, Oregon"
225955,219361,546,208240,10575,6594,41067,"Washington County, Oregon"
37235,34198,185,30944,3069,3037,41071,"Yamhill County, Oregon"
39570,35438,613,33163,1662,4132,42001,"Adams County, Pennsylvania"
543369,492748,712,467534,24502,50621,42003,"Allegheny County, Pennsylvania"
27332,23305,192,21200,1913,4027,42005,"Armstrong County, Pennsylvania"
73059,65150,321,60394,4435,7909,42007,"Beaver County, Pennsylvania"
157006,140835,808,129236,10791,16171,42011,"Berks County, Pennsylvania"
51096,44563,52,41176,3335,6533,42013,"Blair County, Pennsylvania"
239962,224426,395,214718,9313,15536,42017,"Bucks County, Pennsylvania"
77764,69909,390,66371,3148,7855,42019,"Butler County, Pennsylvania"
56483,47274,223,43357,3694,9209,42021,"Cambria County, Pennsylvania"
25177,22212,27,20603,1582,2965,42025,"Carbon County, Pennsylvania"
58514,54021,374,49169,4478,4493,42027,"Centre County, Pennsylvania"
192746,181591,535,172836,8220,11155,42029,"Chester County, Pennsylvania"
31992,27618,260,24729,2629,4374,42033,"Clearfield County, Pennsylvania"
26655,23104,192,20825,2087,3551,42037,"Columbia County, Pennsylvania"
34386,30534,344,28073,2117,3852,42039,"Crawford County, Pennsylvania"
102243,93642,460,87872,5310,8601,42041,"Cumberland County, Pennsylvania"
112559,100349,472,92363,7514,12210,42043,"Dauphin County, Pennsylvania"
207499,192335,320,181703,10312,15164,42045,"Delaware County, Pennsylvania"
109797,99226,1024,91253,6949,10571,42049,"Erie County, Pennsylvania"
56085,46577,267,42748,3562,9508,42051,"Fayette County, Pennsylvania"
59834,52587,615,47604,4368,7247,42055,"Franklin County, Pennsylvania"
33098,28166,203,25832,2131,4932,42063,"Indiana County, Pennsylvania"
88268,78054,778,72793,4483,10214,42069,"Lackawanna County, Pennsylvania"
202490,178584,983,162737,14864,23906,42071,"Lancaster County, Pennsylvania"
37497,33138,114,30908,2116,4359,42073,"Lawrence County, Pennsylvania"
54522,48370,307,46606,1457,6152,42075,"Lebanon County, Pennsylvania"
138586,125750,386,117228,8136,12836,42077,"Lehigh County, Pennsylvania"
128301,111582,1072,103496,7014,16719,42079,"Luzerne County, Pennsylvania"
44585,39568,379,36172,3017,5017,42081,"Lycoming County, Pennsylvania"
46809,40032,291,37357,2384,6777,42085,"Mercer County, Pennsylvania"
55109,51142,308,47731,3103,3967,42089,"Monroe County, Pennsylvania"
313336,297278,403,285425,11450,16058,42091,"Montgomery County, Pennsylvania"
114996,103676,203,96115,7358,11320,42095,"Northampton County, Pennsylvania"
38816,32302,215,29961,2126,6514,42097,"Northumberland County, Pennsylvania"
608233,535555,1145,478499,55911,72678,42101,"Philadelphia County, Pennsylvania"
58458,48816,127,44554,4135,9642,42107,"Schuylkill County, Pennsylvania"
28796,23338,151,21081,2106,5458,42111,"Somerset County, Pennsylvania"
85835,76469,588,71892,3989,9366,42125,"Washington County, Pennsylvania"
150368,134120,675,124986,8459,16248,42129,"Westmoreland County, Pennsylvania"
173958,157877,952,144360,12565,16081,42133,"York County, Pennsylvania"
69115,62650,70,58644,3936,6465,44003,"Kent County, Rhode Island"
34316,31736,193,29963,1580,2580,44005,"Newport County, Rhode Island"
237038,207634,289,193249,14096,29404,44007,"Providence County, Rhode Island"
47680,45424,65,44133,1226,2256,44009,"Washington County, Rhode Island"
68609,61741,278,56142,5321,6868,45003,"Aiken County, South Carolina"
78500,70796,84,63202,7510,7704,45007,"Anderson County, South Carolina"
74679,71091,39,66885,4167,3588,45013,"Beaufort County, South Carolina"
78168,72804,79,64857,7868,5364,45015,"Berkeley County, South Carolina"
160457,151084,236,133287,17561,9373,45019,"Charleston County, South Carolina"
25308,19772,92,15596,4084,5536,45031,"Darlington County, South Carolina"
55799,53575,7,48338,5230,2224,45035,"Dorchester County, South Carolina"
50518,44153,77,36158,7918,6365,45041,"Florence County, South Carolina"
192556,176584,400,165260,10924,15972,45045,"Greenville County, South Carolina"
27962,23532,124,20859,2549,4430,45047,"Greenwood County, South Carolina"
131180,122384,763,109307,12314,8796,45051,"Horry County, South Carolina"
24756,22514,0,21068,1446,2242,45055,"Kershaw County, South Carolina"
35710,32816,260,30077,2479,2894,45057,"Lancaster County, South Carolina"
25423,20856,37,18699,2120,4567,45059,"Laurens County, South Carolina"
115566,106203,24,99979,6200,9363,45063,"Lexington County, South Carolina"
31612,26826,48,23196,3582,4786,45073,"Oconee County, South Carolina"
33561,28506,183,23930,4393,5055,45075,"Orangeburg County, South Carolina"
48185,42948,286,37553,5109,5237,45077,"Pickens County, South Carolina"
152227,143986,0,128733,15253,8241,45079,"Richland County, South Carolina"
116018,103498,327,93689,9482,12520,45083,"Spartanburg County, South Carolina"
40396,35352,46,31707,3599,5044,45085,"Sumter County, South Carolina"
100623,94575,46,88906,5623,6048,45091,"York County, South Carolina"
76630,71368,0,65721,5647,5262,46099,"Minnehaha County, South Dakota"
44794,40973,10,37097,3866,3821,46103,"Pennington County, South Dakota"
29505,26829,124,24865,1840,2676,47001,"Anderson County, Tennessee"
51446,46314,166,41782,4366,5132,47009,"Blount County, Tennessee"
39104,34702,266,31809,2627,4402,47011,"Bradley County, Tennessee"
283445,266714,187,253171,13356,16731,47037,"Davidson County, Tennessee"
27316,23846,0,21332,2514,3470,47059,"Greene County, Tennessee"
146057,132588,167,124129,8292,13469,47065,"Hamilton County, Tennessee"
185416,170004,95,155426,14483,15412,47093,"Knox County, Tennessee"
39223,35486,0,32866,2620,3737,47113,"Madison County, Tennessee"
34361,31470,53,28962,2455,2891,47119,"Maury County, Tennessee"
72973,69879,329,66103,3447,3094,47125,"Montgomery County, Tennessee"
33388,30404,0,27272,3132,2984,47141,"Putnam County, Tennessee"
26375,24237,54,22698,1485,2138,47147,"Robertson County, Tennessee"
115376,109975,185,103156,6634,5401,47149,"Rutherford County, Tennessee"
36861,33051,91,29896,3064,3810,47155,"Sevier County, Tennessee"
352648,299329,1194,266303,31832,53319,47157,"Shelby County, Tennessee"
64504,56805,56,51466,5283,7699,47163,"Sullivan County, Tennessee"
68439,63714,0,60564,3150,4725,47165,"Sumner County, Tennessee"
54433,48983,149,44183,4651,5450,47179,"Washington County, Tennessee"
80601,78435,0,76653,1782,2166,47187,"Williamson County, Tennessee"
52489,49222,10,44710,4502,3267,47189,"Wilson County, Tennessee"
29898,27305,21,25751,1533,2593,48005,"Angelina County, Texas"
25334,22616,0,21117,1499,2718,48021,"Bastrop County, Texas"
123188,113934,169,106185,7580,9254,48027,"Bell County, Texas"
644193,599824,461,531028,68335,44369,48029,"Bexar County, Texas"
35228,28762,13,25540,3209,6466,48037,"Bowie County, Texas"
120802,112721,35,107879,4807,8081,48039,"Brazoria County, Texas"
81030,77581,0,67839,9742,3449,48041,"Brazos County, Texas"
124812,103473,39,68239,35195,21339,48061,"Cameron County, Texas"
344824,339237,482,322837,15918,5587,48085,"Collin County, Texas"
53182,50023,172,47521,2330,3159,48091,"Comal County, Texas"
21491,19416,22,18120,1274,2075,48099,"Coryell County, Texas"
937438,857816,954,768840,88022,79622,48113,"Dallas County, Texas"
297899,291597,114,278643,12840,6302,48121,"Denton County, Texas"
54326,50290,0,44882,5408,4036,48135,"Ector County, Texas"
58633,56550,120,53873,2557,2083,48139,"Ellis County, Texas"
270160,242853,463,211900,30490,27307,48141,"El Paso County, Texas"
245410,238410,535,227570,10305,7000,48157,"Fort Bend County, Texas"
121976,113916,880,105769,7267,8060,48167,"Galveston County, Texas"
48963,45238,156,34328,10754,3725,48181,"Grayson County, Texas"
45513,41130,0,37492,3638,4383,48183,"Gregg County, Texas"
54789,51249,103,48377,2769,3540,48187,"Guadalupe County, Texas"
1600357,1494324,1724,1373187,119413,106033,48201,"Harris County, Texas"
22928,19904,0,14703,5201,3024,48203,"Harrison County, Texas"
75164,72177,0,66294,5883,2987,48209,"Hays County, Texas"
30843,26604,0,24659,1945,4239,48213,"Henderson County, Texas"
237323,199322,240,159621,39461,38001,48215,"Hidalgo County, Texas"
34132,31608,53,27967,3588,2524,48231,"Hunt County, Texas"
90839,81520,83,70083,11354,9319,48245,"Jefferson County, Texas"
59180,55953,142,52910,2901,3227,48251,"Johnson County, Texas"
39049,35515,0,31370,4145,3534,48257,"Kaufman County, Texas"
27468,23281,0,21422,1859,4187,48291,"Liberty County, Texas"
115686,107416,111,93963,13342,8270,48303,"Lubbock County, Texas"
92158,81549,303,73029,8217,10609,48309,"McLennan County, Texas"
57636,54356,0,49309,5047,3280,48329,"Midland County, Texas"
202797,195652,162,185554,9936,7145,48339,"Montgomery County, Texas"
23442,20500,15,18401,2084,2942,48347,"Nacogdoches County, Texas"
129987,116753,216,108097,8440,13234,48355,"Nueces County, Texas"
30047,26975,0,25591,1384,3072,48361,"Orange County, Texas"
46238,43889,0,39145,4744,2349,48367,"Parker County, Texas"
45550,40998,0,34787,6211,4552,48375,"Potter County, Texas"
49457,47611,44,44903,2664,1846,48381,"Randall County, Texas"
34590,33925,0,33197,728,665,48397,"Rockwall County, Texas"
22202,19129,0,16756,2373,3073,48409,"San Patricio County, Texas"
77330,72904,22,65461,7421,4426,48423,"Smith County, Texas"
722473,693257,893,651809,40555,29216,48439,"Tarrant County, Texas"
49811,45743,0,41157,4586,4068,48441,"Taylor County, Texas"
43301,39763,40,34185,5538,3538,48451,"Tom Green County, Texas"
486548,471154,580,443066,27508,15394,48453,"Travis County, Texas"
31918,27337,0,22035,5302,4581,48469,"Victoria County, Texas"
22693,20669,74,18715,1880,2024,48471,"Walker County, Texas"
75300,64670,89,53106,11475,10630,48479,"Webb County, Texas"
46757,42316,232,37449,4635,4441,48485,"Wichita County, Texas"
185345,180719,217,172745,7757,4626,48491,"Williamson County, Texas"
22864,21496,9,18619,2868,1368,48497,"Wise County, Texas"
39224,37929,0,34836,3093,1295,49005,"Cache County, Utah"
104462,102241,239,96774,5228,2221,49011,"Davis County, Utah"
381831,367385,1059,344570,21756,14446,49035,"Salt Lake County, Utah"
20411,19426,112,18512,802,985,49045,"Tooele County, Utah"
171117,168065,324,153274,14467,3052,49049,"Utah County, Utah"
59863,57202,182,53047,3973,2661,49053,"Washington County, Utah"
85615,81465,195,77091,4179,4150,49057,"Weber County, Utah"
66095,62458,90,56053,6315,3637,50007,"Chittenden County, Vermont"
41956,39870,171,37067,2632,2086,51003,"Albemarle County, Virginia"
109940,104636,438,99900,4298,5304,51013,"Arlington County, Virginia"
29783,26307,94,22889,3324,3476,51015,"Augusta County, Virginia"
31271,28393,448,25966,1979,2878,51019,"Bedford County, Virginia"
126748,120585,180,115873,4532,6163,51041,"Chesterfield County, Virginia"
396628,386510,320,377254,8936,10118,51059,"Fairfax County, Virginia"
25134,24030,75,23194,761,1104,51061,"Fauquier County, Virginia"
31551,28700,39,26757,1904,2851,51069,"Frederick County, Virginia"
39929,37442,71,35096,2275,2487,51085,"Hanover County, Virginia"
129408,120960,360,114521,6079,8448,51087,"Henrico County, Virginia"
29849,28792,157,24564,4071,1057,51095,"James City County, Virginia"
133417,130543,238,126973,3332,2874,51107,"Loudoun County, Virginia"
34585,31920,0,30085,1835,2665,51121,"Montgomery County, Virginia"
143861,140592,107,137529,2956,3269,51153,"Prince William County, Virginia"
38061,34723,193,31662,2868,3338,51161,"Roanoke County, Virginia"
31462,27907,123,24798,2986,3555,51165,"Rockingham County, Virginia"
45223,43649,138,40952,2559,1574,51177,"Spotsylvania County, Virginia"
48418,47386,133,46197,1056,1032,51179,"Stafford County, Virginia"
24996,23411,0,21465,1946,1585,51199,"York County, Virginia"
71740,67628,0,65929,1699,4112,51510,"Alexandria city, Virginia"
86122,81630,0,78621,3009,4492,51550,"Chesapeake city, Virginia"
54800,49821,137,42125,7559,4979,51650,"Hampton city, Virginia"
28500,25520,84,23660,1776,2980,51680,"Lynchburg city, Virginia"
71291,64875,179,45038,19658,6416,51700,"Newport News city, Virginia"
89338,82739,210,75564,6965,6599,51710,"Norfolk city, Virginia"
34578,31268,177,28469,2622,3310,51740,"Portsmouth city, Virginia"
91359,82121,34,71111,10976,9238,51760,"Richmond city, Virginia"
41353,34696,28,30224,4444,6657,51770,"Roanoke city, Virginia"
34890,31615,56,28164,3395,3275,51800,"Suffolk city, Virginia"
172183,165042,70,156919,8053,7141,51810,"Virginia Beach city, Virginia"
71921,67784,249,61743,5792,4137,53005,"Benton County, Washington"
31587,29379,0,26282,3097,2208,53007,"Chelan County, Washington"
33265,29950,203,29011,736,3315,53009,"Clallam County, Washington"
178980,170753,739,163346,6668,8227,53011,"Clark County, Washington"
43279,39444,45,35953,3446,3835,53015,"Cowlitz County, Washington"
27067,25754,29,24517,1208,1313,53021,"Franklin County, Washington"
30806,28090,43,26623,1424,2716,53025,"Grant County, Washington"
27674,25017,85,23042,1890,2657,53027,"Grays Harbor County, Washington"
34572,32839,244,31322,1273,1733,53029,"Island County, Washington"
897476,861049,1569,824588,34892,36427,53033,"King County, Washington"
105411,100844,449,96965,3430,4567,53035,"Kitsap County, Washington"
30327,27838,94,25829,1915,2489,53041,"Lewis County, Washington"
25864,24049,28,22812,1209,1815,53045,"Mason County, Washington"
328519,312005,498,290968,20539,16514,53053,"Pierce County, Washington"
48474,45616,152,43293,2171,2858,53057,"Skagit County, Washington"
300215,290008,422,277806,11780,10207,53061,"Snohomish County, Washington"
206191,192835,301,183332,9202,13356,53063,"Spokane County, Washington"
110713,103987,359,97646,5982,6726,53067,"Thurston County, Washington"
87080,81642,61,75443,6138,5438,53073,"Whatcom County, Washington"
83320,75971,307,69122,6542,7349,53077,"Yakima County, Washington"
45800,41923,100,37759,4064,3877,54003,"Berkeley County, West Virginia"
38024,33876,148,29796,3932,4148,54011,"Cabell County, West Virginia"
26878,23580,0,20687,2893,3298,54033,"Harrison County, West Virginia"
78482,69409,254,61482,7673,9073,54039,"Kanawha County, West Virginia"
40603,38391,177,36205,2009,2212,54061,"Monongalia County, West Virginia"
31169,25671,97,22303,3271,5498,54081,"Raleigh County, West Virginia"
36064,31406,204,28228,2974,4658,54107,"Wood County, West Virginia"
104470,95538,542,89090,5906,8932,55009,"Brown County, Wisconsin"
226350,215750,1363,200875,13512,10600,55025,"Dane County, Wisconsin"
35221,31602,127,30062,1413,3619,55027,"Dodge County, Wisconsin"
40421,37594,109,35630,1855,2827,55035,"Eau Claire County, Wisconsin"
41009,35818,129,33418,2271,5191,55039,"Fond du Lac County, Wisconsin"
33180,30745,183,28310,2252,2435,55055,"Jefferson County, Wisconsin"
62950,58007,158,55043,2806,4943,55059,"Kenosha County, Wisconsin"
47924,43985,296,40767,2922,3939,55063,"La Crosse County, Wisconsin"
35259,31284,75,29359,1850,3975,55071,"Manitowoc County, Wisconsin"
56245,50454,644,46579,3231,5791,55073,"Marathon County, Wisconsin"
384281,335706,919,303335,31452,48575,55079,"Milwaukee County, Wisconsin"
74603,69102,164,65088,3850,5501,55087,"Outagamie County, Wisconsin"
36261,33801,146,32017,1638,2460,55089,"Ozaukee County, Wisconsin"
29193,26564,42,25205,1317,2629,55097,"Portage County, Wisconsin"
76808,70954,216,66216,4522,5854,55101,"Racine County, Wisconsin"
64632,58315,411,54164,3740,6317,55105,"Rock County, Wisconsin"
34422,31835,205,29498,2132,2587,55109,"St. Croix County, Wisconsin"
46308,41881,57,39882,1942,4427,55117,"Sheboygan County, Wisconsin"
