"B01003_001E","B01003_001M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","id","Geographic Area Name"
"1436888","*****","0500000US12057","Hillsborough County, Florida"
"157413","*****","0500000US12061","Indian River County, Florida"
"356495","*****","0500000US12069","Lake County, Florida"
"754610","*****","0500000US12071","Lee County, Florida"
"292502","*****","0500000US12073","Leon County, Florida"
"394855","*****","0500000US12081","Manatee County, Florida"
"359977","*****","0500000US12083","Marion County, Florida"
"160912","*****","0500000US12085","Martin County, Florida"
"2761581","*****","0500000US12086","Miami-Dade County, Florida"
"75027","*****","0500000US12087","Monroe County, Florida"
"85832","*****","0500000US12089","Nassau County, Florida"
"207269","*****","0500000US12091","Okaloosa County, Florida"
"1380645","*****","0500000US12095","Orange County, Florida"
"367990","*****","0500000US12097","Osceola County, Florida"
"1485941","*****","0500000US12099","Palm Beach County, Florida"
"539630","*****","0500000US12101","Pasco County, Florida"
"975280","*****","0500000US12103","Pinellas County, Florida"
"708009","*****","0500000US12105","Polk County, Florida"
"74163","*****","0500000US12107","Putnam County, Florida"
"254261","*****","0500000US12109","St. Johns County, Florida"
"321128","*****","0500000US12111","St. Lucie County, Florida"
"179349","*****","0500000US12113","Santa Rosa County, Florida"
"426718","*****","0500000US12115","Sarasota County, Florida"
"467832","*****","0500000US12117","Seminole County, Florida"
"128754","*****","0500000US12119","Sumter County, Florida"
"547538","*****","0500000US12127","Volusia County, Florida"
"71375","*****","0500000US12131","Walton County, Florida"
"80809","*****","0500000US13013","Barrow County, Georgia"
"106408","*****","0500000US13015","Bartow County, Georgia"
"153095","*****","0500000US13021","Bibb County, Georgia"
"77296","*****","0500000US13031","Bulloch County, Georgia"
"118121","*****","0500000US13045","Carroll County, Georgia"
"67420","*****","0500000US13047","Catoosa County, Georgia"
"289195","*****","0500000US13051","Chatham County, Georgia"
"254149","*****","0500000US13057","Cherokee County, Georgia"
"127330","*****","0500000US13059","Clarke County, Georgia"
"289615","*****","0500000US13063","Clayton County, Georgia"
"756865","*****","0500000US13067","Cobb County, Georgia"
"154291","*****","0500000US13073","Columbia County, Georgia"
"145864","*****","0500000US13077","Coweta County, Georgia"
"756558","*****","0500000US13089","DeKalb County, Georgia"
"91243","*****","0500000US13095","Dougherty County, Georgia"
"145331","*****","0500000US13097","Douglas County, Georgia"
"113459","*****","0500000US13113","Fayette County, Georgia"
"97927","*****","0500000US13115","Floyd County, Georgia"
"236612","*****","0500000US13117","Forsyth County, Georgia"
"1050114","*****","0500000US13121","Fulton County, Georgia"
"85219","*****","0500000US13127","Glynn County, Georgia"
"927781","*****","0500000US13135","Gwinnett County, Georgia"
"202148","*****","0500000US13139","Hall County, Georgia"
"230220","*****","0500000US13151","Henry County, Georgia"
"155469","*****","0500000US13153","Houston County, Georgia"
"70422","*****","0500000US13157","Jackson County, Georgia"
"116321","*****","0500000US13185","Lowndes County, Georgia"
"194160","*****","0500000US13215","Muscogee County, Georgia"
"109541","*****","0500000US13217","Newton County, Georgia"
"164044","*****","0500000US13223","Paulding County, Georgia"
"201554","*****","0500000US13245","Richmond County, Georgia"
"90594","*****","0500000US13247","Rockdale County, Georgia"
"66100","*****","0500000US13255","Spalding County, Georgia"
"70034","*****","0500000US13285","Troup County, Georgia"
"69410","*****","0500000US13295","Walker County, Georgia"
"93503","*****","0500000US13297","Walton County, Georgia"
"104062","*****","0500000US13313","Whitfield County, Georgia"
"200983","*****","0500000US15001","Hawaii County, Hawaii"
"980080","*****","0500000US15003","Honolulu County, Hawaii"
"72133","*****","0500000US15007","Kauai County, Hawaii"
"167218","59","0500000US15009","Maui County, Hawaii"
"469966","*****","0500000US16001","Ada County, Idaho"
"87138","*****","0500000US16005","Bannock County, Idaho"
"116854","*****","0500000US16019","Bonneville County, Idaho"
"223499","*****","0500000US16027","Canyon County, Idaho"
"161505","*****","0500000US16055","Kootenai County, Idaho"
"86081","*****","0500000US16083","Twin Falls County, Idaho"
"65691","*****","0500000US17001","Adams County, Illinois"
"209983","*****","0500000US17019","Champaign County, Illinois"
"5180493","*****","0500000US17031","Cook County, Illinois"
"104143","*****","0500000US17037","DeKalb County, Illinois"
"928589","*****","0500000US17043","DuPage County, Illinois"
"534216","*****","0500000US17089","Kane County, Illinois"
"110024","*****","0500000US17091","Kankakee County, Illinois"
"127915","*****","0500000US17093","Kendall County, Illinois"
"700832","*****","0500000US17097","Lake County, Illinois"
"109430","*****","0500000US17099","LaSalle County, Illinois"
"308570","*****","0500000US17111","McHenry County, Illinois"
"172828","*****","0500000US17113","McLean County, Illinois"
"104712","*****","0500000US17115","Macon County, Illinois"
"264461","*****","0500000US17119","Madison County, Illinois"
"180621","*****","0500000US17143","Peoria County, Illinois"
"143477","*****","0500000US17161","Rock Island County, Illinois"
"261059","*****","0500000US17163","St. Clair County, Illinois"
"195348","*****","0500000US17167","Sangamon County, Illinois"
"132328","*****","0500000US17179","Tazewell County, Illinois"
"76806","*****","0500000US17183","Vermilion County, Illinois"
"692310","*****","0500000US17197","Will County, Illinois"
"67056","*****","0500000US17199","Williamson County, Illinois"
"284081","*****","0500000US17201","Winnebago County, Illinois"
