"B17026_001E","B17026_001M","B17026_002E","B17026_002M","B17026_003E","B17026_003M","B17026_004E","B17026_004M","B17026_005E","B17026_005M","B17026_006E","B17026_006M","B17026_007E","B17026_007M","B17026_008E","B17026_008M","B17026_009E","B17026_009M","B17026_010E","B17026_010M","B17026_011E","B17026_011M","B17026_012E","B17026_012M","B17026_013E","B17026_013M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Under .50","Margin of Error!!Total!!Under .50","Estimate!!Total!!.50 to .74","Margin of Error!!Total!!.50 to .74","Estimate!!Total!!.75 to .99","Margin of Error!!Total!!.75 to .99","Estimate!!Total!!1.00 to 1.24","Margin of Error!!Total!!1.00 to 1.24","Estimate!!Total!!1.25 to 1.49","Margin of Error!!Total!!1.25 to 1.49","Estimate!!Total!!1.50 to 1.74","Margin of Error!!Total!!1.50 to 1.74","Estimate!!Total!!1.75 to 1.84","Margin of Error!!Total!!1.75 to 1.84","Estimate!!Total!!1.85 to 1.99","Margin of Error!!Total!!1.85 to 1.99","Estimate!!Total!!2.00 to 2.99","Margin of Error!!Total!!2.00 to 2.99","Estimate!!Total!!3.00 to 3.99","Margin of Error!!Total!!3.00 to 3.99","Estimate!!Total!!4.00 to 4.99","Margin of Error!!Total!!4.00 to 4.99","Estimate!!Total!!5.00 and over","Margin of Error!!Total!!5.00 and over","id","Geographic Area Name"
"56545","3466","2861","895","2053","1046","1441","751","2621","1024","2454","914","2802","912","1161","594","2064","1040","10754","1809","9939","1806","7438","1316","10957","1535","0500000US04015","Mohave County, Arizona"
"22926","2122","2831","703","1209","506","1332","544","1523","493","1337","514","1106","421","440","350","615","352","3318","796","3565","821","2303","674","3347","779","0500000US04017","Navajo County, Arizona"
"246052","5075","10986","1850","6159","1276","10121","1906","10505","1586","8156","1332","12350","1517","4728","1266","6254","1255","39785","3565","34192","2935","27930","2488","74886","3721","0500000US04019","Pima County, Arizona"
"109641","4006","4288","1216","1977","865","3414","1059","4002","1179","5626","1573","3304","947","2253","854","3267","954","23041","2793","19524","2211","14805","2366","24140","2205","0500000US04021","Pinal County, Arizona"
"60140","2987","1774","698","1189","599","1972","856","2511","995","2387","777","2569","995","1114","594","1951","875","12065","1632","9501","1658","6823","1526","16284","2032","0500000US04025","Yavapai County, Arizona"
"57564","2592","4725","1262","2050","849","2603","928","5040","1540","4577","1261","2548","804","1952","876","2002","867","9636","1848","8118","1259","5814","1456","8499","1135","0500000US04027","Yuma County, Arizona"
"72344","2839","1215","588","1096","535","2105","782","2694","1090","3404","1020","2153","806","1248","688","1699","663","11854","1801","10610","1612","7983","1563","26283","2284","0500000US05007","Benton County, Arkansas"
"26748","1666","1170","497","1436","782","1165","767","1937","1006","1091","516","1779","634","384","388","519","416","3879","805","5006","1174","2793","768","5589","1085","0500000US05031","Craighead County, Arkansas"
"27357","2109","831","449","1078","619","1046","589","802","395","1336","694","1330","615","216","167","915","590","4211","920","3070","744","3678","968","8844","1295","0500000US05045","Faulkner County, Arkansas"
"27143","1838","1839","894","1030","573","2000","986","1309","707","426","323","1601","701","351","297","585","583","4413","1106","3317","1004","3327","930","6945","1149","0500000US05051","Garland County, Arkansas"
"14864","1570","989","571","311","222","1474","781","794","490","1056","601","286","277","142","208","781","461","2451","789","1929","665","1615","664","3036","749","0500000US05069","Jefferson County, Arkansas"
"20157","1361","583","457","906","583","202","196","828","441","642","450","1467","669","750","491","556","335","3095","757","2831","726","2809","716","5488","963","0500000US05085","Lonoke County, Arkansas"
"97688","3460","5357","1273","3353","1086","3847","1411","5125","1378","4542","1374","4540","1479","1508","613","2685","904","13956","2020","11532","1630","8193","1496","33050","2473","0500000US05119","Pulaski County, Arkansas"
"32652","1823","563","445","782","533","1298","638","458","317","889","449","1042","568","410","276","1299","541","5394","1133","4341","963","4920","1211","11256","1557","0500000US05125","Saline County, Arkansas"
"34503","1997","1809","692","687","397","1328","573","1816","753","2556","835","2352","988","815","487","851","441","6917","1341","4840","1132","3421","993","7111","1311","0500000US05131","Sebastian County, Arkansas"
"58171","2168","1912","811","2825","1089","2090","828","1869","761","2948","1123","2879","945","1075","619","1840","913","11544","2158","8299","1626","4924","1203","15966","1974","0500000US05143","Washington County, Arkansas"
"20733","1617","1149","810","631","390","970","513","1366","662","696","380","794","537","321","194","402","369","4257","1161","3755","976","1854","723","4538","980","0500000US05145","White County, Arkansas"
"381320","5916","9360","1347","4119","910","6034","1382","6994","1289","8757","1651","8547","1466","4911","1164","5416","1392","37926","2517","39338","3075","34316","2461","215602","5422","0500000US06001","Alameda County, California"
"51467","2067","2386","873","1372","661","1868","696","2825","805","1996","861","2536","778","862","443","862","399","7986","1457","7344","1428","5672","1141","15758","1510","0500000US06007","Butte County, California"
"285418","4677","7018","1389","4462","1141","4101","934","5056","1633","8785","1641","6423","1305","2816","1045","4843","1384","28491","2925","29491","2900","28879","2861","155053","4920","0500000US06013","Contra Costa County, California"
"49875","2445","973","457","686","438","756","426","770","471","1334","746","825","420","715","482","398","327","5314","1179","6461","1403","6134","1061","25509","2185","0500000US06017","El Dorado County, California"
"220824","3785","13899","1984","10711","1972","13404","1912","12457","1841","12799","1878","11105","1578","4467","1181","6148","1299","35305","3028","26772","2561","20356","2318","53401","3185","0500000US06019","Fresno County, California"
"29581","1982","1050","538","1296","586","1067","547","1508","729","1182","678","771","462","449","379","937","618","5335","1198","4173","1028","2768","884","9045","1377","0500000US06023","Humboldt County, California"
"30792","2283","2174","910","2060","904","1849","855","1937","747","1884","768","903","453","668","380","1365","757","5952","1278","3675","1017","3805","1207","4520","1126","0500000US06025","Imperial County, California"
"201894","4577","12730","1962","11344","2422","10019","1689","11788","1861","10853","1934","9120","1972","6542","1663","6994","1312","37539","3240","22184","2736","16607","2533","46174","3366","0500000US06029","Kern County, California"
"33774","1671","2132","816","1194","628","1942","750","1419","567","1749","716","1155","639","1200","726","1061","498","6185","1271","4606","1052","2270","747","8861","1273","0500000US06031","Kings County, California"
"16035","1649","662","444","1025","653","164","186","41","62","1223","665","970","584","664","613","453","408","2763","1169","1760","789","795","455","5515","1069","0500000US06033","Lake County, California"
"2193349","15226","89212","4684","62095","4092","79211","5132","105628","5627","103375","5328","91966","4907","43388","3041","51810","3384","336944","8881","278729","8587","213374","6589","737617","11268","0500000US06037","Los Angeles County, California"
"33834","2037","2078","730","2248","983","1690","851","1554","803","1861","794","1449","749","763","466","613","386","6055","1350","6072","1284","2307","635","7144","1115","0500000US06039","Madera County, California"
"67597","2842","1327","596","495","333","466","384","657","454","473","340","613","391","165","216","291","253","4485","1186","3946","1116","4097","1056","50582","2958","0500000US06041","Marin County, California"
"21433","1676","904","503","588","400","1704","770","482","263","486","316","1216","560","577","479","294","212","3530","1036","3388","1004","2318","762","5946","1232","0500000US06045","Mendocino County, California"
