"B17026_001E","B17026_001M","B17026_002E","B17026_002M","B17026_003E","B17026_003M","B17026_004E","B17026_004M","B17026_005E","B17026_005M","B17026_006E","B17026_006M","B17026_007E","B17026_007M","B17026_008E","B17026_008M","B17026_009E","B17026_009M","B17026_010E","B17026_010M","B17026_011E","B17026_011M","B17026_012E","B17026_012M","B17026_013E","B17026_013M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Under .50","Margin of Error!!Total!!Under .50","Estimate!!Total!!.50 to .74","Margin of Error!!Total!!.50 to .74","Estimate!!Total!!.75 to .99","Margin of Error!!Total!!.75 to .99","Estimate!!Total!!1.00 to 1.24","Margin of Error!!Total!!1.00 to 1.24","Estimate!!Total!!1.25 to 1.49","Margin of Error!!Total!!1.25 to 1.49","Estimate!!Total!!1.50 to 1.74","Margin of Error!!Total!!1.50 to 1.74","Estimate!!Total!!1.75 to 1.84","Margin of Error!!Total!!1.75 to 1.84","Estimate!!Total!!1.85 to 1.99","Margin of Error!!Total!!1.85 to 1.99","Estimate!!Total!!2.00 to 2.99","Margin of Error!!Total!!2.00 to 2.99","Estimate!!Total!!3.00 to 3.99","Margin of Error!!Total!!3.00 to 3.99","Estimate!!Total!!4.00 to 4.99","Margin of Error!!Total!!4.00 to 4.99","Estimate!!Total!!5.00 and over","Margin of Error!!Total!!5.00 and over","id","Geographic Area Name"
"244235","4042","5854","1264","1540","791","3628","1141","4766","1281","3919","970","4526","899","1724","668","3785","968","23944","2140","26312","1796","29189","2752","135048","3685","0500000US17043","DuPage County, Illinois"
"136596","3308","2594","875","2777","1058","3365","1010","4014","1515","5429","1189","4202","1243","2364","809","1844","773","18384","2627","18561","2602","17158","2338","55904","2698","0500000US17089","Kane County, Illinois"
"26634","2014","1409","604","677","505","1009","519","1508","556","775","351","926","395","431","273","473","372","4185","907","4283","848","3248","767","7710","1298","0500000US17091","Kankakee County, Illinois"
"32362","1995","265","322","58","74","369","318","227","319","6","12","1006","895","543","746","878","508","3928","1052","7046","2053","4603","1556","13433","2247","0500000US17093","Kendall County, Illinois"
"178902","3956","4106","1231","3845","1207","1746","664","6051","1318","4716","1125","5580","1141","1480","633","2443","942","18813","1886","20738","2010","17995","1644","91389","3117","0500000US17097","Lake County, Illinois"
"28804","1735","1083","540","1205","736","1598","794","670","345","859","403","1036","403","808","504","269","191","4650","985","4793","974","3077","846","8756","1033","0500000US17099","LaSalle County, Illinois"
"87366","2427","2094","960","910","638","639","351","1542","651","802","448","2657","971","998","564","1170","536","10548","1651","12815","1891","13683","1724","39508","2319","0500000US17111","McHenry County, Illinois"
"39649","1690","1301","561","733","583","745","515","815","522","865","575","1011","479","368","279","434","310","4784","968","5202","907","6284","1121","17107","1328","0500000US17113","McLean County, Illinois"
"27761","1710","1723","733","629","439","1102","616","718","468","978","515","643","325","398","248","866","449","4670","734","4516","757","3228","700","8290","1284","0500000US17115","Macon County, Illinois"
"72691","2861","2416","797","2182","1021","2103","911","2271","936","2692","1000","1758","735","809","516","745","344","11606","1864","11024","1688","11159","1548","23926","1836","0500000US17119","Madison County, Illinois"
"42810","2266","2071","643","1489","608","996","371","1670","629","1287","482","1284","604","313","222","678","331","6642","1055","6708","1167","5618","877","14054","1517","0500000US17143","Peoria County, Illinois"
"37658","2005","1350","567","1229","716","1371","568","1446","690","1374","725","1778","585","378","255","1571","742","5943","1115","5223","1070","4342","839","11653","1504","0500000US17161","Rock Island County, Illinois"
"62855","2968","2020","996","1654","660","2568","1046","1714","673","2350","759","1155","565","725","407","1801","848","8603","1406","8877","1381","8881","1372","22507","2062","0500000US17163","St. Clair County, Illinois"
"50266","2330","2314","827","1392","571","1233","690","1688","771","1921","727","914","369","745","398","1014","584","6884","1291","6443","986","5463","917","20255","1644","0500000US17167","Sangamon County, Illinois"
"36209","1806","968","560","917","535","477","319","1081","385","1733","659","982","340","467","272","693","463","5517","995","6371","1335","5523","988","11480","1273","0500000US17179","Tazewell County, Illinois"
"18856","1404","1621","557","435","259","789","398","1180","576","483","236","528","283","154","100","909","458","3366","804","3133","654","2108","683","4150","815","0500000US17183","Vermilion County, Illinois"
"175294","3635","3254","921","2987","903","1708","574","4232","1127","4694","1152","4383","954","1205","543","2457","740","23663","2537","23172","2336","21654","1974","81885","3609","0500000US17197","Will County, Illinois"
"16751","1708","342","287","484","291","710","605","1318","510","704","405","629","463","595","310","396","307","3561","858","2061","618","1966","537","3985","960","0500000US17199","Williamson County, Illinois"
"74514","2711","3161","1046","2801","958","2995","861","3989","999","2261","748","3292","942","788","422","1266","481","12934","1556","11501","1378","8586","1318","20940","1875","0500000US17201","Winnebago County, Illinois"
"96270","2646","3807","1006","2524","1080","3456","942","4715","1056","3328","881","3097","891","2156","719","2181","560","17483","2039","14872","1936","11529","1657","27122","2098","0500000US18003","Allen County, Indiana"
"20485","1493","1026","542","238","247","309","265","448","329","526","404","589","293","841","419","279","269","3375","817","3313","945","3840","1045","5701","1089","0500000US18005","Bartholomew County, Indiana"
"19702","1267","113","132","400","415","321","253","321","246","203","195","509","419","123","144","164","161","2841","906","3292","1064","2095","684","9320","1235","0500000US18011","Boone County, Indiana"
"30544","1855","817","508","827","438","980","577","620","395","828","549","977","520","600","470","469","375","5920","1171","4590","1084","4290","1075","9626","1316","0500000US18019","Clark County, Indiana"
"26313","1704","1371","526","493","267","1894","825","1085","442","1516","597","842","359","535","411","627","338","4215","873","4103","933","4191","871","5441","960","0500000US18035","Delaware County, Indiana"
"53807","2319","2211","928","1102","620","1770","689","2094","739","1876","729","2653","1052","1060","734","1373","539","11502","1937","9016","1469","6910","1446","12240","1397","0500000US18039","Elkhart County, Indiana"
"19707","1166","371","229","458","320","378","287","352","237","559","321","129","115","362","262","381","259","2944","688","3282","676","2809","788","7682","965","0500000US18043","Floyd County, Indiana"
"17508","1338","902","426","1140","543","718","430","426","330","412","319","643","313","747","501","338","229","3970","898","3187","666","1484","586","3541","884","0500000US18053","Grant County, Indiana"
"93370","2687","941","573","862","591","792","507","1766","989","1684","767","2789","1101","618","398","380","335","8781","1936","11938","2140","13073","2210","49746","2904","0500000US18057","Hamilton County, Indiana"
"20426","1520","399","369","108","155","57","82","671","482","358","454","789","579","0","198","661","452","3388","1075","3734","1195","3282","1065","6979","1453","0500000US18059","Hancock County, Indiana"
"45502","1971","627","471","737","644","783","585","277","169","232","167","1079","597","122","130","969","641","7603","1465","6967","1560","8585","1864","17521","1782","0500000US18063","Hendricks County, Indiana"
"23489","1551","749","530","822","504","802","512","484","405","655","426","1224","675","421","285","619","335","3364","837","4296","981","3019","700","7034","1093","0500000US18067","Howard County, Indiana"
"41158","2261","980","551","397","470","459","386","960","513","1050","514","803","498","477","353","868","450","6262","1424","7611","1513","7192","1512","14099","1675","0500000US18081","Johnson County, Indiana"
"20175","1714","354","314","157","138","619","473","779","604","400","273","684","289","207","199","438","218","4727","1109","3148","852","2321","710","6341","1096","0500000US18085","Kosciusko County, Indiana"
"122000","3489","6830","1404","3720","1065","4571","1150","4490","1340","6241","1800","4271","1064","1884","710","1674","669","18685","1786","18114","2048","16113","1910","35407","2430","0500000US18089","Lake County, Indiana"
"27658","1379","1419","683","899","452","1054","480","978","419","1014","535","1075","447","297","229","431","272","5981","1089","4325","784","3029","824","7156","947","0500000US18091","LaPorte County, Indiana"
"32081","1602","1809","796","1545","694","1131","691","1378","542","983","456","1051","465","459","291","574","300","6275","1081","5533","847","4010","816","7333","1108","0500000US18095","Madison County, Indiana"
"206317","5134","12506","2043","5788","1261","7285","1690","9786","1785","8869","1985","9919","1976","5524","1530","6091","1540","33273","3315","28555","2489","24890","2784","53831","3505","0500000US18097","Marion County, Indiana"
"30220","1739","1626","708","935","538","548","508","779","494","1460","723","923","595","494","432","1045","657","4717","1142","4108","893","4092","754","9493","1204","0500000US18105","Monroe County, Indiana"
"19642","1367","849","394","484","319","428","328","54","90","316","209","667","351","527","437","440","379","3118","746","4395","831","2274","701","6090","1126","0500000US18109","Morgan County, Indiana"
"43374","2361","1766","738","718","535","968","580","1287","817","379","236","1182","664","528","350","952","682","6840","1470","5760","1138","5607","1085","17387","1670","0500000US18127","Porter County, Indiana"
"65770","2453","2585","711","1850","645","1700","694","2238","849","2929","764","2197","716","1116","555","1232","613","11273","1762","10537","1603","8736","1435","19377","1855","0500000US18141","St. Joseph County, Indiana"
"39265","2263","1180","565","673","395","1241","669","1046","524","2337","936","1862","887","1017","615","1052","485","6924","1372","5467","1091","4655","891","11811","1435","0500000US18157","Tippecanoe County, Indiana"
"43505","2316","1535","754","1205","650","1596","780","2306","872","1591","696","2341","971","1156","702","709","368","6775","1258","6312","1206","5411","1310","12568","1579","0500000US18163","Vanderburgh County, Indiana"
"24852","1787","1288","603","533","297","1092","429","1049","443","1021","511","1206","714","469","276","804","483","4055","956","4118","898","3279","814","5938","1036","0500000US18167","Vigo County, Indiana"
"18288","1341","725","373","1292","556","278","227","598","353","1011","551","619","348","511","312","497","266","4626","1052","2952","699","1259","439","3920","805","0500000US18177","Wayne County, Indiana"
"32401","1629","1448","585","1025","445","1111","441","876","457","1454","628","1239","461","410","314","960","428","4493","881","5581","964","3704","768","10100","1263","0500000US19013","Black Hawk County, Iowa"
"24120","1356","157","131","667","548","337","381","517","295","184","125","505","305","175","152","52","63","2857","897","2966","647","3003","811","12700","1316","0500000US19049","Dallas County, Iowa"
"24381","1306","472","265","475","322","693","458","525","320","1129","558","1086","545","145","120","555","301","3547","706","4247","756","3852","868","7655","956","0500000US19061","Dubuque County, Iowa"
"33567","2141","1650","920","648","424","544","404","1742","804","283","249","740","448","151","151","710","420","2937","807","4046","796","4601","1077","15515","1526","0500000US19103","Johnson County, Iowa"
"54685","2775","1211","584","925","426","1080","623","984","479","1725","439","1223","503","510","328","1635","732","7370","1458","8724","1378","6866","1169","22432","1806","0500000US19113","Linn County, Iowa"
"119472","3184","3022","840","2196","669","1939","716","3950","1360","4180","1062","3062","907","1436","560","2966","915","15612","1996","17439","2060","15031","2074","48639","3046","0500000US19153","Polk County, Iowa"
"23277","1223","905","451","742","421","565","392","802","414","1067","415","1192","516","369","312","682","293","3139","619","4293","859","2806","609","6715","688","0500000US19155","Pottawattamie County, Iowa"
"41240","1953","1731","764","1034","564","1146","666","856","568","785","339","1416","676","355","251","474","291","7365","1206","6492","1168","4508","811","15078","1387","0500000US19163","Scott County, Iowa"
"19329","1297","452","308","869","904","253","208","263","203","226","164","391","346","349","301","389","307","2727","661","2933","638","2733","688","7744","1117","0500000US19169","Story County, Iowa"
"26451","1606","708","356","577","359","1271","476","1508","632","910","591","1255","595","714","496","245","155","4320","1138","3689","747","3536","931","7718","1018","0500000US19193","Woodbury County, Iowa"
"18338","1319","433","259","428","401","256","202","512","299","438","280","1307","711","160","137","279","180","2743","618","4257","996","2197","612","5328","969","0500000US20015","Butler County, Kansas"
"26355","1553","456","364","1195","710","524","522","427","378","267","266","820","507","346","282","478","395","4399","1253","4109","908","3362","935","9972","1047","0500000US20045","Douglas County, Kansas"
"156199","3308","2481","818","1428","707","1945","821","2703","968","2576","842","3289","1007","841","439","1952","839","16718","1913","20940","1784","18835","1969","82491","3242","0500000US20091","Johnson County, Kansas"
"18837","1392","447","265","502","441","1031","821","361","272","347","239","412","290","601","359","281","208","2621","716","2246","642","2578","668","7410","1043","0500000US20103","Leavenworth County, Kansas"
"13019","1247","555","452","228","188","263","195","981","487","463","368","354","265","26","32","602","513","2002","785","1411","562","1428","503","4706","775","0500000US20161","Riley County, Kansas"
"123752","3304","4802","1086","3153","1200","3547","907","5386","1375","4979","1153","5100","1174","2768","791","4243","1246","20477","2310","17622","1819","14774","1791","36901","2398","0500000US20173","Sedgwick County, Kansas"
"44345","2164","762","408","1933","973","1624","722","1547","759","1483","702","1539","561","1032","459","742","455","7779","1309","7007","1304","5105","1086","13792","1189","0500000US20177","Shawnee County, Kansas"
"38635","1692","1777","610","778","383","2489","816","2829","751","2600","793","1786","631","964","509","852","429","7298","1507","6538","1123","3939","750","6785","952","0500000US20209","Wyandotte County, Kansas"
"34483","1776","538","456","263","277","0","197","1191","836","889","649","941","532","802","642","253","229","4597","1233","5178","1131","5137","1174","14694","1654","0500000US21015","Boone County, Kentucky"
"21720","1512","720","419","530","380","635","461","1253","718","404","360","669","335","573","384","372","248","3138","850","5074","1061","2134","680","6218","1093","0500000US21029","Bullitt County, Kentucky"
"23003","1537","1330","738","571","385","603","309","603","453","536","336","751","401","334","281","454","290","2412","568","4090","930","2994","754","8325","1022","0500000US21037","Campbell County, Kentucky"
"18138","1521","771","461","1095","542","558","374","1156","611","1419","580","1388","675","589","445","771","442","3254","927","1847","610","2175","732","3115","848","0500000US21047","Christian County, Kentucky"
"27174","1497","1098","524","1572","700","1049","531","834","465","1545","608","1159","583","490","330","442","328","5581","1093","3531","793","3434","928","6439","1021","0500000US21059","Daviess County, Kentucky"
"75825","3143","3048","1147","2212","958","1630","692","2041","820","2380","756","3839","1254","1586","865","1464","780","11101","1753","10926","1493","8011","1373","27587","1928","0500000US21067","Fayette County, Kentucky"
"29677","2112","1527","758","689","539","1197","637","1100","603","1922","907","1197","555","603","494","1544","950","5163","1297","3683","965","2806","784","8246","1354","0500000US21093","Hardin County, Kentucky"
"186545","4437","10455","2157","4745","1201","6333","1780","6623","1519","6790","1396","5236","1048","3975","1127","4470","1116","27033","2418","27546","2521","19396","1770","63943","3619","0500000US21111","Jefferson County, Kentucky"
"40085","1946","892","491","917","480","619","370","1322","692","1573","640","1410","610","477","295","374","262","5823","1099","7421","1221","5192","1147","14065","1302","0500000US21117","Kenton County, Kentucky"
"16899","1380","1151","618","324","318","716","465","475","291","496","322","453","349","865","555","600","368","2741","833","2634","904","2013","670","4431","980","0500000US21145","McCracken County, Kentucky"
"22411","1398","1602","719","450","356","647","462","1100","552","814","461","1166","654","203","167","562","365","3738","903","3409","707","2702","621","6018","1064","0500000US21151","Madison County, Kentucky"
"17568","927","241","196","637","333","116","165","172","199","197","181","349","295","163","138","174","150","1690","424","2162","660","1977","642","9690","947","0500000US21185","Oldham County, Kentucky"
"30497","1833","1069","540","1452","742","1617","758","831","486","1606","646","1283","524","476","470","312","320","5422","1305","4777","1254","3406","1031","8246","1299","0500000US21227","Warren County, Kentucky"
"34957","1832","1942","1118","452","410","594","533","437","302","1552","868","1213","742","1088","784","241","249","3762","1246","4414","1218","4313","1066","14949","1793","0500000US22005","Ascension Parish, Louisiana"
"31921","2208","984","486","1764","1050","1029","629","1589","766","1767","883","731","388","647","538","269","284","5396","1455","3793","1308","2766","824","11186","1543","0500000US22015","Bossier Parish, Louisiana"
"57904","2716","2369","779","3213","1105","3404","1075","4147","1205","2582","739","3180","964","879","490","1802","707","9420","1576","6532","1448","6996","1507","13380","1600","0500000US22017","Caddo Parish, Louisiana"
"50083","2750","2260","897","1184","579","2288","884","2320","1233","2617","1010","3214","1271","682","507","1427","659","8686","1844","6203","1346","5416","1187","13786","1857","0500000US22019","Calcasieu Parish, Louisiana"
"95154","4201","3693","901","3249","1126","3315","804","4783","1233","4287","1303","3908","1251","1357","665","2079","779","13583","1816","10926","1667","9110","1705","34864","2513","0500000US22033","East Baton Rouge Parish, Louisiana"
"16865","1969","1760","705","757","593","786","575","766","661","328","233","778","454","467","414","831","472","2280","872","2313","758","1834","863","3965","889","0500000US22045","Iberia Parish, Louisiana"
"105501","3369","5170","1220","2547","686","4534","1210","5043","1299","5044","1167","4963","1305","2515","807","2687","1118","16969","2117","14397","2113","10317","1621","31315","2490","0500000US22051","Jefferson Parish, Louisiana"
"59081","3109","2855","1086","1883","949","1568","734","2752","912","2083","913","3346","1232","694","460","1141","663","8778","1738","8884","1754","7543","1527","17554","2184","0500000US22055","Lafayette Parish, Louisiana"
"23348","1788","1206","703","893","457","383","231","790","471","1347","629","1165","500","393","359","732","451","3604","872","3247","779","2605","738","6983","1341","0500000US22057","Lafourche Parish, Louisiana"
"35951","3154","705","557","350","362","916","714","1516","864","1357","906","1885","1436","369","305","1650","869","5962","1752","4784","1455","4060","1561","12397","2164","0500000US22063","Livingston Parish, Louisiana"
"68103","2668","4351","931","3451","895","3418","813","3640","864","3925","894","3641","807","888","302","1214","476","9063","1256","6728","989","5418","861","22366","1685","0500000US22071","Orleans Parish, Louisiana"
"34490","2492","2717","954","1236","606","1621","758","2123","741","1145","512","1406","698","509","320","1074","638","4721","1116","3847","1054","3634","920","10457","1601","0500000US22073","Ouachita Parish, Louisiana"
"32751","2340","2300","930","794","408","1529","675","1297","714","1350","572","1681","777","210","221","881","529","5896","1293","4760","1017","3085","920","8968","1334","0500000US22079","Rapides Parish, Louisiana"
"20018","1537","3048","1033","1600","650","1240","639","686","349","1106","480","540","311","159","173","497","388","3817","1108","2850","860","1446","540","3029","810","0500000US22097","St. Landry Parish, Louisiana"
"67922","2965","2513","1035","1528","920","2386","934","2716","944","2592","938","2177","971","1102","504","1811","682","8647","1825","7770","1684","8155","1695","26525","2641","0500000US22103","St. Tammany Parish, Louisiana"
"29605","2634","1495","839","1008","456","632","370","2524","848","1673","818","1263","749","391","307","465","316","5273","1527","5286","1412","3357","1116","6238","1220","0500000US22105","Tangipahoa Parish, Louisiana"
"26511","1868","1359","674","324","355","1824","892","943","721","1193","612","574","409","407","285","1334","850","5431","1265","4183","1019","2438","800","6501","1236","0500000US22109","Terrebonne Parish, Louisiana"
"26533","1930","686","343","603","463","1385","769","1246","790","927","395","639","360","838","472","606","363","4716","1068","3990","898","3457","934","7440","1322","0500000US23001","Androscoggin County, Maine"
"17603","1159","842","376","685","486","259","122","1079","453","869","399","1182","469","405","283","474","254","3270","676","3184","648","2147","522","3207","560","0500000US23003","Aroostook County, Maine"
"72142","3015","1244","557","697","466","682","353","858","442","896","533","2015","841","1107","601","1640","850","9057","1413","9220","1444","9762","1625","34964","2702","0500000US23005","Cumberland County, Maine"
"31105","1930","1077","506","711","555","348","207","977","596","1424","590","1202","452","767","416","492","250","6176","1358","4875","906","3517","881","9539","1558","0500000US23011","Kennebec County, Maine"
"36788","2172","1418","565","1343","606","1004","582","825","325","1208","471","1829","826","518","342","1055","434","7038","1170","6468","1205","5132","901","8950","1141","0500000US23019","Penobscot County, Maine"
"54432","2356","831","455","551","545","1234","579","948","738","1213","640","1511","598","1124","561","1093","438","7559","1108","7672","1407","7500","1611","23196","2010","0500000US23031","York County, Maine"
"16619","1542","766","324","490","364","687","564","1156","562","632","344","726","404","438","272","346","212","3424","734","2531","666","1945","579","3478","656","0500000US24001","Allegany County, Maryland"
"145626","3692","3746","1102","1592","997","2081","847","1661","728","2433","861","2169","900","1010","542","1793","711","15594","2194","15424","1988","16849","2305","81274","3373","0500000US24003","Anne Arundel County, Maryland"
"203785","5068","4314","1209","4578","1389","4183","1131","4502","1156","4904","1422","5322","1348","1239","586","2345","766","26356","2725","26722","2714","24353","2184","94967","3240","0500000US24005","Baltimore County, Maryland"
"24267","1600","261","248","203","207","65","73","697","633","0","206","590","352","44","82","78","128","1585","636","2879","822","2880","883","14985","1473","0500000US24009","Calvert County, Maryland"
"46205","1818","1151","590","619","506","622","519","648","379","667","363","425","282","217","189","671","371","4076","943","5349","764","5073","864","26687","1661","0500000US24013","Carroll County, Maryland"
"25567","1659","542","359","310","260","209","288","1026","616","957","574","399","381","317","278","396","248","3292","743","3818","1014","3883","1027","10418","1387","0500000US24015","Cecil County, Maryland"
"41483","1940","1464","809","743","506","0","206","567","489","951","617","898","452","413","436","819","471","4558","1054","5381","1529","5732","1122","19957","1903","0500000US24017","Charles County, Maryland"
"66920","2131","1249","608","1007","501","677","423","1286","570","1112","591","1277","659","720","461","639","349","7869","1235","6100","1133","6966","1157","38018","2008","0500000US24021","Frederick County, Maryland"
"67774","2446","2140","880","670","325","783","447","1087","537","1046","501","1815","669","989","641","831","455","6719","1361","7224","1207","9545","1457","34925","2275","0500000US24025","Harford County, Maryland"
"86143","2555","1762","608","788","463","589","522","1205","624","1184","628","1843","847","1082","554","228","261","5877","1285","6633","1409","8099","1581","56853","2976","0500000US24027","Howard County, Maryland"
"257291","4245","4327","1028","2756","1044","4275","1214","5148","1501","5982","1371","5255","1305","2146","787","3673","1105","22443","2559","23535","2132","20985","2303","156766","4102","0500000US24031","Montgomery County, Maryland"
"206154","4455","5364","1152","2049","704","3844","888","4248","1146","5939","1283","7686","1511","2889","862","3499","809","25969","2449","26600","2533","23103","2214","94964","4506","0500000US24033","Prince George's County, Maryland"
"28173","1847","620","498","363","280","1017","720","276","225","749","431","654","433","61","97","156","157","2519","996","2871","770","3793","1216","15094","1495","0500000US24037","St. Mary's County, Maryland"
"37072","1878","1102","526","465","329","1261","650","925","530","1678","676","1644","694","570","390","815","563","5706","1252","6483","1171","3386","870","13037","1268","0500000US24043","Washington County, Maryland"
"24972","1751","662","434","75","112","917","481","1222","667","1171","715","1423","712","540","430","881","681","4012","1190","4231","915","2757","651","7081","1116","0500000US24045","Wicomico County, Maryland"
"117955","4128","8319","1640","4481","1165","3565","969","5234","1307","4972","1147","5076","1132","2400","891","3483","1291","16779","2177","15266","2231","10399","1521","37981","2616","0500000US24510","Baltimore city, Maryland"
"54040","2965","947","600","517","360","1452","464","633","335","1467","647","1529","508","391","293","1203","638","6828","1201","7378","1397","5800","1091","25895","1951","0500000US25001","Barnstable County, Massachusetts"
"31618","1740","1220","592","260","228","448","307","730","361","547","322","872","576","491","402","392","218","5183","1005","4732","872","3850","969","12893","1333","0500000US25003","Berkshire County, Massachusetts"
"141303","3757","4659","1086","2396","794","3667","985","4504","1207","4534","1275","4806","1211","2079","904","4473","1224","17241","1910","19109","2538","16041","1944","57794","3057","0500000US25005","Bristol County, Massachusetts"
"198593","4569","5532","1199","3471","926","6824","1643","4751","1185","5923","1306","6011","1242","1701","703","3308","1076","23595","2762","22369","2411","20074","2031","95034","4069","0500000US25009","Essex County, Massachusetts"
"17645","1264","173","144","270","209","371","290","309","254","636","310","598","275","447","344","116","84","2938","653","2832","650","2300","567","6655","737","0500000US25011","Franklin County, Massachusetts"
"113359","3703","6143","1458","3460","864","4867","1336","5278","1142","4120","916","3544","991","1906","685","2666","943","16730","1788","13743","1619","12359","1629","38543","2708","0500000US25013","Hampden County, Massachusetts"
"34059","1814","413","328","583","447","449","323","517","333","550","256","510","324","321","256","459","345","3620","1113","3829","803","4781","963","18027","1602","0500000US25015","Hampshire County, Massachusetts"
"385308","5663","7608","1714","4479","1262","5051","1305","6512","1526","6178","1276","8097","1539","4177","1499","3906","1008","30366","2823","37532","3556","40161","2801","231241","5675","0500000US25017","Middlesex County, Massachusetts"
"174936","4121","3340","1082","1821","786","2259","940","2815","818","1754","726","2765","1108","900","548","1873","920","13947","1921","16255","2039","16777","1987","110430","3737","0500000US25021","Norfolk County, Massachusetts"
"131226","3826","2063","802","1242","589","1014","465","2762","923","1905","720","2124","811","1395","697","2574","737","12154","1858","16500","1993","16340","2262","71153","3089","0500000US25023","Plymouth County, Massachusetts"
"153541","5046","7059","1358","5415","1507","5659","1349","5915","1402","4742","1341","4974","1029","3084","1207","3510","1139","19997","2738","16444","2296","14381","2051","62361","3757","0500000US25025","Suffolk County, Massachusetts"
"202026","5199","5218","1153","3176","1078","3004","968","5767","1566","4287","1167","6631","1493","1673","656","4036","1211","26823","2595","26293","2909","24428","2678","90690","3970","0500000US25027","Worcester County, Massachusetts"
"32703","1547","1310","421","621","358","894","457","1032","599","1147","566","1213","540","254","181","1383","584","5829","924","6055","996","4279","879","8686","1186","0500000US26005","Allegan County, Michigan"
"29075","1565","1168","508","1634","748","856","554","753","395","855","444","1646","587","508","361","358","194","5888","1153","4446","827","4235","884","6728","985","0500000US26017","Bay County, Michigan"
"42226","1761","1599","616","1851","705","1218","632","1998","680","2430","996","1550","503","699","427","859","350","6966","1024","5730","924","5091","990","12235","1502","0500000US26021","Berrien County, Michigan"
"33082","1728","1614","670","1440","591","1644","615","1086","456","1443","547","867","325","663","561","1016","424","6023","944","5976","938","3319","729","7991","964","0500000US26025","Calhoun County, Michigan"
"20746","1035","450","261","81","92","428","315","530","276","632","317","357","194","204","147","189","177","3310","685","3948","711","3380","664","7237","967","0500000US26037","Clinton County, Michigan"
"29437","1355","826","494","368","281","722","495","509","339","709","359","768","362","435","295","467","259","4107","952","5557","795","4730","898","10239","1085","0500000US26045","Eaton County, Michigan"
"104915","3196","5677","1240","3666","969","4708","1113","4141","1296","4483","1067","5065","1169","2190","704","2801","742","15872","1745","13341","1725","13001","1600","29970","2270","0500000US26049","Genesee County, Michigan"
"22866","1879","396","368","372","380","902","464","568","356","771","498","455","279","282","288","366","253","3138","809","3845","709","2550","713","9221","1290","0500000US26055","Grand Traverse County, Michigan"
"61958","2301","2390","888","2041","609","1501","505","2719","980","2095","714","2141","703","1270","639","1238","545","9454","1524","8154","1186","7085","1301","21870","1842","0500000US26065","Ingham County, Michigan"
"14589","885","639","290","506","240","610","253","431","228","875","324","639","268","570","315","335","176","2765","536","2183","459","2034","452","3002","589","0500000US26073","Isabella County, Michigan"
"39406","2186","1556","598","1246","478","992","562","2061","821","1612","649","1947","761","1364","524","882","498","6320","1146","6814","1184","4661","788","9951","1297","0500000US26075","Jackson County, Michigan"
"61117","2746","2513","781","905","465","1164","414","1672","682","1340","525","2122","650","772","419","2155","909","10212","1396","8244","1262","7094","1242","22924","1736","0500000US26077","Kalamazoo County, Michigan"
"163120","3368","5010","1112","3462","969","3908","1110","4933","1320","5382","1158","6186","1366","2156","753","4500","1362","26752","2314","24279","2316","20853","2046","55699","2751","0500000US26081","Kent County, Michigan"
"23556","1026","929","404","425","238","536","277","469","245","755","412","409","282","274","174","663","300","3631","781","3813","823","3762","670","7890","873","0500000US26087","Lapeer County, Michigan"
"25874","1483","714","369","218","133","590","342","1220","699","862","404","1365","704","547","270","640","369","5016","946","4320","730","3409","712","6973","893","0500000US26091","Lenawee County, Michigan"
"54151","1907","630","273","928","592","371","222","510","349","535","317","1680","538","603","411","883","434","6528","914","8057","1098","7499","1052","25927","1684","0500000US26093","Livingston County, Michigan"
"227394","4483","5715","1114","5225","1156","6769","1334","6632","1395","7927","1489","8501","1490","3982","959","4106","848","36467","2743","34786","2676","30133","2529","77151","3623","0500000US26099","Macomb County, Michigan"
"15842","1159","487","345","390","294","383","249","423","266","520","317","605","281","227","194","221","132","2340","517","3353","781","2610","496","4283","725","0500000US26103","Marquette County, Michigan"
"22495","1175","1222","724","948","589","342","251","1104","423","739","406","636","318","343","201","383","217","3845","821","3035","616","2267","625","7631","1032","0500000US26111","Midland County, Michigan"
"42079","1715","1053","561","753","397","988","560","843","505","1294","562","1252","515","834","430","587","305","6484","1154","7839","1192","5700","1043","14452","1490","0500000US26115","Monroe County, Michigan"
"44746","1982","1712","539","1186","637","1828","788","1527","586","3018","893","1601","486","904","483","1045","486","8692","1229","7125","1110","5278","979","10830","1290","0500000US26121","Muskegon County, Michigan"
"317128","5179","6760","1473","5119","1297","3697","887","5335","1235","7251","1466","6792","1274","4041","904","4361","930","34207","2849","38884","2975","41436","2833","159245","4054","0500000US26125","Oakland County, Michigan"
"74706","2403","792","476","582","484","893","551","1000","668","2245","918","2118","699","630","300","1191","529","13238","1387","15651","1723","10808","1329","25558","1913","0500000US26139","Ottawa County, Michigan"
"50638","2253","2196","854","1656","561","2070","636","1884","749","1767","687","1486","595","1067","564","1896","672","9815","1276","8298","1159","5504","799","12999","1234","0500000US26145","Saginaw County, Michigan"
"43184","1726","1429","524","2110","867","1362","629","1043","485","1201","352","952","350","582","316","1036","486","7754","1151","5984","905","5794","761","13937","1270","0500000US26147","St. Clair County, Michigan"
"19116","1073","625","351","344","205","299","190","706","485","523","261","567","278","366","359","732","392","4133","873","3487","703","1794","453","5540","853","0500000US26155","Shiawassee County, Michigan"
