id,dialup,broadband,no_internet,i_under_050,i_050_074,i_075_099,i_100_124,i_125_149,i_150_174,i_175_184,i_185_199,i_200_299,i_300_399,i_400_499,i_500_over
6077,1015,195383,21280,7737,5008,7693,9694,7645,6815,3858,4790,30183,22974,20110,47985
6079,412,92921,6541,2502,1048,1304,1344,1205,2431,826,1618,9340,7515,7197,30954
6081,820,238585,11059,3063,1927,3048,3103,3859,2783,1592,1928,12599,15216,16158,116922
6083,398,131312,6664,2362,2240,2429,4502,3702,4075,2311,2281,15183,10510,10397,40505
6085,936,598900,23710,7504,5409,5849,10551,8826,7249,3744,5397,40137,38828,37229,291076
6087,124,83206,6048,1740,799,1886,985,1715,2761,1032,1491,5406,6810,4191,33581
6089,290,58228,4625,2057,925,1400,1814,1381,1597,1303,1001,8557,6941,4417,14589
6095,70,140315,5144,2714,1350,1740,3074,3289,1634,1910,2327,16509,13603,12176,48261
6097,958,172276,6486,3931,923,1580,3223,3404,2720,1291,1941,13240,14123,13061,58585
6099,402,150982,11485,5437,3577,6138,6242,6340,7854,3064,2648,23294,17753,12007,33907
6101,43,27216,1932,825,682,1146,944,885,1026,263,909,4397,3594,2668,6088
6107,119,108483,14070,7739,5361,5277,7157,6148,5112,2496,2301,17685,12605,9410,21899
6111,238,242224,12351,4545,3488,3871,7389,5148,8085,2084,3624,25877,24528,20790,84877
6113,0,67374,3360,2441,882,1920,1453,1582,1192,279,859,6086,5345,5617,18781
6115,0,19673,3073,887,468,577,1192,635,904,284,310,4506,2617,1375,4134
8001,479,147051,11375,3898,1255,2500,4023,5477,4427,2650,1667,20848,17538,16448,37384
8005,318,221236,10572,4063,2093,2772,3150,4580,4566,2397,4339,20291,19316,18371,72180
8013,242,117647,5532,1055,883,1090,1622,1296,958,733,1252,6883,8404,8370,42223
8014,92,26406,1468,160,439,156,94,769,344,42,113,1367,1734,1875,11463
8031,710,272966,21242,4750,3795,3170,3922,5638,5922,2382,3090,17528,16213,14825,63866
8035,151,120428,2278,699,342,228,591,423,1173,447,825,7700,8447,10845,64224
8041,638,239023,8120,4916,3781,3351,5628,4980,6334,3013,3331,29232,26631,21138,63706
8059,717,211471,7776,2219,1160,1833,2068,3012,3309,947,2628,14741,17284,18228,80829
8069,283,125794,7724,2431,824,1379,1205,1530,2007,1281,1125,12381,11886,11993,37659
8077,232,52193,4570,2082,1496,642,1272,1957,1084,506,788,6228,7402,3491,10362
8101,196,50531,7189,2001,1497,2315,1797,1766,2584,511,1722,7761,5221,4991,9437
8123,206,96263,6282,2885,2000,1292,2206,2158,1912,608,1327,10739,13616,9698,29489
9001,698,310128,14395,6294,4785,5352,5542,5939,5963,2455,4029,25214,22561,17730,131543
9003,739,297169,22275,6417,4549,5244,7507,7346,7529,2867,3521,24076,24889,23552,106092
9005,228,62917,4375,463,385,843,515,1560,1580,416,878,5506,5634,5699,23368
9007,164,58736,3616,763,478,459,349,923,668,277,582,4443,4423,4950,23457
9009,935,280598,22310,7322,5667,5026,5158,6000,6777,2336,3443,26248,24806,22595,92349
9011,214,94696,5130,1872,1170,1444,979,1475,2159,830,1320,9583,8878,9221,30186
9013,201,48628,3198,337,645,437,853,545,210,504,78,2395,2939,3778,23161
9015,166,37318,3016,1113,663,1235,635,332,961,193,933,4446,4115,4281,10687
10001,228,57421,2946,2138,1238,1672,2018,1491,2944,996,998,6455,5441,5939,13577
