Total,One or more types of computing devices,Desktop/laptop,Only Desktop/laptop,Smartphone,Only Smartphone,Tablet/portable,Only Tablet/portable,Other computing device,Only other,No computer,id,Geographic Area Name
543560,518300,458995,17987,487567,36421,374655,3158,27046,151,25260,6067,"Sacramento County, California"
638647,604937,497069,19851,569660,63675,422422,5233,15117,144,33710,6071,"San Bernardino County, California"
1130911,1086855,973980,32473,1028940,63685,788461,7889,31556,142,44056,6073,"San Diego County, California"
362827,340536,311468,9572,324767,20248,250112,2122,21583,104,22291,6075,"San Francisco County, California"
231917,217678,171939,6445,204624,21890,156850,2001,4789,32,14239,6077,"San Joaquin County, California"
106198,99874,88815,4543,91849,7642,66627,826,2478,67,6324,6079,"San Luis Obispo County, California"
259654,250464,232961,7274,237815,11101,199430,988,10734,198,9190,6081,"San Mateo County, California"
146224,138374,121189,5732,128538,9852,100514,769,3200,22,7850,6083,"Santa Barbara County, California"
645108,623546,579756,16692,593499,24176,492916,3934,25822,234,21562,6085,"Santa Clara County, California"
94994,89378,81041,4059,82515,4042,63825,1190,2813,42,5616,6087,"Santa Cruz County, California"
68198,63143,51914,3822,56416,5422,41536,742,1485,0,5055,6089,"Shasta County, California"
152291,145529,127734,5073,137107,11790,92083,808,3698,55,6762,6095,"Solano County, California"
187434,179720,160906,10106,163001,9084,129905,2419,4406,0,7714,6097,"Sonoma County, California"
175171,162869,129143,6099,151663,19504,108609,1877,4563,149,12302,6099,"Stanislaus County, California"
31989,29191,24057,1019,26972,3403,19455,170,1051,0,2798,6101,"Sutter County, California"
139197,122672,84751,4040,115080,25906,70445,1106,2205,0,16525,6107,"Tulare County, California"
271980,254813,226920,10441,237189,13438,192006,2043,33857,0,17167,6111,"Ventura County, California"
74428,70734,62928,3129,66219,4003,49973,455,1979,0,3694,6113,"Yolo County, California"
26191,22746,18045,1157,20364,3228,13687,388,519,0,3445,6115,"Yuba County, California"
168361,158905,133894,6979,148482,15174,109532,1242,3807,142,9456,8001,"Adams County, Colorado"
242141,232126,206476,8609,216878,16495,164450,1727,5592,0,10015,8005,"Arapahoe County, Colorado"
128295,123421,115072,5359,115226,4566,90900,708,3383,53,4874,8013,"Boulder County, Colorado"
28530,27966,26071,331,27395,1124,22477,0,761,0,564,8014,"Broomfield County, Colorado"
310324,294918,262698,9412,279229,21390,200052,1339,7471,104,15406,8031,"Denver County, Colorado"
125035,122857,118472,2568,117729,1996,103263,541,3802,78,2178,8035,"Douglas County, Colorado"
260851,247781,223251,9006,232495,16592,179897,1232,6601,114,13070,8041,"El Paso County, Colorado"
233272,219964,200737,9050,203333,10773,155436,1732,5416,161,13308,8059,"Jefferson County, Colorado"
139382,133801,123300,4207,125987,4773,100739,1184,4260,0,5581,8069,"Larimer County, Colorado"
61848,56995,48177,3380,50481,5663,37166,654,1149,0,4853,8077,"Mesa County, Colorado"
64954,57916,45062,3797,51103,8511,35820,833,1331,0,7038,8101,"Pueblo County, Colorado"
107929,102751,89105,3713,95876,8123,75394,1020,2397,0,5178,8123,"Weld County, Colorado"
345634,325221,288112,12419,300928,20366,243502,3420,10799,0,20413,9001,"Fairfield County, Connecticut"
348049,320183,271553,14596,293271,28441,226637,3531,7682,80,27866,9003,"Hartford County, Connecticut"
73598,67520,59851,5055,59092,3768,46620,1039,1815,0,6078,9005,"Litchfield County, Connecticut"
66983,62516,55933,3337,57216,3274,42018,567,1444,0,4467,9007,"Middlesex County, Connecticut"
335539,303843,255655,15330,275425,30239,201689,4323,6438,75,31696,9009,"New Haven County, Connecticut"
108098,100040,87133,6654,88821,8041,67209,1022,2792,9,8058,9011,"New London County, Connecticut"
55619,52027,47593,2906,46924,2091,36999,544,1548,0,3592,9013,"Tolland County, Connecticut"
44571,40500,34171,1932,36138,2660,28925,730,507,0,4071,9015,"Windham County, Connecticut"
67841,60595,49129,3022,55219,6238,40853,711,1587,0,7246,10001,"Kent County, Delaware"
206351,196008,154555,8261,181305,22111,127006,2197,4796,0,10343,10003,"New Castle County, Delaware"
93479,84814,71736,5935,75321,7244,57326,815,2648,6,8665,10005,"Sussex County, Delaware"
287476,266613,230574,6223,253586,23099,186192,2664,7322,0,20863,11001,"District of Columbia, District of Columbia"
97782,93407,84307,2718,87999,5777,60006,1047,2285,0,4375,12001,"Alachua County, Florida"
73856,68037,59104,3584,61328,5085,48067,474,1823,62,5819,12005,"Bay County, Florida"
226363,209537,191261,13728,189435,11216,146681,1720,4490,0,16826,12009,"Brevard County, Florida"
694980,655599,568484,22383,616532,54284,446641,4777,27568,224,39381,12011,"Broward County, Florida"
74975,67947,59858,4480,59679,4302,46822,531,1664,84,7028,12015,"Charlotte County, Florida"
62293,57105,48393,7108,46134,4682,35198,1189,1125,0,5188,12017,"Citrus County, Florida"
75958,73268,64658,3448,67508,6176,52465,393,1877,93,2690,12019,"Clay County, Florida"
144172,134294,116323,7996,119594,9845,91723,1561,5560,71,9878,12021,"Collier County, Florida"
25678,24000,18876,1435,21567,3215,15912,573,499,0,1678,12023,"Columbia County, Florida"
367238,342926,282083,14725,319945,46170,208979,1711,20642,76,24312,12031,"Duval County, Florida"
118820,109334,95368,5983,99780,8304,70700,935,1934,0,9486,12033,"Escambia County, Florida"
41274,36375,31301,3168,31611,2369,24414,376,1190,0,4899,12035,"Flagler County, Florida"
76163,71041,64337,6479,60706,3822,49317,711,3557,38,5122,12053,"Hernando County, Florida"
40573,34959,28685,2830,29817,4088,20652,580,744,0,5614,12055,"Highlands County, Florida"
540142,514288,436693,16229,485628,51901,348871,3774,17732,0,25854,12057,"Hillsborough County, Florida"
57636,51246,46644,4057,41809,2934,33278,308,6283,94,6390,12061,"Indian River County, Florida"
136366,127494,109000,7544,114094,10139,92529,1751,2623,0,8872,12069,"Lake County, Florida"
281222,264914,226378,12747,241459,23461,182561,3320,18992,183,16308,12071,"Lee County, Florida"
113390,106790,94209,3796,101385,8463,72579,138,2481,0,6600,12073,"Leon County, Florida"
150814,142268,124945,8387,126558,8812,101058,1619,7506,0,8546,12081,"Manatee County, Florida"
143441,127543,108861,11464,108551,13011,75295,1378,2726,0,15898,12083,"Marion County, Florida"
63070,59088,50430,3590,53055,4780,40100,712,1979,0,3982,12085,"Martin County, Florida"
895801,837519,689232,21322,803344,111627,512790,3991,35648,129,58282,12086,"Miami-Dade County, Florida"
31362,30369,26697,1740,27943,2613,18944,25,347,0,993,12087,"Monroe County, Florida"
32624,31315,27190,1724,28817,2330,20959,191,1084,0,1309,12089,"Nassau County, Florida"
79570,75461,65572,3321,70849,6842,54416,455,2074,0,4109,12091,"Okaloosa County, Florida"
458157,436659,379406,10121,417882,37474,304402,2634,13569,39,21498,12095,"Orange County, Florida"
102705,97741,82652,2982,91843,9456,65128,1002,3582,33,4964,12097,"Osceola County, Florida"
552286,522553,447478,22680,482173,46540,360444,5829,16356,102,29733,12099,"Palm Beach County, Florida"
205128,186401,169346,10844,166998,9434,133466,1870,5254,0,18727,12101,"Pasco County, Florida"
405892,370430,326329,24301,332556,27040,249608,3920,9330,125,35462,12103,"Pinellas County, Florida"
241171,216983,173662,11841,195583,25616,141084,2521,12773,44,24188,12105,"Polk County, Florida"
27927,24878,18444,1222,21414,4186,13684,1219,456,0,3049,12107,"Putnam County, Florida"
90109,85629,79144,4106,79234,4055,62081,641,3357,0,4480,12109,"St. Johns County, Florida"
118768,113599,97208,4815,104603,8581,79304,861,3231,0,5169,12111,"St. Lucie County, Florida"
63891,60536,52899,2448,56805,3821,45453,585,1386,0,3355,12113,"Santa Rosa County, Florida"
183721,171380,150011,11577,150133,12540,115489,2173,4840,67,12341,12115,"Sarasota County, Florida"
179274,171687,156048,7086,161046,8930,126450,1057,6210,0,7587,12117,"Seminole County, Florida"
62854,58614,54504,5942,48464,2372,41659,286,2652,0,4240,12119,"Sumter County, Florida"
218423,204073,170798,13454,183317,21564,126888,2501,4252,123,14350,12127,"Volusia County, Florida"
28770,26716,23395,1033,25060,1176,20617,397,759,91,2054,12131,"Walton County, Florida"
27525,25654,22430,1021,24081,1845,18919,95,1857,0,1871,13013,"Barrow County, Georgia"
35506,33497,27565,1222,31042,3713,22414,768,827,0,2009,13015,"Bartow County, Georgia"
57905,50225,37039,2139,46756,9120,31461,369,1683,79,7680,13021,"Bibb County, Georgia"
27097,24349,19477,810,22820,3900,15489,240,277,0,2748,13031,"Bulloch County, Georgia"
41197,36367,28656,1002,34490,4674,25174,476,1089,0,4830,13045,"Carroll County, Georgia"
24722,22000,18696,1717,19821,1486,15142,223,307,0,2722,13047,"Catoosa County, Georgia"
107921,101090,82629,2295,96285,12908,69248,614,2710,0,6831,13051,"Chatham County, Georgia"
89974,87696,80919,2278,83879,3275,68388,954,3753,0,2278,13057,"Cherokee County, Georgia"
49698,46141,41883,1836,43583,2671,30628,101,469,0,3557,13059,"Clarke County, Georgia"
96286,89596,70753,3286,84383,13808,51706,535,1527,0,6690,13063,"Clayton County, Georgia"
283094,276380,253738,6756,265658,15156,201888,751,6810,0,6714,13067,"Cobb County, Georgia"
47167,44082,38566,1175,41805,1952,37229,490,1433,42,3085,13073,"Columbia County, Georgia"
52114,48157,40891,1597,45693,4767,35473,160,2085,0,3957,13077,"Coweta County, Georgia"
287001,269348,223811,7924,255971,29247,182049,1637,9107,81,17653,13089,"DeKalb County, Georgia"
33717,29913,21272,2154,26831,6786,14918,194,1016,0,3804,13095,"Dougherty County, Georgia"
49534,48036,38553,995,45939,5627,34073,417,1146,0,1498,13097,"Douglas County, Georgia"
39366,36968,34503,964,34918,1517,30381,444,1479,0,2398,13113,"Fayette County, Georgia"
34672,29331,21903,963,27356,5783,18338,316,443,20,5341,13115,"Floyd County, Georgia"
81353,79380,74840,1932,75602,2764,65695,574,3328,60,1973,13117,"Forsyth County, Georgia"
417157,392237,349282,10202,377153,28669,277864,1412,10991,0,24920,13121,"Fulton County, Georgia"
34634,31445,25797,1902,28584,4140,20668,376,1240,0,3189,13127,"Glynn County, Georgia"
297658,285143,256189,6464,272511,18546,212988,1696,7964,0,12515,13135,"Gwinnett County, Georgia"
64990,60554,49825,2467,56097,6159,42971,259,1395,0,4436,13139,"Hall County, Georgia"
75926,73627,68049,2766,68563,3667,50053,449,1402,0,2299,13151,"Henry County, Georgia"
58155,54954,46171,1448,52522,5568,37541,489,2639,0,3201,13153,"Houston County, Georgia"
23640,22022,19220,452,20611,1737,17361,182,765,0,1618,13157,"Jackson County, Georgia"
41734,32910,27237,1599,30086,3946,17872,434,487,0,8824,13185,"Lowndes County, Georgia"
