Total,One or more types of computing devices,Desktop/laptop,Only Desktop/laptop,Smartphone,Only Smartphone,Tablet/portable,Only Tablet/portable,Other computing device,Only other,No computer,>10K,> $10k With Internet subscription ,> $10k!!Without an Internet subscription,Total!!$10k to $19.9k,$10k to $19.9k!!With Internet subscription ,$10k to  $19.9k!!Without an Internet subscription,"$20,000 to $34,999",$20k to $34.9k!!With Internet subscription,$20k to $34.9k!!Without an Internet subscription,"$35,000 to $49,999",$35k to $49.9k!!With Internet subscription,$35k to $49.9k!!Without an Internet subscription,$50k to $74.9k,"$50k to $74,999!!With Internet subscription",$50k to $74..9k!!Without an Internet subscription,>$75k ,>$75k!!With Internet subscription ,">$75,000!!Without an Internet subscription",id,Geographic Area Name
90270,80602,67373,7901,68707,8902,47503,1142,1872,0,9668,7472,5287,2185,10613,6972,3641,17062,13790,3272,13932,11871,2061,19240,16451,2789,21951,20669,1282,4015,"Mohave County, Arizona"
34285,27048,20566,1474,24256,4647,15312,178,918,0,7237,4685,1581,3104,4272,2210,2062,5877,3540,2337,5481,3469,2012,6101,4659,1442,7869,6573,1296,4017,"Navajo County, Arizona"
402323,376840,316529,16702,346286,36809,253126,3764,7610,25,25483,28808,18589,10219,38939,27671,11268,59376,47461,11915,61243,53747,7496,77015,71777,5238,136942,132043,4899,4019,"Pima County, Arizona"
147936,138369,121272,6354,126346,9748,100798,1281,4898,0,9567,8490,5443,3047,9129,6066,3063,22792,17356,5436,19614,16966,2648,34474,31019,3455,53437,51787,1650,4021,"Pinal County, Arizona"
100836,92633,77780,6783,80795,8801,58860,1009,2732,0,8203,5256,3886,1370,12819,7909,4910,18130,14358,3772,15904,13577,2327,19982,18173,1809,28745,27378,1367,4025,"Yavapai County, Arizona"
74532,66552,53466,3024,60541,7597,43287,743,1927,0,7980,6122,3725,2397,8025,4993,3032,16093,11538,4555,10489,9018,1471,13346,11771,1575,20457,18745,1712,4027,"Yuma County, Arizona"
100128,94182,81112,3187,89237,8782,68677,512,1475,0,5946,2705,1806,899,6618,3578,3040,12504,8615,3889,13302,10719,2583,18973,15516,3457,46026,43981,2045,5007,"Benton County, Arkansas"
42631,39087,30722,2333,35618,5574,23771,331,400,0,3544,3789,2152,1637,4772,2823,1949,8113,5988,2125,6318,4753,1565,7706,7203,503,11933,11089,844,5031,"Craighead County, Arkansas"
43701,39629,34115,1701,36389,3323,31032,499,655,103,4072,3837,2039,1798,4263,3083,1180,7483,5041,2442,5849,4394,1455,6899,6380,519,15370,14394,976,5045,"Faulkner County, Arkansas"
40407,37110,27877,1737,34146,5411,22510,480,492,0,3297,3797,2703,1094,3888,2470,1418,8103,5660,2443,5937,5621,316,7930,6573,1357,10752,10081,671,5051,"Garland County, Arkansas"
25689,22166,13304,663,21133,6196,11292,205,476,0,3523,2810,1587,1223,3284,1947,1337,6551,3917,2634,3003,2145,858,3984,2847,1137,6057,5127,930,5069,"Jefferson County, Arkansas"
28132,25624,19720,796,24229,3868,17401,173,676,0,2508,1106,507,599,3340,2228,1112,4647,3405,1242,4331,3995,336,5279,4537,742,9429,9094,335,5085,"Lonoke County, Arkansas"
