"B28003_001E","B28003_001M","B28003_002E","B28003_002M","B28003_003E","B28003_003M","B28003_004E","B28003_004M","B28003_005E","B28003_005M","B28003_006E","B28003_006M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Has a computer","Margin of Error!!Total!!Has a computer","Estimate!!Total!!Has a computer!!With dial-up Internet subscription alone","Margin of Error!!Total!!Has a computer!!With dial-up Internet subscription alone","Estimate!!Total!!Has a computer!!With a broadband Internet subscription","Margin of Error!!Total!!Has a computer!!With a broadband Internet subscription","Estimate!!Total!!Has a computer!!Without an Internet subscription","Margin of Error!!Total!!Has a computer!!Without an Internet subscription","Estimate!!Total!!No computer","Margin of Error!!Total!!No computer","id","Geographic Area Name"
"273167","3833","251273","4467","445","371","227482","4709","23346","2830","21894","2614","0500000US06029","Kern County, California"
"43727","1039","40173","1364","0","211","36458","1444","3715","972","3554","951","0500000US06031","Kings County, California"
"26774","1463","24036","1575","0","211","21104","1610","2932","1057","2738","894","0500000US06033","Lake County, California"
"3313908","10529","3094720","11438","5738","1142","2839783","13515","249199","8526","219188","6358","0500000US06037","Los Angeles County, California"
"44484","1786","40738","1880","73","85","38547","1955","2118","781","3746","940","0500000US06039","Madera County, California"
"104954","1838","101622","2106","256","214","98240","2220","3126","1076","3332","1135","0500000US06041","Marin County, California"
"33794","1416","30311","1714","203","203","28375","1520","1733","653","3483","1017","0500000US06045","Mendocino County, California"
"79487","1497","73109","1926","0","211","69242","1989","3867","1037","6378","1231","0500000US06047","Merced County, California"
"126299","2071","118675","2523","147","135","109291","2772","9237","1527","7624","1496","0500000US06053","Monterey County, California"
"47315","1405","44730","1525","105","123","42947","1685","1678","660","2585","767","0500000US06055","Napa County, California"
"41447","1915","38969","2115","183","182","36189","2153","2597","948","2478","822","0500000US06057","Nevada County, California"
"1040394","5391","1000857","5496","1581","613","952953","6289","46323","3859","39537","3465","0500000US06059","Orange County, California"
"144691","2698","138946","2881","247","219","130702","3174","7997","1677","5745","1074","0500000US06061","Placer County, California"
"728103","4596","687688","5503","1423","551","639503","6723","46762","3706","40415","3272","0500000US06065","Riverside County, California"
"543560","3122","518300","3773","1204","437","489254","4048","27842","2796","25260","2238","0500000US06067","Sacramento County, California"
