"B28003_001E","B28003_001M","B28003_002E","B28003_002M","B28003_003E","B28003_003M","B28003_004E","B28003_004M","B28003_005E","B28003_005M","B28003_006E","B28003_006M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Has a computer","Margin of Error!!Total!!Has a computer","Estimate!!Total!!Has a computer!!With dial-up Internet subscription alone","Margin of Error!!Total!!Has a computer!!With dial-up Internet subscription alone","Estimate!!Total!!Has a computer!!With a broadband Internet subscription","Margin of Error!!Total!!Has a computer!!With a broadband Internet subscription","Estimate!!Total!!Has a computer!!Without an Internet subscription","Margin of Error!!Total!!Has a computer!!Without an Internet subscription","Estimate!!Total!!No computer","Margin of Error!!Total!!No computer","id","Geographic Area Name"
"43122","1279","39774","1427","110","125","35007","1753","4657","1318","3348","702","0500000US18091","LaPorte County, Indiana"
"50426","1409","44764","1620","118","123","40288","1726","4358","1179","5662","1024","0500000US18095","Madison County, Indiana"
"373634","3704","332773","4632","321","219","299158","5053","33294","3489","40861","3746","0500000US18097","Marion County, Indiana"
"57102","1586","53973","1620","0","198","50066","1784","3907","1065","3129","754","0500000US18105","Monroe County, Indiana"
"25968","910","23482","1230","121","134","22078","1238","1283","434","2486","840","0500000US18109","Morgan County, Indiana"
"66144","1137","60782","1452","143","139","56610","1864","4029","1046","5362","1149","0500000US18127","Porter County, Indiana"
"107730","1563","97565","1994","475","327","85889","2413","11201","1633","10165","1337","0500000US18141","St. Joseph County, Indiana"
"70446","1881","67482","2105","56","96","60720","2318","6706","1477","2964","730","0500000US18157","Tippecanoe County, Indiana"
"75058","2145","67730","2229","137","172","61967","2360","5626","1147","7328","1100","0500000US18163","Vanderburgh County, Indiana"
"43262","1224","41034","1305","30","51","37725","1265","3279","859","2228","589","0500000US18167","Vigo County, Indiana"
"28338","1083","25039","1239","107","101","21645","1281","3287","1106","3299","737","0500000US18177","Wayne County, Indiana"
"53386","1370","48181","1631","173","246","44592","1631","3416","799","5205","1063","0500000US19013","Black Hawk County, Iowa"
"35492","987","34166","1212","0","163","32164","1240","2002","541","1326","619","0500000US19049","Dallas County, Iowa"
"38501","857","34154","1239","152","153","31657","1351","2345","562","4347","997","0500000US19061","Dubuque County, Iowa"
"60868","1735","58899","1799","43","74","54824","2013","4032","969","1969","558","0500000US19103","Johnson County, Iowa"
"91747","1599","84734","2277","341","235","79565","2120","4828","1141","7013","1584","0500000US19113","Linn County, Iowa"
"189546","2460","177807","2691","428","293","164401","2958","12978","1563","11739","1834","0500000US19153","Polk County, Iowa"
"36635","1191","32694","1442","12","23","29047","1458","3635","824","3941","939","0500000US19155","Pottawattamie County, Iowa"
"66905","1553","60918","1741","88","95","57177","2071","3653","989","5987","1318","0500000US19163","Scott County, Iowa"
"37290","1491","35715","1558","143","106","28916","1780","6656","1678","1575","623","0500000US19169","Story County, Iowa"
"39253","1082","35283","1324","124","122","32408","1438","2751","814","3970","848","0500000US19193","Woodbury County, Iowa"
"24692","1097","22459","1292","46","74","21124","1277","1289","628","2233","762","0500000US20015","Butler County, Kansas"
"48907","1134","46947","1296","210","215","43203","1535","3534","1183","1960","739","0500000US20045","Douglas County, Kansas"
"231184","2411","222865","2673","489","306","214295","2861","8081","1360","8319","1295","0500000US20091","Johnson County, Kansas"
"26654","1178","24444","1281","0","177","22716","1465","1728","707","2210","558","0500000US20103","Leavenworth County, Kansas"
"26617","1379","25963","1428","0","177","23679","1533","2284","758","654","316","0500000US20161","Riley County, Kansas"
"198024","2622","184013","2896","545","383","167272","3365","16196","1844","14011","1513","0500000US20173","Sedgwick County, Kansas"
"72788","1776","64970","2034","284","242","51553","2560","13133","1770","7818","1440","0500000US20177","Shawnee County, Kansas"
"60708","1357","55301","1514","105","107","48943","1739","6253","1067","5407","1021","0500000US20209","Wyandotte County, Kansas"
"47684","1188","46036","1366","208","198","43198","1681","2630","1285","1648","593","0500000US21015","Boone County, Kentucky"
"29789","1053","27680","1185","98","123","25236","1420","2346","872","2109","726","0500000US21029","Bullitt County, Kentucky"
"36992","1272","33549","1336","1040","696","29348","1478","3161","870","3443","660","0500000US21037","Campbell County, Kentucky"
"26114","1284","23151","1462","121","144","20888","1553","2142","776","2963","738","0500000US21047","Christian County, Kentucky"
"39590","1165","35482","1543","72","121","33457","1569","1953","695","4108","1058","0500000US21059","Daviess County, Kentucky"
"131067","2335","125508","2624","177","288","118325","2900","7006","1338","5559","1080","0500000US21067","Fayette County, Kentucky"
"41625","1438","37683","1900","81","116","31254","2277","6348","1580","3942","1086","0500000US21093","Hardin County, Kentucky"
"311263","3624","281390","4658","538","342","266088","4412","14764","1719","29873","2990","0500000US21111","Jefferson County, Kentucky"
"64611","1348","60015","1430","180","160","57573","1504","2262","862","4596","797","0500000US21117","Kenton County, Kentucky"
"27650","1360","25320","1397","0","197","23527","1388","1793","697","2330","588","0500000US21145","McCracken County, Kentucky"
"33396","1260","30450","1448","290","249","28027","1533","2133","738","2946","787","0500000US21151","Madison County, Kentucky"
"21237","722","20492","848","96","112","19826","877","570","319","745","342","0500000US21185","Oldham County, Kentucky"
"48843","1450","45523","1760","0","197","42110","1831","3413","988","3320","1143","0500000US21227","Warren County, Kentucky"
"45102","1416","41978","1794","140","161","40028","1941","1810","717","3124","1098","0500000US22005","Ascension Parish, Louisiana"
"50099","1937","45158","2058","66","111","29813","2275","15279","2302","4941","1493","0500000US22015","Bossier Parish, Louisiana"
"94778","2026","82577","2272","205","152","62586","2692","19786","2325","12201","1759","0500000US22017","Caddo Parish, Louisiana"
"78351","2393","68280","2545","61","102","60157","2581","8062","1600","10071","1461","0500000US22019","Calcasieu Parish, Louisiana"
"163274","3664","149950","3947","216","216","139436","3809","10298","1897","13324","2231","0500000US22033","East Baton Rouge Parish, Louisiana"
"25386","1277","21667","1573","0","217","19844","1746","1823","659","3719","1044","0500000US22045","Iberia Parish, Louisiana"
"167596","2590","148758","2989","262","209","134213","3170","14283","2078","18838","2260","0500000US22051","Jefferson Parish, Louisiana"
"94002","2365","87650","2556","79","133","81857","2884","5714","1412","6352","1234","0500000US22055","Lafayette Parish, Louisiana"
"35838","1635","31235","1864","0","217","28116","1737","3119","979","4603","1008","0500000US22057","Lafourche Parish, Louisiana"
"49084","1957","46591","2238","63","93","42530","2360","3998","1504","2493","1109","0500000US22063","Livingston Parish, Louisiana"
"155104","2460","136292","3036","100","96","119773","2959","16419","1789","18812","1695","0500000US22071","Orleans Parish, Louisiana"
"55599","2304","46102","2399","398","435","41170","2164","4534","1010","9497","1692","0500000US22073","Ouachita Parish, Louisiana"
"48915","1824","43808","1887","168","187","40165","1850","3475","921","5107","972","0500000US22079","Rapides Parish, Louisiana"
"29965","1370","22198","1509","118","137","16542","1511","5538","1223","7767","1437","0500000US22097","St. Landry Parish, Louisiana"
"93589","2098","87266","2306","193","193","80805","2743","6268","1485","6323","1386","0500000US22103","St. Tammany Parish, Louisiana"
"47401","2208","41561","2109","68","109","38389","2416","3104","1084","5840","1512","0500000US22105","Tangipahoa Parish, Louisiana"
"37911","1698","33356","1823","79","146","31279","2118","1998","869","4555","1118","0500000US22109","Terrebonne Parish, Louisiana"
"44897","1416","40858","1770","117","100","37408","2002","3333","987","4039","1102","0500000US23001","Androscoggin County, Maine"
"29931","947","24859","1203","556","313","20419","1117","3884","812","5072","769","0500000US23003","Aroostook County, Maine"
"123485","2256","114803","2679","298","242","109537","2760","4968","905","8682","1503","0500000US23005","Cumberland County, Maine"
"54299","1620","48313","2128","312","228","44166","2128","3835","1027","5986","1306","0500000US23011","Kennebec County, Maine"
"61765","1822","55648","1975","473","273","51076","2036","4099","957","6117","1091","0500000US23019","Penobscot County, Maine"
"88416","2661","81271","2647","598","425","75782","2887","4891","1131","7145","1493","0500000US23031","York County, Maine"
"27190","1512","22813","1509","82","98","21139","1537","1592","609","4377","803","0500000US24001","Allegany County, Maryland"
"212687","2121","201634","2664","85","100","195307","3096","6242","1441","11053","1684","0500000US24003","Anne Arundel County, Maryland"
"313259","2930","290567","3774","459","277","274596","4139","15512","2151","22692","2418","0500000US24005","Baltimore County, Maryland"
"32145","1055","30005","1140","0","206","28535","1332","1470","729","2140","675","0500000US24009","Calvert County, Maryland"
"60371","1279","54985","1584","142","140","52913","1625","1930","615","5386","1045","0500000US24013","Carroll County, Maryland"
"36620","1435","32638","1701","54","81","30166","1859","2418","986","3982","990","0500000US24015","Cecil County, Maryland"
"56947","1438","52393","1620","150","151","49735","1751","2508","942","4554","1283","0500000US24017","Charles County, Maryland"
"95903","1096","90147","1208","85","102","86364","1653","3698","987","5756","939","0500000US24021","Frederick County, Maryland"
"94802","1608","88394","1681","401","238","84378","1899","3615","1165","6408","1182","0500000US24025","Harford County, Maryland"
"116903","1234","113533","1489","251","260","110161","1829","3121","1082","3370","1068","0500000US24027","Howard County, Maryland"
"368334","3409","355634","3805","715","303","340267","4031","14652","2098","12700","1830","0500000US24031","Montgomery County, Maryland"
"315759","2100","300957","3018","242","184","277133","3450","23582","2895","14802","2096","0500000US24033","Prince George's County, Maryland"
"41239","1509","37989","1619","107","140","35714","1798","2168","908","3250","891","0500000US24037","St. Mary's County, Maryland"
"56306","1343","49775","1676","109","104","45824","1864","3842","838","6531","1128","0500000US24043","Washington County, Maryland"
"38084","1426","33619","1696","59","103","30320","1674","3240","999","4465","1056","0500000US24045","Wicomico County, Maryland"
"237204","3359","209555","3719","569","332","182628","4043","26358","2396","27649","2466","0500000US24510","Baltimore city, Maryland"
"86671","2983","82135","3058","102","118","77634","2954","4399","1067","4536","1135","0500000US25001","Barnstable County, Massachusetts"
"55212","1795","49658","1971","191","136","46851","1927","2616","726","5554","1122","0500000US25003","Berkshire County, Massachusetts"
"215132","2834","191400","2946","380","283","176758","3191","14262","2207","23732","2053","0500000US25005","Bristol County, Massachusetts"
"295481","2547","272551","3122","508","281","255215","3226","16828","2382","22930","1792","0500000US25009","Essex County, Massachusetts"
"30391","875","27669","974","133","94","24687","1138","2849","794","2722","528","0500000US25011","Franklin County, Massachusetts"
"178678","2153","155531","3237","946","420","141366","3294","13219","1925","23147","2239","0500000US25013","Hampden County, Massachusetts"
"58902","1585","54766","1712","268","222","50886","1766","3612","900","4136","757","0500000US25015","Hampshire County, Massachusetts"
"612224","4157","576986","4879","873","430","553979","4814","22134","2769","35238","3150","0500000US25017","Middlesex County, Massachusetts"
"267880","2214","253430","2811","424","237","242941","3625","10065","2043","14450","1857","0500000US25021","Norfolk County, Massachusetts"
"189304","3054","177735","3312","201","158","166542","3569","10992","1828","11569","1760","0500000US25023","Plymouth County, Massachusetts"
"315049","3110","290693","3901","528","296","269519","4318","20646","2491","24356","2403","0500000US25025","Suffolk County, Massachusetts"
"308831","3525","285301","3563","747","317","270744","4113","13810","2177","23530","2440","0500000US25027","Worcester County, Massachusetts"
"43992","1368","40002","1649","227","209","36830","1592","2945","733","3990","910","0500000US26005","Allegan County, Michigan"
"44469","1080","39830","1385","30","38","37698","1477","2102","542","4639","900","0500000US26017","Bay County, Michigan"
"64783","1365","58239","1756","112","91","47699","1779","10428","1493","6544","972","0500000US26021","Berrien County, Michigan"
"53914","1330","49092","1513","135","95","44706","1612","4251","921","4822","777","0500000US26025","Calhoun County, Michigan"
"29783","784","27349","969","145","136","25615","1012","1589","545","2434","576","0500000US26037","Clinton County, Michigan"
"44879","934","42047","1028","87","76","39091","1206","2869","768","2832","620","0500000US26045","Eaton County, Michigan"
"169469","2391","148428","3235","457","295","133698","3509","14273","1972","21041","2410","0500000US26049","Genesee County, Michigan"
"36782","1760","34629","1779","89","136","31662","1764","2878","857","2153","691","0500000US26055","Grand Traverse County, Michigan"
"112170","2008","105801","2357","116","94","93222","2841","12463","1938","6369","1043","0500000US26065","Ingham County, Michigan"
"25367","975","23331","1101","74","65","19865","1112","3392","710","2036","413","0500000US26073","Isabella County, Michigan"
"62598","1720","56227","1676","213","147","51579","1941","4435","1070","6371","1147","0500000US26075","Jackson County, Michigan"
"104234","1997","96664","2322","716","366","91524","2206","4424","936","7570","1265","0500000US26077","Kalamazoo County, Michigan"
"244046","2669","226890","3228","475","312","211684","3516","14731","2141","17156","2079","0500000US26081","Kent County, Michigan"
"33560","981","30172","1096","161","129","27751","1220","2260","659","3388","791","0500000US26087","Lapeer County, Michigan"
"38388","1194","34700","1289","118","86","31399","1360","3183","652","3688","639","0500000US26091","Lenawee County, Michigan"
"72676","1122","69688","1312","38","60","65699","1613","3951","1029","2988","666","0500000US26093","Livingston County, Michigan"
"347508","2620","320507","3754","585","278","304203","4015","15719","2174","27001","2590","0500000US26099","Macomb County, Michigan"
"26328","1167","23233","1304","16","18","21249","1289","1968","573","3095","587","0500000US26103","Marquette County, Michigan"
"34091","844","29947","1169","13","23","28099","1167","1835","439","4144","877","0500000US26111","Midland County, Michigan"
"61586","1101","55982","1366","144","139","51382","1491","4456","967","5604","1082","0500000US26115","Monroe County, Michigan"
"67196","1329","60713","1677","421","225","55119","1849","5173","1102","6483","1062","0500000US26121","Muskegon County, Michigan"
"503645","3953","471392","4434","575","329","450298","4514","20519","2243","32253","2883","0500000US26125","Oakland County, Michigan"
"103438","1947","97207","2044","354","228","91047","2151","5806","1296","6231","896","0500000US26139","Ottawa County, Michigan"
"78740","1414","69340","2123","311","245","64284","2216","4745","1072","9400","1364","0500000US26145","Saginaw County, Michigan"
"65751","1482","59093","1626","110","109","55606","1710","3377","676","6658","981","0500000US26147","St. Clair County, Michigan"
"28218","620","25877","900","47","55","23400","947","2430","607","2341","573","0500000US26155","Shiawassee County, Michigan"
"28607","1337","25847","1313","132","94","23286","1396","2429","717","2760","560","0500000US26159","Van Buren County, Michigan"
"143072","1755","137406","2144","34","56","130433","2256","6939","1087","5666","1042","0500000US26161","Washtenaw County, Michigan"
"687546","4917","615308","5857","1279","529","535280","6475","78749","4247","72238","4176","0500000US26163","Wayne County, Michigan"
"128140","1393","121430","1748","610","276","116417","1957","4403","872","6710","1300","0500000US27003","Anoka County, Minnesota"
"26362","855","24699","1032","31","31","23272","1059","1396","524","1663","520","0500000US27013","Blue Earth County, Minnesota"
"36925","929","35284","1031","28","33","33668","1183","1588","584","1641","482","0500000US27019","Carver County, Minnesota"
"162496","1249","155843","1685","220","132","149581","1795","6042","970","6653","1178","0500000US27037","Dakota County, Minnesota"
"508964","3587","482143","4340","1005","403","447202","4971","33936","2946","26821","2518","0500000US27053","Hennepin County, Minnesota"
"63462","1096","59280","1448","306","300","54907","1571","4067","903","4182","863","0500000US27109","Olmsted County, Minnesota"
"209287","2101","194490","2576","837","317","182473","2806","11180","1452","14797","1764","0500000US27123","Ramsey County, Minnesota"
"23358","783","20971","941","49","54","19884","924","1038","368","2387","694","0500000US27131","Rice County, Minnesota"
"84370","1926","74214","2070","544","219","67717","2019","5953","1064","10156","1164","0500000US27137","St. Louis County, Minnesota"
"50040","1031","48144","1154","77","112","46335","1312","1732","572","1896","554","0500000US27139","Scott County, Minnesota"
"32033","865","30685","901","213","199","29351","1086","1121","547","1348","481","0500000US27141","Sherburne County, Minnesota"
"58510","1538","53763","1792","243","143","48917","1912","4603","1040","4747","937","0500000US27145","Stearns County, Minnesota"
"96387","1277","91176","1530","356","236","88123","1807","2697","986","5211","986","0500000US27163","Washington County, Minnesota"
"48863","843","44771","1075","134","93","43026","1072","1611","490","4092","811","0500000US27171","Wright County, Minnesota"
"63075","1642","59578","1826","59","96","56621","1843","2898","873","3497","819","0500000US28033","DeSoto County, Mississippi"
"27248","1513","23146","1739","0","218","20589","1818","2557","859","4102","1218","0500000US28035","Forrest County, Mississippi"
"82375","2255","75683","2547","205","229","68299","3130","7179","2126","6692","1453","0500000US28047","Harrison County, Mississippi"
"85483","2220","76334","2319","74","87","68908","2455","7352","1579","9149","1362","0500000US28049","Hinds County, Mississippi"
"51659","2358","47455","2481","371","476","42788","2699","4296","1414","4204","1136","0500000US28059","Jackson County, Mississippi"
"25098","1254","22634","1282","6","13","15548","1480","7080","1549","2464","879","0500000US28067","Jones County, Mississippi"
"29993","1432","25969","1695","81","137","24034","1838","1854","719","4024","1018","0500000US28075","Lauderdale County, Mississippi"
"32527","1164","28293","1434","55","72","24502","1672","3736","962","4234","1088","0500000US28081","Lee County, Mississippi"
"40229","1467","38604","1485","0","218","37350","1619","1254","685","1625","591","0500000US28089","Madison County, Mississippi"
"55483","1717","51464","2037","125","167","45690","2338","5649","1926","4019","1117","0500000US28121","Rankin County, Mississippi"
"72217","1620","69103","1895","305","236","60408","2523","8390","1710","3114","938","0500000US29019","Boone County, Missouri"
"33621","1285","30775","1378","139","190","28026","1443","2610","865","2846","573","0500000US29021","Buchanan County, Missouri"
"28675","1233","26153","1335","92","142","24529","1302","1532","535","2522","574","0500000US29031","Cape Girardeau County, Missouri"
"40197","905","37731","1239","14","25","34798","1278","2919","825","2466","779","0500000US29037","Cass County, Missouri"
"31421","1196","28877","1112","129","203","26040","1453","2708","873","2544","810","0500000US29043","Christian County, Missouri"
"91901","1902","87715","2320","64","108","81714","2540","5937","1098","4186","1128","0500000US29047","Clay County, Missouri"
"29593","1324","27742","1357","104","143","21305","1673","6333","1288","1851","576","0500000US29051","Cole County, Missouri"
"40387","1353","36712","1616","147","172","33596","1455","2969","993","3675","868","0500000US29071","Franklin County, Missouri"
"128691","1842","111790","2329","291","233","94711","2954","16788","2304","16901","2002","0500000US29077","Greene County, Missouri"
"288752","3533","267004","3736","320","194","240927","3900","25757","2286","21748","2148","0500000US29095","Jackson County, Missouri"
"47846","957","42417","1341","224","203","39129","1538","3064","964","5429","1180","0500000US29097","Jasper County, Missouri"
"85892","1528","81341","1851","51","84","75998","2119","5292","1328","4551","994","0500000US29099","Jefferson County, Missouri"
"40086","969","38824","1062","109","132","37018","1202","1697","687","1262","550","0500000US29165","Platte County, Missouri"
"149951","1706","143088","2080","128","124","138007","2135","4953","1035","6863","1262","0500000US29183","St. Charles County, Missouri"
"25670","1485","21834","1733","61","107","20904","1757","869","432","3836","1005","0500000US29187","St. Francois County, Missouri"
"408117","3880","378967","4284","351","210","361065","4664","17551","2353","29150","2611","0500000US29189","St. Louis County, Missouri"
"144295","2502","125685","3341","33","54","109679","3417","15973","2472","18610","1922","0500000US29510","St. Louis city, Missouri"
"35558","942","30878","1273","151","133","28264","1369","2463","643","4680","983","0500000US30013","Cascade County, Montana"
"38372","1694","34876","1960","419","432","32482","1924","1975","689","3496","967","0500000US30029","Flathead County, Montana"
"44423","1405","42082","1549","0","172","39313","1716","2769","866","2341","882","0500000US30031","Gallatin County, Montana"
"27842","1037","24917","1163","0","172","23243","1216","1674","615","2925","727","0500000US30049","Lewis and Clark County, Montana"
"50401","1212","47923","1448","60","80","45992","1619","1871","684","2478","859","0500000US30063","Missoula County, Montana"
"66805","1731","60700","2215","269","208","55357","2181","5074","1163","6105","1491","0500000US30111","Yellowstone County, Montana"
"220858","2346","204483","2884","460","252","192783","2584","11240","1592","16375","1913","0500000US31055","Douglas County, Nebraska"
"125917","1786","118576","2348","311","180","111827","2605","6438","1232","7341","1518","0500000US31109","Lancaster County, Nebraska"
"66273","1240","63305","1393","218","226","60577","1447","2510","687","2968","740","0500000US31153","Sarpy County, Nebraska"
"808605","5626","755963","6963","1956","733","685174","6424","68833","4244","52642","3597","0500000US32003","Clark County, Nevada"
"185709","2535","176054","2776","297","194","162707","3322","13050","2217","9655","1281","0500000US32031","Washoe County, Nevada"
"30208","1282","27152","1486","262","197","25510","1539","1380","415","3056","811","0500000US33005","Cheshire County, New Hampshire"
"35394","1623","32576","1704","184","144","28726","1735","3666","983","2818","683","0500000US33009","Grafton County, New Hampshire"
"161649","2405","152929","2597","794","410","145303","2961","6832","1457","8720","1410","0500000US33011","Hillsborough County, New Hampshire"
"58521","1287","55097","1480","503","358","52251","1645","2343","657","3424","945","0500000US33013","Merrimack County, New Hampshire"
"119467","2346","114561","2556","233","250","110152","2705","4176","1068","4906","1219","0500000US33015","Rockingham County, New Hampshire"
"48393","1525","45144","1701","0","192","41423","1948","3721","1270","3249","876","0500000US33017","Strafford County, New Hampshire"
"96981","2649","90877","2687","219","193","83929","2708","6729","1538","6104","1067","0500000US34001","Atlantic County, New Jersey"
"339953","2811","318296","3538","660","375","304655","3900","12981","2029","21657","2306","0500000US34003","Bergen County, New Jersey"
"166698","3189","156495","3354","694","345","147919","3500","7882","1755","10203","1400","0500000US34005","Burlington County, New Jersey"
"188840","2558","172891","3140","480","355","159891","3710","12520","2201","15949","1711","0500000US34007","Camden County, New Jersey"
"39208","2517","36467","2575","0","210","34144","2361","2323","683","2741","757","0500000US34009","Cape May County, New Jersey"
"50034","1841","44617","1999","262","259","40994","2024","3361","1058","5417","1115","0500000US34011","Cumberland County, New Jersey"
"289921","2891","266330","3928","472","298","241865","4414","23993","2627","23591","2486","0500000US34013","Essex County, New Jersey"
"101414","2242","95140","2410","140","138","91575","2457","3425","956","6274","1106","0500000US34015","Gloucester County, New Jersey"
"263924","2261","246399","2727","364","254","230930","3573","15105","2195","17525","1670","0500000US34017","Hudson County, New Jersey"
"47733","966","45515","1321","188","161","44005","1444","1322","463","2218","696","0500000US34019","Hunterdon County, New Jersey"
"132980","1977","124528","2576","182","171","112661","2550","11685","2017","8452","1465","0500000US34021","Mercer County, New Jersey"
"285480","3044","269001","3652","564","354","253974","4026","14463","2049","16479","2281","0500000US34023","Middlesex County, New Jersey"
"236327","2742","221863","3202","531","335","210742","3532","10590","1871","14464","2035","0500000US34025","Monmouth County, New Jersey"
"181738","2277","172181","2781","283","200","167392","2887","4506","1114","9557","1455","0500000US34027","Morris County, New Jersey"
"228622","3160","205540","3747","827","461","188044","4037","16669","2186","23082","2564","0500000US34029","Ocean County, New Jersey"
"169521","1773","156615","2438","75","93","142680","2860","13860","2102","12906","1721","0500000US34031","Passaic County, New Jersey"
"23952","1015","22042","1070","29","50","20220","1140","1793","650","1910","623","0500000US34033","Salem County, New Jersey"
"118729","1954","114618","2043","204","266","110980","2284","3434","1086","4111","878","0500000US34035","Somerset County, New Jersey"
"53749","1618","51259","1766","142","160","49712","1764","1405","541","2490","857","0500000US34037","Sussex County, New Jersey"
"192021","2054","174469","3060","363","315","163249","3414","10857","1808","17552","2253","0500000US34039","Union County, New Jersey"
"41742","1111","37737","1420","62","73","35674","1351","2001","671","4005","996","0500000US34041","Warren County, New Jersey"
"270655","3583","250248","4174","649","316","219773","4323","29826","3320","20407","2100","0500000US35001","Bernalillo County, New Mexico"
"22616","1260","19376","1337","203","254","16088","1525","3085","992","3240","1075","0500000US35005","Chaves County, New Mexico"
"80409","1710","70212","1999","175","203","54923","2902","15114","2555","10197","1605","0500000US35013","Doña Ana County, New Mexico"
"23215","968","21057","1059","0","201","18652","1203","2405","781","2158","777","0500000US35025","Lea County, New Mexico"
"21449","655","13598","974","519","422","9456","992","3623","702","7851","944","0500000US35031","McKinley County, New Mexico"
"23747","1492","21840","1678","148","189","19282","1765","2410","966","1907","764","0500000US35035","Otero County, New Mexico"
"53996","1032","48489","1245","285","215","44985","1377","3219","823","5507","1010","0500000US35043","Sandoval County, New Mexico"
"43707","1245","36996","1366","155","143","31089","1519","5752","978","6711","906","0500000US35045","San Juan County, New Mexico"
"62707","1541","55119","1730","214","166","51018","1896","3887","1073","7588","1064","0500000US35049","Santa Fe County, New Mexico"
"28379","1042","25003","1286","38","68","21123","1558","3842","1236","3376","909","0500000US35061","Valencia County, New Mexico"
"126578","2481","114748","3115","498","370","107180","3208","7070","1663","11830","1616","0500000US36001","Albany County, New York"
"507370","2944","449984","4415","1002","720","389784","5870","59198","4543","57386","3296","0500000US36005","Bronx County, New York"
"75539","2336","68759","2371","176","162","63864","2534","4719","1162","6780","1207","0500000US36007","Broome County, New York"
"32079","1105","26799","1396","61","60","24076","1303","2662","591","5280","829","0500000US36009","Cattaraugus County, New York"
"30083","1041","26806","1112","89","89","24363","1242","2354","644","3277","564","0500000US36011","Cayuga County, New York"
"53429","1794","46451","1773","421","230","41739","1640","4291","1059","6978","1051","0500000US36013","Chautauqua County, New York"
"34325","1210","30456","1555","45","77","27975","1472","2436","752","3869","997","0500000US36015","Chemung County, New York"
"31392","1414","28840","1513","146","154","26575","1595","2119","805","2552","520","0500000US36019","Clinton County, New York"
"108071","2214","101278","2440","219","174","95448","2635","5611","1285","6793","1092","0500000US36027","Dutchess County, New York"
"390341","4209","349864","4929","1159","515","326751","5418","21954","2583","40477","2842","0500000US36029","Erie County, New York"
"44657","1987","40785","2013","92","95","37712","2073","2981","852","3872","764","0500000US36045","Jefferson County, New York"
"969317","5651","862989","6367","1015","389","790232","6947","71742","3798","106328","5352","0500000US36047","Kings County, New York"
"23746","1054","21860","1222","102","109","20381","1267","1377","467","1886","621","0500000US36051","Livingston County, New York"
"26127","1315","23602","1353","42","50","22398","1421","1162","403","2525","587","0500000US36053","Madison County, New York"
"301668","2889","275770","3677","1147","469","258843","3696","15780","1800","25898","2141","0500000US36055","Monroe County, New York"
"447123","3118","421870","3795","515","273","403884","4013","17471","2408","25253","2237","0500000US36059","Nassau County, New York"
"752258","9358","695861","10528","668","484","651863","9570","43330","4985","56397","4999","0500000US36061","New York County, New York"
"89765","1815","79356","2164","458","311","72431","2207","6467","1290","10409","1459","0500000US36063","Niagara County, New York"
"88871","1761","79346","2128","152","106","74875","2096","4319","848","9525","1519","0500000US36065","Oneida County, New York"
"185046","2584","163493","2975","291","176","146259","3261","16943","1944","21553","2063","0500000US36067","Onondaga County, New York"
"44079","1553","40692","1622","40","49","38537","1718","2115","670","3387","889","0500000US36069","Ontario County, New York"
"128259","2556","116218","2801","222","144","107403","3287","8593","1701","12041","1830","0500000US36071","Orange County, New York"
"46270","1427","41390","1724","458","258","38780","1528","2152","681","4880","1076","0500000US36075","Oswego County, New York"
"35425","1053","33517","1286","0","201","32386","1322","1131","541","1908","731","0500000US36079","Putnam County, New York"
"788110","4493","727774","5200","935","407","671403","6053","55436","4542","60336","3754","0500000US36081","Queens County, New York"
"64614","1585","60061","1928","504","393","56808","2081","2749","883","4553","1034","0500000US36083","Rensselaer County, New York"
"167441","2183","153692","3153","272","193","138554","3122","14866","2274","13749","2291","0500000US36085","Richmond County, New York"
"99502","1638","88477","2166","163","201","84365","2261","3949","1001","11025","1592","0500000US36087","Rockland County, New York"
"41680","1492","36032","1601","157","154","33319","1415","2556","753","5648","971","0500000US36089","St. Lawrence County, New York"
"94156","2358","88679","2295","200","196","84010","2603","4469","1113","5477","869","0500000US36091","Saratoga County, New York"
"55262","2067","50432","2208","52","85","46514","2329","3866","1100","4830","946","0500000US36093","Schenectady County, New York"
"40578","1158","35590","1363","182","109","32423","1356","2985","767","4988","680","0500000US36101","Steuben County, New York"
"496784","4540","467856","4736","848","463","446551","4958","20457","2717","28928","2649","0500000US36103","Suffolk County, New York"
"28900","1706","25630","1756","154","148","23324","1736","2152","685","3270","790","0500000US36105","Sullivan County, New York"
"40250","1478","38483","1532","90","143","34835","1624","3558","857","1767","657","0500000US36109","Tompkins County, New York"
"69154","2116","64596","2373","393","248","60576","2421","3627","1019","4558","930","0500000US36111","Ulster County, New York"
"28007","1304","24347","1387","64","66","22270","1401","2013","656","3660","934","0500000US36113","Warren County, New York"
"35927","1087","31970","1310","76","78","29922","1277","1972","538","3957","899","0500000US36117","Wayne County, New York"
"352498","3458","327815","4184","399","248","308215","4663","19201","2721","24683","2547","0500000US36119","Westchester County, New York"
"64700","1430","57378","2113","104","161","50922","2231","6352","1484","7322","1406","0500000US37001","Alamance County, North Carolina"
"56752","2253","53603","2199","17","20","51868","2410","1718","664","3149","660","0500000US37019","Brunswick County, North Carolina"
"108411","2722","96027","2973","147","175","89428","2573","6452","1525","12384","1913","0500000US37021","Buncombe County, North Carolina"
"36157","1207","31861","1467","137","129","26489","1636","5235","1105","4296","885","0500000US37023","Burke County, North Carolina"
