id,total (total_pop),total (int_access),total (income),perc_int_access,perc_income
37019,136744,56752,38908,41.5024,28.4532
37021,259103,108411,62390,41.8409,24.0792
37023,90382,36157,23863,40.0046,26.4024
37025,211342,73751,54401,34.8965,25.7407
37027,82029,31544,22449,38.4547,27.3672
37031,69524,28720,18202,41.3095,26.1809
37035,158652,62861,43671,39.6219,27.5263
22109,111021,37911,26511,34.1476,23.8793
23001,107679,44897,26533,41.6952,24.6408
23003,67111,29931,17603,44.5992,26.2297
23005,293557,123485,72142,42.0651,24.5751
23011,122083,54299,31105,44.4771,25.4786
23019,151096,61765,36788,40.878,24.3474
23031,206229,88416,54432,42.8727,26.394
30111,160137,66805,40412,41.7174,25.2359
31055,566880,220858,134887,38.9603,23.7946
31109,317272,125917,73258,39.6874,23.09
33013,151132,58521,38014,38.7218,25.1528
33015,309176,119467,82901,38.6404,26.8135
33017,130090,48393,29606,37.1996,22.7581
34001,265429,96981,64492,36.5375,24.2973
34003,936692,339953,243393,36.2929,25.9843
34005,445384,166698,115839,37.4279,26.0088
34007,507078,188840,122775,37.2408,24.2123
34009,92560,39208,25773,42.3596,27.8446
34011,150972,50034,34428,33.1412,22.8042
34013,799767,289921,189597,36.2507,23.7065
34015,291408,101414,69496,34.8014,23.8484
34017,676061,263924,158957,39.0385,23.5122
34019,124714,47733,35139,38.274,28.1757
34021,369811,132980,89807,35.9589,24.2846
34023,829685,285480,207900,34.4082,25.0577
34025,621354,236327,163558,38.0342,26.3228
34027,494228,181738,127292,36.7721,25.7557
34029,601651,228622,150140,37.9991,24.9547
34031,503310,169521,125204,33.6812,24.8761
34033,62607,23952,16345,38.2577,26.1073
34035,331164,118729,88135,35.852,26.6137
34037,140799,53749,38434,38.1743,27.2971
34039,558067,192021,137761,34.4082,24.6854
34041,105779,41742,27171,39.4615,25.6866
35001,678701,270655,159729,39.8784,23.5345
35005,64689,22616,15991,34.9611,24.7198
35013,217522,80409,52763,36.9659,24.2564
35025,69611,23215,16252,33.3496,23.3469
35031,72290,21449,14809,29.6708,20.4855
35035,66781,23747,13748,35.5595,20.5867
35043,145179,53996,36841,37.1927,25.3763
35045,125043,43707,29548,34.9536,23.6303
35049,150056,62707,36488,41.7891,24.3163
35061,76456,28379,18194,37.1181,23.7967
36001,307117,126578,72332,41.2149,23.5519
27163,259201,96387,68219,37.1862,26.319
27171,136349,48863,35755,35.8367,26.2231
28033,182001,63075,45993,34.6564,25.2707
28035,75036,27248,14427,36.3132,19.2268
28047,206650,82375,52963,39.8621,25.6293
28049,237085,85483,52610,36.0558,22.1904
28059,143277,51659,33753,36.0553,23.5579
28067,68461,25098,17400,36.6603,25.4159
28075,75317,29993,18858,39.8223,25.0382
28081,85202,32527,22217,38.1763,26.0757
28089,105630,40229,29030,38.0848,27.4827
28121,153902,55483,38785,36.0509,25.2011
29019,180005,72217,39505,40.1194,21.9466
29021,88571,33621,20116,37.9594,22.7117
29031,78753,28675,18641,36.4113,23.6702
29037,104954,40197,29713,38.2996,28.3105
29043,86983,31421,22064,36.1231,25.3659
29047,246365,91901,60259,37.3028,24.4592
48497,68305,22864,17357,33.4734,25.411
49005,127068,39224,29646,30.8685,23.3308
49011,351713,104462,83092,29.7009,23.6249
49035,1152633,381831,265179,33.1269,23.0064
6113,220408,74428,46437,33.7683,21.0687
6115,78041,26191,17889,33.5606,22.9226
8001,511868,168361,118115,32.8915,23.0753
8005,651215,242141,158118,37.183,24.2805
8013,326078,128295,74769,39.3449,22.9298
8014,69267,28530,18556,41.1884,26.7891
8031,716492,310324,145101,43.3116,20.2516
8035,342776,125035,95944,36.4772,27.9903
8041,713856,260851,176041,36.5411,24.6606
8059,580233,233272,148258,40.2032,25.5515
8069,350518,139382,85701,39.7646,24.4498
8077,153207,61848,37310,40.3689,24.3527
8101,167529,64954,41603,38.7718,24.8333
8123,314305,107929,77930,34.3389,24.7944
9001,943823,345634,237407,36.6206,25.1538
39055,94031,35387,25274,37.6333,26.8784
39057,167995,66053,43123,39.3184,25.6692
9011,266784,108098,69117,40.5189,25.9075
22033,440956,163274,95154,37.0273,21.579
24017,161503,56947,41483,35.2606,25.6856
24021,255648,95903,66920,37.5137,26.1766
24025,253956,94802,67774,37.3301,26.6873
24027,323196,116903,86143,36.1709,26.6535
24031,1052567,368334,257291,34.9939,24.4441
24033,909308,315759,206154,34.7252,22.6715
24037,112664,41239,28173,36.6035,25.0062
24043,150926,56306,37072,37.307,24.563
24045,103195,38084,24972,36.9049,24.1988
24510,602495,237204,117955,39.3703,19.5778
25001,213413,86671,54040,40.6119,25.3218
25003,126348,55212,31618,43.6984,25.0245
25005,564022,215132,141303,38.1425,25.0527
25009,790638,295481,198593,37.3725,25.1181
25011,70963,30391,17645,42.8265,24.8651
25013,470406,178678,113359,37.9838,24.0981
25015,161355,58902,34059,36.5046,21.1081
25017,1614714,612224,385308,37.9153,23.8623
25021,705388,267880,174936,37.9763,24.8
25023,518132,189304,131226,36.5359,25.3267
25025,807252,315049,153541,39.0273,19.0202
25027,830839,308831,202026,37.171,24.3159
26005,117327,43992,32703,37.4952,27.8734
26017,103923,44469,29075,42.7903,27.9774
26021,154141,64783,42226,42.0284,27.3944
26025,134487,53914,33082,40.0886,24.5987
26037,79332,29783,20746,37.5422,26.1509
26045,109826,44879,29437,40.8637,26.8033
26049,406892,169469,104915,41.6496,25.7845
26055,92573,36782,22866,39.733,24.7005
26065,292735,112170,61958,38.3179,21.1652
26073,70562,25367,14589,35.9499,20.6754
26075,158823,62598,39406,39.4137,24.8113
26077,264870,104234,61117,39.3529,23.0743
26081,653786,244046,163120,37.3281,24.9501
26087,88028,33560,23556,38.1242,26.7597
26091,98266,38388,25874,39.0654,26.3306
26093,191224,72676,54151,38.0057,28.3181
26103,66516,26328,15842,39.5815,23.8168
26111,83209,34091,22495,40.9703,27.0343
26115,150439,61586,42079,40.9375,27.9708
26121,173588,67196,44746,38.71,25.7771
26125,1259201,503645,317128,39.9972,25.1849
26139,290494,103438,74706,35.6076,25.7169
26145,190800,78740,50638,41.2683,26.5398
26147,159337,65751,43184,41.2654,27.1023
26155,68192,28218,19116,41.3802,28.0326
26159,75448,28607,20700,37.9162,27.4361
26161,370963,143072,82598,38.5677,22.2658
55127,103718,40864,26923,39.3991,25.9579
55131,135693,55488,38313,40.8923,28.2351
55133,403072,158368,110134,39.2903,27.3237
55139,171020,71332,41338,41.7097,24.1714
55141,73055,32274,19775,44.1777,27.0686
56021,98976,39678,25836,40.0885,26.1033
56025,79115,32240,20266,40.7508,25.6159
72013,82114,30206,20820,36.7854,25.355
72021,170480,64932,43141,38.0878,25.3056
72025,124434,47374,31241,38.0716,25.1065
72031,147661,61313,40612,41.5228,27.5035
72061,83787,27857,17947,33.2474,21.4198
72097,71986,30909,16748,42.9375,23.2656
72113,133191,53450,34737,40.1303,26.0806
6085,1937570,645108,461799,33.2947,23.8339
6087,274255,94994,62397,34.6371,22.7515
6089,180040,68198,45982,37.8794,25.5399
6095,446610,152291,108587,34.0993,24.3136
6097,499942,187434,118022,37.4911,23.6071
6099,549815,175171,128261,31.86,23.328
6101,96807,31989,23427,33.0441,24.1997
6107,465861,139197,103190,29.8795,22.1504
6111,850967,271980,194306,31.9613,22.8336
26099,874759,347508,227394,39.7261,25.995
26163,1753893,687546,408205,39.2011,23.2742
27003,353813,128140,90726,36.2169,25.6424
27013,67427,26362,16209,39.0971,24.0393
27019,103551,36925,27536,35.6588,26.5917
27037,425423,162496,113191,38.1963,26.6067
27053,1259428,508964,292301,40.4123,23.209
27109,156277,63462,39793,40.6087,25.4631
27123,550210,209287,118943,38.0377,21.6177
27131,66523,23358,14748,35.1127,22.1698
27137,199754,84370,47595,42.2369,23.8268
27139,147381,50040,39923,33.9528,27.0883
27141,96036,32033,23539,33.3552,24.5106
27145,159256,58510,38320,36.7396,24.0619
13021,153095,57905,34437,37.8229,22.4939
13031,77296,27097,16167,35.0561,20.9157
13045,118121,41197,29111,34.8769,24.6451
13047,67420,24722,17070,36.6686,25.3189
13051,289195,107921,64383,37.3177,22.2628
13057,254149,89974,68899,35.4021,27.1097
13059,127330,49698,26138,39.0309,20.5278
13063,289615,96286,64911,33.2462,22.4129
13067,756865,283094,191753,37.4035,25.3352
48139,179436,58633,46089,32.6763,25.6855
48141,840758,270160,190227,32.1329,22.6257
48157,787858,245410,199146,31.149,25.2769
48167,337890,121976,82957,36.0993,24.5515
48181,133991,48963,31837,36.542,23.7606
48183,123707,45513,29512,36.791,23.8564
48187,163694,54789,41568,33.4704,25.3937
48201,4698619,1600357,1102826,34.0602,23.4713
48203,66726,22928,15766,34.3614,23.628
48209,222631,75164,48342,33.7617,21.714
48213,82299,30843,20780,37.4768,25.2494
48215,865939,237323,190170,27.4064,21.9611
48231,96493,34132,23519,35.3725,24.3738
48245,255001,90839,58949,35.623,23.1172
48251,171361,59180,44857,34.5353,26.1769
9003,892697,348049,223589,38.9885,25.0465
9005,181111,73598,46847,40.637,25.8665
9007,162682,66983,41772,41.1742,25.6771
9009,857620,335539,207727,39.1244,24.2213
