id,total (total_pop),total (int_access),total (income),perc_int_access,perc_income
41059,77516,26048,17297,33.6034,22.3141
41067,597695,225955,149665,37.8044,25.0404
41071,107002,37235,24476,34.7984,22.8743
42001,102811,39570,27421,38.4881,26.6713
42003,1218452,543369,303257,44.595,24.8887
42005,65263,27332,17972,41.8798,27.5378
42007,164742,73059,45627,44.3475,27.696
42011,420152,157006,108057,37.3689,25.7185
42013,122492,51096,32833,41.7137,26.8042
42017,628195,239962,171229,38.1987,27.2573
42019,187888,77764,51885,41.3885,27.6149
42021,131730,56483,35505,42.8779,26.9529
42025,64227,25177,17193,39.2,26.7691
42027,162805,58514,32350,35.9412,19.8704
42029,522046,192746,138582,36.9213,26.5459
42033,79388,31992,20941,40.2983,26.378
42037,65456,26655,14947,40.722,22.8352
42039,85063,34386,21985,40.4242,25.8456
42041,251423,102243,63498,40.6657,25.2554
42043,277097,112559,69919,40.6208,25.2327
42045,564751,207499,139055,36.7417,24.6224
42049,272061,109797,68334,40.3575,25.1172
42051,130441,56085,37447,42.9965,28.708
42055,154835,59834,43935,38.6437,28.3754
42063,84501,33098,21675,39.1688,25.6506
42069,210793,88268,53538,41.8743,25.3984
42071,543557,202490,140049,37.2528,25.7653
42073,86184,37497,24528,43.5081,28.46
42075,141314,54522,38309,38.5822,27.1091
42077,368100,138586,90549,37.649,24.599
47165,187149,68439,49307,36.5693,26.3464
47179,128607,54433,34181,42.3251,26.5779
47187,231729,80601,63944,34.7824,27.5943
47189,140625,52489,38241,37.3255,27.1936
48005,87092,29898,21615,34.3292,24.8186
48021,86976,25334,18858,29.1276,21.6818
48027,355642,123188,83783,34.6382,23.5582
48029,1986049,644193,411518,32.4359,20.7204
48037,94324,35228,23551,37.3479,24.9682
48039,370200,120802,86582,32.6315,23.3879
48041,226758,81030,42273,35.7341,18.6423
1003,218022,83501,55354,38.2993,25.3892
5145,78727,29577,20733,37.5691,26.3353
6001,1666753,575410,381320,34.5228,22.878
6007,231256,88636,51467,38.3281,22.2554
6013,1150215,396133,285418,34.4399,24.8143
6017,190678,72774,49875,38.1659,26.1567
6019,994400,309519,220824,31.1262,22.2068
6023,136373,55773,29581,40.8974,21.6912
6025,181827,41764,30792,22.9691,16.9348
6029,896764,273167,201894,30.4614,22.5136
6031,151366,43727,33774,28.8883,22.3128
6033,64382,26774,16035,41.5862,24.906
6037,10105518,3313908,2193349,32.7931,21.7045
6039,157672,44484,33834,28.213,21.4585
6041,259666,104954,67597,40.4188,26.0323
6045,87606,33794,21433,38.575,24.4652
6047,274765,79487,57977,28.9291,21.1006
