id,total,has_computer,no_computer
21029,29789,27680,2109
21037,36992,33549,3443
21047,26114,23151,2963
21059,39590,35482,4108
21067,131067,125508,5559
21093,41625,37683,3942
21111,311263,281390,29873
21117,64611,60015,4596
21145,27650,25320,2330
21151,33396,30450,2946
21185,21237,20492,745
21227,48843,45523,3320
22005,45102,41978,3124
22015,50099,45158,4941
22017,94778,82577,12201
22019,78351,68280,10071
22033,163274,149950,13324
22045,25386,21667,3719
22051,167596,148758,18838
22055,94002,87650,6352
22057,35838,31235,4603
22063,49084,46591,2493
22071,155104,136292,18812
22073,55599,46102,9497
22079,48915,43808,5107
22097,29965,22198,7767
22103,93589,87266,6323
22105,47401,41561,5840
22109,37911,33356,4555
23001,44897,40858,4039
23003,29931,24859,5072
23005,123485,114803,8682
23011,54299,48313,5986
23019,61765,55648,6117
23031,88416,81271,7145
24001,27190,22813,4377
24003,212687,201634,11053
24005,313259,290567,22692
24009,32145,30005,2140
24013,60371,54985,5386
24015,36620,32638,3982
24017,56947,52393,4554
24021,95903,90147,5756
24025,94802,88394,6408
24027,116903,113533,3370
24031,368334,355634,12700
24033,315759,300957,14802
24037,41239,37989,3250
24043,56306,49775,6531
24045,38084,33619,4465
24510,237204,209555,27649
25001,86671,82135,4536
25003,55212,49658,5554
25005,215132,191400,23732
25009,295481,272551,22930
25011,30391,27669,2722
25013,178678,155531,23147
25015,58902,54766,4136
25017,612224,576986,35238
25021,267880,253430,14450
25023,189304,177735,11569
25025,315049,290693,24356
25027,308831,285301,23530
26005,43992,40002,3990
26017,44469,39830,4639
26021,64783,58239,6544
26025,53914,49092,4822
26037,29783,27349,2434
26045,44879,42047,2832
26049,169469,148428,21041
26055,36782,34629,2153
26065,112170,105801,6369
26073,25367,23331,2036
26075,62598,56227,6371
26077,104234,96664,7570
26081,244046,226890,17156
26087,33560,30172,3388
26091,38388,34700,3688
26093,72676,69688,2988
26099,347508,320507,27001
26103,26328,23233,3095
26111,34091,29947,4144
26115,61586,55982,5604
26121,67196,60713,6483
26125,503645,471392,32253
26139,103438,97207,6231
26145,78740,69340,9400
26147,65751,59093,6658
26155,28218,25877,2341
26159,28607,25847,2760
26161,143072,137406,5666
26163,687546,615308,72238
27003,128140,121430,6710
27013,26362,24699,1663
27019,36925,35284,1641
27037,162496,155843,6653
27053,508964,482143,26821
27109,63462,59280,4182
27123,209287,194490,14797
27131,23358,20971,2387
27137,84370,74214,10156
27139,50040,48144,1896
27141,32033,30685,1348
27145,58510,53763,4747
27163,96387,91176,5211
27171,48863,44771,4092
28033,63075,59578,3497
28035,27248,23146,4102
28047,82375,75683,6692
28049,85483,76334,9149
28059,51659,47455,4204
28067,25098,22634,2464
28075,29993,25969,4024
28081,32527,28293,4234
28089,40229,38604,1625
28121,55483,51464,4019
29019,72217,69103,3114
29021,33621,30775,2846
29031,28675,26153,2522
29037,40197,37731,2466
29043,31421,28877,2544
29047,91901,87715,4186
29051,29593,27742,1851
29071,40387,36712,3675
29077,128691,111790,16901
29095,288752,267004,21748
29097,47846,42417,5429
29099,85892,81341,4551
29165,40086,38824,1262
29183,149951,143088,6863
29187,25670,21834,3836
29189,408117,378967,29150
29510,144295,125685,18610
30013,35558,30878,4680
30029,38372,34876,3496
30031,44423,42082,2341
30049,27842,24917,2925
30063,50401,47923,2478
30111,66805,60700,6105
31055,220858,204483,16375
