index,id,geographic_area_name,households,avg_household_income_dollars
142,12107,"Putnam County, Florida",27927,55109
143,12109,"St. Johns County, Florida",90109,110555
144,12111,"St. Lucie County, Florida",118768,70069
145,12113,"Santa Rosa County, Florida",63891,89919
146,12115,"Sarasota County, Florida",183721,89010
147,12117,"Seminole County, Florida",179274,90253
148,12119,"Sumter County, Florida",62854,67209
149,12127,"Volusia County, Florida",218423,69008
150,12131,"Walton County, Florida",28770,87915
151,13013,"Barrow County, Georgia",27525,73157
152,13015,"Bartow County, Georgia",35506,67477
153,13021,"Bibb County, Georgia",57905,57834
154,13031,"Bulloch County, Georgia",27097,58705
155,13045,"Carroll County, Georgia",41197,70130
156,13047,"Catoosa County, Georgia",24722,72319
157,13051,"Chatham County, Georgia",107921,81566
158,13057,"Cherokee County, Georgia",89974,100223
159,13059,"Clarke County, Georgia",49698,60185
160,13063,"Clayton County, Georgia",96286,58543
161,13067,"Cobb County, Georgia",283094,105969
162,13073,"Columbia County, Georgia",47167,103682
163,13077,"Coweta County, Georgia",52114,87585
164,13089,"DeKalb County, Georgia",287001,92984
165,13095,"Dougherty County, Georgia",33717,53258
166,13097,"Douglas County, Georgia",49534,76860
167,13113,"Fayette County, Georgia",39366,126801
168,13115,"Floyd County, Georgia",34672,61873
169,13117,"Forsyth County, Georgia",81353,128969
170,13121,"Fulton County, Georgia",417157,115257
171,13127,"Glynn County, Georgia",34634,84585
172,13135,"Gwinnett County, Georgia",297658,90733
173,13139,"Hall County, Georgia",64990,85602
174,13151,"Henry County, Georgia",75926,89068
175,13153,"Houston County, Georgia",58155,82242
176,13157,"Jackson County, Georgia",23640,85599
177,13185,"Lowndes County, Georgia",41734,54847
178,13215,"Muscogee County, Georgia",72862,62065
179,13217,"Newton County, Georgia",38436,74269
180,13223,"Paulding County, Georgia",53630,85260
181,13245,"Richmond County, Georgia",70534,54935
182,13247,"Rockdale County, Georgia",31460,80110
183,13255,"Spalding County, Georgia",25659,56804
184,13285,"Troup County, Georgia",25417,65104
185,13295,"Walker County, Georgia",26895,56589
186,13297,"Walton County, Georgia",32624,76499
187,13313,"Whitfield County, Georgia",36658,60172
188,15001,"Hawaii County, Hawaii",71565,86179
189,15003,"Honolulu County, Hawaii",308208,107128
190,15007,"Kauai County, Hawaii",22685,97438
191,15009,"Maui County, Hawaii",52794,105494
192,16001,"Ada County, Idaho",178712,86645
193,16005,"Bannock County, Idaho",30635,63690
194,16019,"Bonneville County, Idaho",40224,80113
195,16027,"Canyon County, Idaho",74520,63000
196,16055,"Kootenai County, Idaho",64955,74904
197,16083,"Twin Falls County, Idaho",32041,69765
198,17001,"Adams County, Illinois",26397,75647
199,17019,"Champaign County, Illinois",84290,72991
200,17031,"Cook County, Illinois",1981796,94922
201,17037,"DeKalb County, Illinois",38849,77923
202,17043,"DuPage County, Illinois",345714,124223
203,17089,"Kane County, Illinois",183633,105206
204,17091,"Kankakee County, Illinois",40642,68548
205,17093,"Kendall County, Illinois",40716,100267
206,17097,"Lake County, Illinois",246620,124501
207,17099,"LaSalle County, Illinois",44714,73633
208,17111,"McHenry County, Illinois",114544,106299
209,17113,"McLean County, Illinois",65998,85424
210,17115,"Macon County, Illinois",44562,68066
211,17119,"Madison County, Illinois",108977,75747
212,17143,"Peoria County, Illinois",71506,76932
213,17161,"Rock Island County, Illinois",61009,69130
214,17163,"St. Clair County, Illinois",104803,74586
215,17167,"Sangamon County, Illinois",83006,79986
216,17179,"Tazewell County, Illinois",54123,75663
217,17183,"Vermilion County, Illinois",30166,58099
218,17197,"Will County, Illinois",231647,106216
219,17199,"Williamson County, Illinois",27815,59712
220,17201,"Winnebago County, Illinois",114337,70435
221,18003,"Allen County, Indiana",147638,74785
222,18005,"Bartholomew County, Indiana",31891,74914
223,18011,"Boone County, Indiana",24808,113352
224,18019,"Clark County, Indiana",45905,73706
225,18035,"Delaware County, Indiana",45311,55830
226,18039,"Elkhart County, Indiana",73660,71886
227,18043,"Floyd County, Indiana",30300,85837
228,18053,"Grant County, Indiana",26923,54737
229,18057,"Hamilton County, Indiana",122876,132032
230,18059,"Hancock County, Indiana",29605,82281
231,18063,"Hendricks County, Indiana",60368,98463
232,18067,"Howard County, Indiana",35139,69523
233,18081,"Johnson County, Indiana",57504,83327
234,18085,"Kosciusko County, Indiana",30798,72722
235,18089,"Lake County, Indiana",186769,71527
236,18091,"LaPorte County, Indiana",43122,68665
237,18095,"Madison County, Indiana",50426,60839
238,18097,"Marion County, Indiana",373634,67400
239,18105,"Monroe County, Indiana",57102,63352
240,18109,"Morgan County, Indiana",25968,79105
241,18127,"Porter County, Indiana",66144,82931
