total,less_10000_total,less_10000_internet,less_10000_none,_10000_19900_total,_10000_19900_internet,_10000_19900_none,_20000_34999_total,_20000_34999_internet,_20000_34999_none,_35000_49999_total,_35000_49999_internet,_35000_49999_none,_50000_74900_total,_50000_74900_internet,_50000_74900_none,greater_75000_total,greater_75000_internet,greater_75000_none,id,geographic_area_name
81353,2018,1724,294,2444,1882,562,5458,4536,922,6755,6060,695,10514,10053,461,54164,53624,540,13117,"Forsyth County, Georgia"
417157,28264,20575,7689,28463,18714,9749,45633,36183,9450,44199,38952,5247,73774,68708,5066,196824,189450,7374,13121,"Fulton County, Georgia"
34634,2207,1415,792,2604,1789,815,6772,4313,2459,4289,3404,885,5795,5261,534,12967,12512,455,13127,"Glynn County, Georgia"
297658,13208,8837,4371,15105,11043,4062,34136,27146,6990,37891,33215,4676,53545,49253,4292,143773,138183,5590,13135,"Gwinnett County, Georgia"
64990,2884,1750,1134,4862,3055,1807,9214,7443,1771,9462,8158,1304,11767,10618,1149,26801,26308,493,13139,"Hall County, Georgia"
75926,1284,799,485,4446,2659,1787,8743,6494,2249,9119,8004,1115,14898,12549,2349,37436,34404,3032,13151,"Henry County, Georgia"
58155,2747,2023,724,4072,2031,2041,9427,8208,1219,9566,8070,1496,9199,8663,536,23144,22046,1098,13153,"Houston County, Georgia"
23640,308,203,105,1129,522,607,3348,2687,661,2083,1996,87,5484,5107,377,11288,10698,590,13157,"Jackson County, Georgia"
41734,8672,2191,6481,4972,2162,2810,7247,3249,3998,3683,2591,1092,6978,4821,2157,10182,8611,1571,13185,"Lowndes County, Georgia"
72862,8581,4913,3668,7734,4992,2742,12173,9360,2813,9169,7463,1706,14599,13436,1163,20606,19668,938,13215,"Muscogee County, Georgia"
38436,3652,3217,435,1871,1389,482,5527,4940,587,5206,4741,465,8194,7889,305,13986,13617,369,13217,"Newton County, Georgia"
53630,1651,1152,499,2864,2278,586,5729,3857,1872,6760,5687,1073,11177,10668,509,25449,24751,698,13223,"Paulding County, Georgia"
70534,8290,5024,3266,9727,6405,3322,13867,10650,3217,9517,6970,2547,12767,10633,2134,16366,15238,1128,13245,"Richmond County, Georgia"
31460,1276,1134,142,1994,1378,616,5282,3981,1301,3689,2970,719,6248,5511,737,12971,12304,667,13247,"Rockdale County, Georgia"
25659,2004,420,1584,2237,964,1273,5508,3396,2112,5229,3976,1253,4569,3113,1456,6112,5386,726,13255,"Spalding County, Georgia"
25417,2164,1549,615,4602,3874,728,3666,2229,1437,3447,2223,1224,4032,3408,624,7506,6336,1170,13285,"Troup County, Georgia"
26895,2715,1596,1119,3111,1705,1406,5746,4352,1394,3601,2997,604,5256,4731,525,6466,6029,437,13295,"Walker County, Georgia"
32624,1417,1042,375,2949,2548,401,4497,2715,1782,3394,3015,379,6347,5968,379,14020,13789,231,13297,"Walton County, Georgia"
36658,1741,564,1177,4398,2499,1899,7795,5757,2038,6170,5200,970,6555,6219,336,9999,9904,95,13313,"Whitfield County, Georgia"
71565,7079,4146,2933,5696,3583,2113,9742,6979,2763,9063,6020,3043,10014,7070,2944,29971,26341,3630,15001,"Hawaii County, Hawaii"
308208,14297,9613,4684,14408,7549,6859,28138,20039,8099,30247,26107,4140,49803,44872,4931,171315,164306,7009,15003,"Honolulu County, Hawaii"
22685,989,725,264,1565,922,643,2628,1660,968,2357,2047,310,2973,2793,180,12173,11922,251,15007,"Kauai County, Hawaii"
178712,10980,8300,2680,10673,7120,3553,23458,18473,4985,21941,20144,1797,34374,31705,2669,77286,75227,2059,16001,"Ada County, Idaho"
30635,2014,1000,1014,2792,2264,528,5032,4244,788,5268,4452,816,5514,5020,494,10015,9852,163,16005,"Bannock County, Idaho"
40224,1927,1699,228,2850,1667,1183,5570,4614,956,6937,6315,622,7828,7494,334,15112,14694,418,16019,"Bonneville County, Idaho"
74520,3062,2454,608,6216,3464,2752,12758,10898,1860,12210,10681,1529,18725,17764,961,21549,20730,819,16027,"Canyon County, Idaho"
64955,3896,2690,1206,5696,3576,2120,8723,6692,2031,11112,9373,1739,13034,10936,2098,22494,21772,722,16055,"Kootenai County, Idaho"
32041,2292,978,1314,3124,2391,733,4789,3352,1437,5250,4690,560,7271,6872,399,9315,8892,423,16083,"Twin Falls County, Idaho"
26397,1914,680,1234,2423,1247,1176,3673,2858,815,3338,2899,439,5718,5144,574,9331,8921,410,17001,"Adams County, Illinois"
84290,10586,8123,2463,8005,5471,2534,11713,8706,3007,9180,7665,1515,15461,13514,1947,29345,27763,1582,17019,"Champaign County, Illinois"
1981796,144662,91445,53217,158268,96890,61378,269745,199557,70188,227217,185644,41573,325625,288543,37082,856279,811067,45212,17031,"Cook County, Illinois"
38849,1695,1584,111,4281,3261,1020,5360,4447,913,4658,4072,586,7391,6836,555,15464,14944,520,17037,"DeKalb County, Illinois"
345714,13837,10526,3311,14278,9684,4594,27438,21720,5718,31631,27877,3754,50273,46887,3386,208257,201744,6513,17043,"DuPage County, Illinois"
183633,7029,4523,2506,8953,6334,2619,19298,14230,5068,21206,17262,3944,30635,27791,2844,96512,93486,3026,17089,"Kane County, Illinois"
40642,3304,1795,1509,3919,1890,2029,7437,4861,2576,5197,4264,933,6176,5829,347,14609,13665,944,17091,"Kankakee County, Illinois"
40716,788,325,463,1848,796,1052,2256,1611,645,3285,2866,419,6665,6470,195,25874,25302,572,17093,"Kendall County, Illinois"
246620,9663,7501,2162,14641,10388,4253,25533,20228,5305,20283,18033,2250,37519,34057,3462,138981,135060,3921,17097,"Lake County, Illinois"
44714,2125,1780,345,4721,3076,1645,8034,6138,1896,6556,5237,1319,8417,7507,910,14861,14226,635,17099,"LaSalle County, Illinois"
114544,3551,2656,895,4448,2968,1480,10013,8256,1757,10357,9479,878,22901,21442,1459,63274,62489,785,17111,"McHenry County, Illinois"
65998,6968,3256,3712,4288,2608,1680,8873,6895,1978,5044,4466,578,11752,10602,1150,29073,28281,792,17113,"McLean County, Illinois"
44562,2978,1956,1022,4724,3338,1386,7478,4730,2748,7071,6050,1021,7989,6910,1079,14322,13643,679,17115,"Macon County, Illinois"
108977,7458,4862,2596,9370,6659,2711,15002,11594,3408,13720,11392,2328,21513,19926,1587,41914,40476,1438,17119,"Madison County, Illinois"
71506,6616,3412,3204,7005,4339,2666,9723,7761,1962,8490,7530,960,14505,13145,1360,25167,23151,2016,17143,"Peoria County, Illinois"
61009,3482,1825,1657,6146,3393,2753,10283,8528,1755,8913,7726,1187,11219,9891,1328,20966,19881,1085,17161,"Rock Island County, Illinois"
104803,8874,3499,5375,8797,5299,3498,16050,10459,5591,11924,9684,2240,20422,16858,3564,38736,35289,3447,17163,"St. Clair County, Illinois"
83006,6142,3316,2826,7089,4451,2638,11120,7433,3687,9607,7291,2316,13500,11256,2244,35548,33117,2431,17167,"Sangamon County, Illinois"
54123,2631,1365,1266,4073,2721,1352,6748,4803,1945,8392,7223,1169,12023,10643,1380,20256,19039,1217,17179,"Tazewell County, Illinois"
30166,3025,2081,944,3281,1682,1599,5559,3344,2215,5107,4499,608,4917,3888,1029,8277,7583,694,17183,"Vermilion County, Illinois"
231647,7547,4911,2636,9325,6645,2680,22283,17105,5178,21945,18556,3389,38133,34226,3907,132414,128060,4354,17197,"Will County, Illinois"
27815,1769,1100,669,4382,2018,2364,5694,4355,1339,4098,3412,686,4399,3586,813,7473,6810,663,17199,"Williamson County, Illinois"
114337,7171,5097,2074,11918,8547,3371,20316,16499,3817,13795,11828,1967,22386,20488,1898,38751,36950,1801,17201,"Winnebago County, Illinois"
147638,8042,4999,3043,13378,8468,4910,23030,17938,5092,23115,20393,2722,28663,26190,2473,51410,48661,2749,18003,"Allen County, Indiana"
31891,1419,605,814,2291,909,1382,4853,3057,1796,3893,3447,446,6961,6340,621,12474,12361,113,18005,"Bartholomew County, Indiana"
45905,2009,815,1194,3559,1605,1954,7049,4917,2132,7481,5598,1883,9100,7272,1828,16707,15243,1464,18019,"Clark County, Indiana"
45311,4444,2822,1622,5779,3605,2174,9483,6874,2609,5984,4427,1557,7961,7240,721,11660,11102,558,18035,"Delaware County, Indiana"
73660,4147,3679,468,4815,3164,1651,10539,7898,2641,10755,8821,1934,16810,14895,1915,26594,24127,2467,18039,"Elkhart County, Indiana"
30300,811,562,249,2961,1654,1307,2984,1873,1111,4171,3652,519,6052,4911,1141,13321,12228,1093,18043,"Floyd County, Indiana"
26923,1799,906,893,3428,2123,1305,4813,3111,1702,4890,3981,909,5390,4421,969,6603,5995,608,18053,"Grant County, Indiana"
122876,2489,2102,387,4592,3345,1247,9282,7406,1876,10062,9434,628,18678,17059,1619,77773,76547,1226,18057,"Hamilton County, Indiana"
29605,847,511,336,1835,812,1023,3914,2704,1210,2719,2120,599,6544,5745,799,13746,12799,947,18059,"Hancock County, Indiana"
60368,1226,906,320,2329,1773,556,4731,3872,859,7167,6240,927,11721,10466,1255,33194,31716,1478,18063,"Hendricks County, Indiana"
35139,2090,1165,925,3549,2254,1295,5084,3501,1583,4642,3573,1069,7191,6272,919,12583,11142,1441,18067,"Howard County, Indiana"
57504,2301,1528,773,2410,1641,769,8147,6595,1552,6558,5900,658,12218,11483,735,25870,25261,609,18081,"Johnson County, Indiana"
30798,1272,873,399,2217,1279,938,4304,3000,1304,5107,3769,1338,7121,5968,1153,10777,10439,338,18085,"Kosciusko County, Indiana"
186769,12598,7343,5255,17624,10927,6697,29942,22043,7899,24826,21177,3649,32674,28746,3928,69105,65847,3258,18089,"Lake County, Indiana"
43122,2225,1617,608,5417,3232,2185,6778,4724,2054,6294,5083,1211,8447,7658,789,13961,13061,900,18091,"LaPorte County, Indiana"
50426,4311,2018,2293,4961,3390,1571,9057,6703,2354,7060,5658,1402,10832,9644,1188,14205,13663,542,18095,"Madison County, Indiana"
373634,30156,16514,13642,41629,27019,14610,61710,46268,15442,59619,47381,12238,69010,60441,8569,111510,105823,5687,18097,"Marion County, Indiana"
57102,5761,4824,937,6531,5061,1470,9616,8193,1423,7794,6937,857,9414,8170,1244,17986,17223,763,18105,"Monroe County, Indiana"
25968,1643,1017,626,1623,1415,208,2808,1480,1328,3095,2539,556,4906,4551,355,11893,11456,437,18109,"Morgan County, Indiana"
66144,3607,2736,871,4754,3043,1711,8189,5736,2453,8822,7001,1821,11278,10760,518,29494,28029,1465,18127,"Porter County, Indiana"
107730,7743,3678,4065,10046,6443,3603,17852,13293,4559,15044,12183,2861,19110,16531,2579,37935,35541,2394,18141,"St. Joseph County, Indiana"
70446,7074,5179,1895,5926,3666,2260,12620,10832,1788,9496,8094,1402,12793,11948,845,22537,21469,1068,18157,"Tippecanoe County, Indiana"
75058,6447,3707,2740,7592,4606,2986,13046,10023,3023,10089,8601,1488,13310,12003,1307,24574,23800,774,18163,"Vanderburgh County, Indiana"
43262,3667,2690,977,4620,3439,1181,7158,5919,1239,6828,5956,872,8282,7705,577,12707,12459,248,18167,"Vigo County, Indiana"
28338,1720,1064,656,3501,1880,1621,5409,4190,1219,5061,3676,1385,5960,4689,1271,6687,6408,279,18177,"Wayne County, Indiana"
53386,3327,2134,1193,6155,4291,1864,9618,7453,2165,6043,5383,660,10766,9326,1440,17477,16778,699,19013,"Black Hawk County, Iowa"
35492,923,301,622,1524,1084,440,3774,3000,774,3199,2756,443,5809,5431,378,20263,19646,617,19049,"Dallas County, Iowa"
38501,2601,1932,669,3405,2254,1151,5214,3842,1372,4896,3990,906,7642,6644,998,14743,13815,928,19061,"Dubuque County, Iowa"
60868,5694,4606,1088,5441,3483,1958,7502,6614,888,6748,6159,589,9216,8672,544,26267,25487,780,19103,"Johnson County, Iowa"
91747,4422,2620,1802,7032,4766,2266,11006,7972,3034,11761,10601,1160,18817,17283,1534,38709,37374,1335,19113,"Linn County, Iowa"
189546,7995,4509,3486,12093,7838,4255,23773,17037,6736,24010,20435,3575,35858,33086,2772,85817,82899,2918,19153,"Polk County, Iowa"
36635,2143,995,1148,3522,1922,1600,6397,4179,2218,4834,3750,1084,6840,6134,706,12899,12307,592,19155,"Pottawattamie County, Iowa"
66905,3727,2521,1206,5105,2890,2215,10124,7125,2999,9348,8468,880,11748,10512,1236,26853,26036,817,19163,"Scott County, Iowa"
37290,4656,3134,1522,2989,1581,1408,4206,2780,1426,5141,3125,2016,7473,6429,1044,12825,12114,711,19169,"Story County, Iowa"
39253,1768,1033,735,2852,1637,1215,7457,5557,1900,3927,3245,682,6974,6050,924,16275,15358,917,19193,"Woodbury County, Iowa"
24692,769,539,230,2099,1114,985,2871,2074,797,3234,2427,807,5369,5287,82,10350,9872,478,20015,"Butler County, Kansas"
48907,4159,3326,833,4340,3200,1140,7035,5507,1528,6196,5527,669,9210,8365,845,17967,17687,280,20045,"Douglas County, Kansas"
231184,7178,5575,1603,11228,8835,2393,20769,16760,4009,22237,19645,2592,37545,35102,2443,132227,129897,2330,20091,"Johnson County, Kansas"
26654,1164,925,239,2387,1439,948,3760,2757,1003,3256,2582,674,3465,3029,436,12622,12053,569,20103,"Leavenworth County, Kansas"
26617,2366,2194,172,3051,2689,362,5057,4341,716,3943,3241,702,3957,3396,561,8243,7840,403,20161,"Riley County, Kansas"
198024,12065,7757,4308,19926,11688,8238,30033,24113,5920,27052,24057,2995,37676,34300,3376,71272,67697,3575,20173,"Sedgwick County, Kansas"
72788,5410,1720,3690,7066,3298,3768,10235,6817,3418,12266,8263,4003,12103,9238,2865,25708,23075,2633,20177,"Shawnee County, Kansas"
60708,5624,3253,2371,5362,3575,1787,11481,7974,3507,9498,8166,1332,12383,11284,1099,16360,15292,1068,20209,"Wyandotte County, Kansas"
47684,771,460,311,1672,968,704,6149,5052,1097,4894,4618,276,9673,8767,906,24525,23702,823,21015,"Boone County, Kentucky"
29789,1908,1117,791,2131,1325,806,4246,3565,681,4038,2986,1052,5911,5160,751,11555,11476,79,21029,"Bullitt County, Kentucky"
36992,4246,2394,1852,2747,1853,894,4020,2588,1432,4155,3479,676,6541,6199,342,15283,14108,1175,21037,"Campbell County, Kentucky"
26114,1958,1028,930,3452,2366,1086,6341,5346,995,4172,3315,857,4460,3845,615,5731,5316,415,21047,"Christian County, Kentucky"
39590,2630,1844,786,3918,2815,1103,6920,5695,1225,5797,4980,817,7989,7221,768,12336,11822,514,21059,"Daviess County, Kentucky"
131067,7796,5972,1824,9762,7788,1974,21076,18188,2888,21284,19164,2120,22004,19832,2172,49145,47897,1248,21067,"Fayette County, Kentucky"
41625,2668,1211,1457,3507,1643,1864,8512,6538,1974,5553,3573,1980,7622,6823,799,13763,11905,1858,21093,"Hardin County, Kentucky"
311263,21494,14110,7384,30806,20995,9811,45606,35776,9830,41625,36487,5138,56992,52184,4808,114740,110110,4630,21111,"Jefferson County, Kentucky"
64611,2909,1661,1248,4428,3073,1355,8494,6840,1654,7769,6902,867,14065,13077,988,26946,26394,552,21117,"Kenton County, Kentucky"
27650,1288,1018,270,4303,2744,1559,4979,3830,1149,3924,3677,247,5206,4937,269,7950,7441,509,21145,"McCracken County, Kentucky"
33396,2557,1608,949,3326,2312,1014,5533,4549,984,4468,4307,161,5562,5008,554,11950,11423,527,21151,"Madison County, Kentucky"
21237,434,318,116,1123,972,151,1498,1032,466,2166,2066,100,2494,2314,180,13522,13240,282,21185,"Oldham County, Kentucky"
48843,2995,1854,1141,5529,4311,1218,7467,5997,1470,6312,5125,1187,8918,8455,463,17622,16782,840,21227,"Warren County, Kentucky"
45102,3694,2879,815,2771,2279,492,4740,2856,1884,4048,3613,435,6182,5725,457,23667,22816,851,22005,"Ascension Parish, Louisiana"
50099,2506,1347,1159,5791,2432,3359,8072,4238,3834,6133,3466,2667,9366,6767,2599,18231,12013,6218,22015,"Bossier Parish, Louisiana"
94778,8172,3474,4698,13561,6098,7463,20908,12977,7931,12385,9201,3184,15814,12040,3774,23938,19668,4270,22017,"Caddo Parish, Louisiana"
78351,4756,1747,3009,7957,4632,3325,15854,11041,4813,11305,9099,2206,12415,10940,1475,26064,23176,2888,22019,"Calcasieu Parish, Louisiana"
163274,14167,9466,4701,15406,11043,4363,26438,21812,4626,21027,18705,2322,24797,22591,2206,61439,58394,3045,22033,"East Baton Rouge Parish, Louisiana"
25386,2093,1548,545,3750,2233,1517,4759,3529,1230,3553,2752,801,4390,4065,325,6841,6517,324,22045,"Iberia Parish, Louisiana"
167596,12345,7787,4558,17097,9276,7821,27036,18374,8662,26032,20970,5062,26811,24425,2386,58275,55105,3170,22051,"Jefferson Parish, Louisiana"
94002,7215,4691,2524,8439,5489,2950,15732,13572,2160,10260,9275,985,17654,15986,1668,34702,33258,1444,22055,"Lafayette Parish, Louisiana"
35838,3059,1682,1377,4462,2229,2233,5617,4483,1134,4698,3682,1016,4941,4484,457,13061,11967,1094,22057,"Lafourche Parish, Louisiana"
49084,2483,1334,1149,3942,2859,1083,5774,3852,1922,5944,5294,650,9922,9092,830,21019,20578,441,22063,"Livingston Parish, Louisiana"
155104,23009,11413,11596,24077,15353,8724,24944,19690,5254,17554,14192,3362,22577,19355,3222,42943,41010,1933,22071,"Orleans Parish, Louisiana"
55599,7156,3443,3713,6288,3055,3233,10011,7914,2097,6748,5485,1263,8986,7286,1700,16410,15258,1152,22073,"Ouachita Parish, Louisiana"
48915,5081,3044,2037,5156,3219,1937,8338,6479,1859,6394,5851,543,7012,6430,582,16934,16190,744,22079,"Rapides Parish, Louisiana"
29965,6143,1826,4317,4550,2084,2466,4879,2864,2015,3839,2480,1359,4039,2965,1074,6515,5187,1328,22097,"St. Landry Parish, Louisiana"
93589,4817,3072,1745,8149,4428,3721,12865,10389,2476,11255,9707,1548,14798,13064,1734,41705,40579,1126,22103,"St. Tammany Parish, Louisiana"
47401,4624,2532,2092,4659,3005,1654,8265,5643,2622,7253,6496,757,7919,7259,660,14681,13839,842,22105,"Tangipahoa Parish, Louisiana"
37911,2474,1772,702,4202,2527,1675,6502,4882,1620,5128,4524,604,6719,5741,978,12886,12306,580,22109,"Terrebonne Parish, Louisiana"
44897,2911,1905,1006,5972,3457,2515,6148,4938,1210,7498,6415,1083,7721,6836,885,14647,14271,376,23001,"Androscoggin County, Maine"
123485,5625,3868,1757,9058,5418,3640,12956,10623,2333,13537,11483,2054,22312,21200,1112,59997,58236,1761,23005,"Cumberland County, Maine"
54299,3010,2024,986,6044,3170,2874,9147,6916,2231,8259,7109,1150,9963,8811,1152,17876,16854,1022,23011,"Kennebec County, Maine"
61765,4974,3190,1784,8572,6719,1853,9806,7452,2354,8797,7089,1708,10167,9151,1016,19449,18601,848,23019,"Penobscot County, Maine"
88416,3740,2523,1217,7842,5696,2146,11004,7884,3120,11364,9702,1662,14470,12977,1493,39996,38271,1725,23031,"York County, Maine"
27190,2328,1436,892,3533,2025,1508,5750,3911,1839,3875,3139,736,4661,4108,553,7043,6870,173,24001,"Allegany County, Maryland"
212687,7313,5387,1926,8774,5829,2945,12007,9446,2561,17533,15169,2364,34024,30842,3182,133036,129638,3398,24003,"Anne Arundel County, Maryland"
313259,14672,10083,4589,19402,13065,6337,31088,23371,7717,34434,28986,5448,54887,49096,5791,158776,152501,6275,24005,"Baltimore County, Maryland"
32145,765,482,283,1058,257,801,1578,1122,456,2435,2178,257,3940,3440,500,22369,21387,982,24009,"Calvert County, Maryland"
60371,2838,1926,912,2749,1881,868,4656,3365,1291,4616,3539,1077,8004,6719,1285,37508,36067,1441,24013,"Carroll County, Maryland"
36620,1975,919,1056,1772,1045,727,3615,2350,1265,4711,3877,834,6385,5621,764,18162,16798,1364,24015,"Cecil County, Maryland"
56947,2134,1176,958,2397,1852,545,4017,3031,986,4525,3273,1252,8969,7614,1355,34905,33057,1848,24017,"Charles County, Maryland"
95903,1963,1071,892,5014,3230,1784,6655,4853,1802,10656,8909,1747,12704,11793,911,58911,57386,1525,24021,"Frederick County, Maryland"
94802,3833,2244,1589,4272,2857,1415,9090,6551,2539,9326,7732,1594,13608,12388,1220,54673,53402,1271,24025,"Harford County, Maryland"
116903,2878,2605,273,3914,2481,1433,6942,5574,1368,7311,6278,1033,14005,12933,1072,81853,81011,842,24027,"Howard County, Maryland"
368334,13230,8481,4749,14479,10202,4277,24543,20385,4158,25948,24006,1942,45768,42632,3136,244366,237252,7114,24031,"Montgomery County, Maryland"
315759,12538,9110,3428,13718,9888,3830,26923,21442,5481,31226,24804,6422,57432,50370,7062,173922,165196,8726,24033,"Prince George''s County, Maryland"
41239,1420,593,827,2744,2432,312,3106,2214,892,3815,2573,1242,5581,4746,835,24573,23431,1142,24037,"St. Mary''s County, Maryland"
56306,2881,1479,1402,5098,2745,2353,7220,5624,1596,7591,6344,1247,11246,9621,1625,22270,21000,1270,24043,"Washington County, Maryland"
38084,2930,2134,796,2989,1966,1023,6860,5037,1823,4320,3094,1226,7431,6233,1198,13554,12659,895,24045,"Wicomico County, Maryland"
237204,26831,15825,11006,28797,16847,11950,29447,21349,8098,31113,22663,8450,39007,32151,6856,82009,76854,5155,24510,"Baltimore city, Maryland"
86671,3347,2683,664,6069,4329,1740,11217,8620,2597,9814,8409,1405,16099,15310,789,40125,38667,1458,25001,"Barnstable County, Massachusetts"
55212,3558,2866,692,6535,4477,2058,6873,5114,1759,7221,6062,1159,8961,8525,436,22064,20680,1384,25003,"Berkshire County, Massachusetts"
215132,11476,6634,4842,18760,10873,7887,29216,18644,10572,22159,17951,4208,37829,34439,3390,95692,90606,5086,25005,"Bristol County, Massachusetts"
295481,15960,9572,6388,24995,16543,8452,31865,25400,6465,28116,22909,5207,44369,39590,4779,150176,145658,4518,25009,"Essex County, Massachusetts"
30391,1221,938,283,2841,1662,1179,4176,2518,1658,4435,3387,1048,5779,5276,503,11939,11268,671,25011,"Franklin County, Massachusetts"
178678,15724,7961,7763,19628,12004,7624,28983,19959,9024,20791,17234,3557,28397,25651,2746,65155,61471,3684,25013,"Hampden County, Massachusetts"
58902,2859,1632,1227,5004,3594,1410,6733,5570,1163,5607,5071,536,8581,7499,1082,30118,28382,1736,25015,"Hampshire County, Massachusetts"
612224,25538,17498,8040,36007,23604,12403,48743,36847,11896,46792,40637,6155,76544,70633,5911,378600,369434,9166,25017,"Middlesex County, Massachusetts"
267880,9373,7526,1847,16111,10799,5312,20595,16110,4485,20920,17675,3245,35806,32766,3040,165075,160477,4598,25021,"Norfolk County, Massachusetts"
189304,7555,5048,2507,14121,7640,6481,16123,12396,3727,16012,13900,2112,27353,25128,2225,108140,103537,4603,25023,"Plymouth County, Massachusetts"
315049,28710,19900,8810,33880,21958,11922,30612,23919,6693,28478,24614,3864,42214,36844,5370,151155,146292,4863,25025,"Suffolk County, Massachusetts"
308831,15705,11270,4435,24787,14514,10273,34877,26891,7986,33361,29314,4047,51082,47240,3842,149019,144621,4398,25027,"Worcester County, Massachusetts"
43992,2092,860,1232,2885,1662,1223,7866,5829,2037,4629,3998,631,9513,8676,837,17007,16414,593,26005,"Allegan County, Michigan"
44469,2629,1817,812,4078,2875,1203,7748,6109,1639,7404,6232,1172,9204,8445,759,13406,12555,851,26017,"Bay County, Michigan"
64783,4246,2433,1813,7974,4573,3401,10017,6551,3466,9388,6706,2682,11632,8544,3088,21526,19289,2237,26021,"Berrien County, Michigan"
53914,3416,2281,1135,5342,3568,1774,10802,8531,2271,8344,6857,1487,10935,9685,1250,15075,14281,794,26025,"Calhoun County, Michigan"
29783,1173,921,252,1647,1068,579,3830,2454,1376,3741,3071,670,6009,5487,522,13383,12924,459,26037,"Clinton County, Michigan"
44879,2076,1308,768,2867,2045,822,5611,4226,1385,4615,4082,533,10636,9450,1186,19074,18313,761,26045,"Eaton County, Michigan"
169469,14553,7691,6862,17828,10700,7128,29534,21375,8159,25745,20951,4794,28356,25138,3218,53453,50706,2747,26049,"Genesee County, Michigan"
36782,1221,836,385,2965,1904,1061,4016,2803,1213,5259,4697,562,7108,6194,914,16213,15367,846,26055,"Grand Traverse County, Michigan"
112170,8949,5426,3523,12143,8301,3842,17778,12785,4993,14824,12464,2360,20352,18421,1931,38124,36798,1326,26065,"Ingham County, Michigan"
25367,2632,1636,996,2988,2101,887,4327,2920,1407,3247,2424,823,5171,4507,664,7002,6509,493,26073,"Isabella County, Michigan"
62598,4262,2657,1605,6262,3582,2680,11356,8341,3015,8789,7913,876,12694,11604,1090,19235,18254,981,26075,"Jackson County, Michigan"
104234,6759,5006,1753,8045,5909,2136,17048,13612,3436,14580,13219,1361,19345,18086,1259,38457,37429,1028,26077,"Kalamazoo County, Michigan"
244046,12549,7336,5213,18395,12340,6055,33539,25399,8140,34661,30273,4388,45870,42204,3666,99032,96555,2477,26081,"Kent County, Michigan"
33560,2394,1651,743,2258,1438,820,4048,2796,1252,4263,3326,937,6619,6060,559,13978,13039,939,26087,"Lapeer County, Michigan"
38388,1600,1082,518,3495,1878,1617,6307,4481,1826,5710,4223,1487,8093,7565,528,13183,12611,572,26091,"Lenawee County, Michigan"
72676,2137,1646,491,3150,2524,626,6596,4759,1837,7684,6715,969,12682,11519,1163,40427,38794,1633,26093,"Livingston County, Michigan"
347508,16835,11550,5285,27105,18292,8813,49261,39868,9393,48025,41838,6187,62827,57494,5333,143455,139217,4238,26099,"Macomb County, Michigan"
26328,1830,1265,565,2265,1223,1042,3499,2418,1081,4229,3543,686,5619,4995,624,8886,8184,702,26103,"Marquette County, Michigan"
34091,2083,619,1464,3156,1914,1242,5604,4016,1588,3980,3296,684,6475,5979,496,12793,12377,416,26111,"Midland County, Michigan"
61586,2678,1457,1221,5104,2498,2606,8020,6188,1832,7942,6284,1658,12748,11797,951,25094,23584,1510,26115,"Monroe County, Michigan"
67196,3944,2431,1513,7117,4807,2310,11242,8486,2756,11233,10020,1213,13196,11304,1892,20464,19112,1352,26121,"Muskegon County, Michigan"
503645,23228,15598,7630,31372,21060,10312,56799,44390,12409,49373,42768,6605,78381,72879,5502,264492,257930,6562,26125,"Oakland County, Michigan"
103438,2903,2080,823,5887,2766,3121,11381,8683,2698,13598,11550,2048,21480,20062,1418,48189,46723,1466,26139,"Ottawa County, Michigan"
78740,6692,4048,2644,7952,5355,2597,13582,10192,3390,12147,9967,2180,14423,13262,1161,23944,22636,1308,26145,"Saginaw County, Michigan"
65751,3947,2457,1490,5782,3516,2266,9541,7196,2345,9598,8380,1218,12188,11016,1172,24695,23648,1047,26147,"St. Clair County, Michigan"
28218,1175,780,395,2024,1171,853,4651,3429,1222,5208,4124,1084,6182,5629,553,8978,8363,615,26155,"Shiawassee County, Michigan"
28607,1473,916,557,2887,2066,821,4070,2391,1679,3741,2950,791,6408,5873,535,10028,9477,551,26159,"Van Buren County, Michigan"
143072,12168,9545,2623,10365,8094,2271,14747,12614,2133,15320,13849,1471,21465,20335,1130,69007,66823,2184,26161,"Washtenaw County, Michigan"
687546,81587,43801,37786,75692,46500,29192,110935,80480,30455,94650,74344,20306,117076,104061,13015,207606,195147,12459,26163,"Wayne County, Michigan"
26362,1224,840,384,2795,2021,774,4456,3720,736,2779,2607,172,4737,4282,455,10371,9915,456,27013,"Blue Earth County, Minnesota"
36925,815,418,397,1477,970,507,1768,1058,710,3738,2964,774,5144,4951,193,23983,23554,429,27019,"Carver County, Minnesota"
162496,4247,2946,1301,7659,5201,2458,14255,11576,2679,16797,15018,1779,25847,23952,1895,93691,91697,1994,27037,"Dakota County, Minnesota"
508964,26399,18863,7536,31100,18341,12759,57278,43452,13826,52655,45892,6763,83299,74804,8495,258233,250522,7711,27053,"Hennepin County, Minnesota"
63462,2540,1553,987,4707,2760,1947,6411,4684,1727,8067,6776,1291,9846,8998,848,31891,30555,1336,27109,"Olmsted County, Minnesota"
209287,13078,9025,4053,14855,10889,3966,27503,21917,5586,26940,23565,3375,36177,33024,3153,90734,86621,4113,27123,"Ramsey County, Minnesota"
23358,1404,1025,379,1468,733,735,3359,2503,856,3331,2829,502,3438,3219,219,10358,9771,587,27131,"Rice County, Minnesota"
