total,less_10000_total,less_10000_internet,less_10000_none,_10000_19900_total,_10000_19900_internet,_10000_19900_none,_20000_34999_total,_20000_34999_internet,_20000_34999_none,_35000_49999_total,_35000_49999_internet,_35000_49999_none,_50000_74900_total,_50000_74900_internet,_50000_74900_none,greater_75000_total,greater_75000_internet,greater_75000_none,id,geographic_area_name
43701,3837,2039,1798,4263,3083,1180,7483,5041,2442,5849,4394,1455,6899,6380,519,15370,14394,976,5045,"Faulkner County, Arkansas"
40407,3797,2703,1094,3888,2470,1418,8103,5660,2443,5937,5621,316,7930,6573,1357,10752,10081,671,5051,"Garland County, Arkansas"
25689,2810,1587,1223,3284,1947,1337,6551,3917,2634,3003,2145,858,3984,2847,1137,6057,5127,930,5069,"Jefferson County, Arkansas"
28132,1106,507,599,3340,2228,1112,4647,3405,1242,4331,3995,336,5279,4537,742,9429,9094,335,5085,"Lonoke County, Arkansas"
157678,12603,6546,6057,16353,9549,6804,25511,18900,6611,25120,20664,4456,23880,21572,2308,54211,50643,3568,5119,"Pulaski County, Arkansas"
30765,1522,585,937,2944,1694,1250,5160,3436,1724,3813,3503,310,6679,6032,647,10647,10500,147,1115,"St. Clair County, Alabama"
90270,7472,5287,2185,10613,6972,3641,17062,13790,3272,13932,11871,2061,19240,16451,2789,21951,20669,1282,4015,"Mohave County, Arizona"
34285,4685,1581,3104,4272,2210,2062,5877,3540,2337,5481,3469,2012,6101,4659,1442,7869,6573,1296,4017,"Navajo County, Arizona"
402323,28808,18589,10219,38939,27671,11268,59376,47461,11915,61243,53747,7496,77015,71777,5238,136942,132043,4899,4019,"Pima County, Arizona"
147936,8490,5443,3047,9129,6066,3063,22792,17356,5436,19614,16966,2648,34474,31019,3455,53437,51787,1650,4021,"Pinal County, Arizona"
100836,5256,3886,1370,12819,7909,4910,18130,14358,3772,15904,13577,2327,19982,18173,1809,28745,27378,1367,4025,"Yavapai County, Arizona"
74532,6122,3725,2397,8025,4993,3032,16093,11538,4555,10489,9018,1471,13346,11771,1575,20457,18745,1712,4027,"Yuma County, Arizona"
100128,2705,1806,899,6618,3578,3040,12504,8615,3889,13302,10719,2583,18973,15516,3457,46026,43981,2045,5007,"Benton County, Arkansas"
42631,3789,2152,1637,4772,2823,1949,8113,5988,2125,6318,4753,1565,7706,7203,503,11933,11089,844,5031,"Craighead County, Arkansas"
