id,total,i_under_050,i_050_074,i_075_099,i_100_124,i_125_149,i_150_174,i_175_184,i_185_199,i_200_299,i_300_399,i_400_499,i_500_over
4027,57564,4725,2050,2603,5040,4577,2548,1952,2002,9636,8118,5814,8499
5007,72344,1215,1096,2105,2694,3404,2153,1248,1699,11854,10610,7983,26283
5031,26748,1170,1436,1165,1937,1091,1779,384,519,3879,5006,2793,5589
5045,27357,831,1078,1046,802,1336,1330,216,915,4211,3070,3678,8844
5051,27143,1839,1030,2000,1309,426,1601,351,585,4413,3317,3327,6945
5069,14864,989,311,1474,794,1056,286,142,781,2451,1929,1615,3036
5085,20157,583,906,202,828,642,1467,750,556,3095,2831,2809,5488
5119,97688,5357,3353,3847,5125,4542,4540,1508,2685,13956,11532,8193,33050
5125,32652,563,782,1298,458,889,1042,410,1299,5394,4341,4920,11256
5131,34503,1809,687,1328,1816,2556,2352,815,851,6917,4840,3421,7111
5143,58171,1912,2825,2090,1869,2948,2879,1075,1840,11544,8299,4924,15966
5145,20733,1149,631,970,1366,696,794,321,402,4257,3755,1854,4538
6001,381320,9360,4119,6034,6994,8757,8547,4911,5416,37926,39338,34316,215602
6007,51467,2386,1372,1868,2825,1996,2536,862,862,7986,7344,5672,15758
6013,285418,7018,4462,4101,5056,8785,6423,2816,4843,28491,29491,28879,155053
6017,49875,973,686,756,770,1334,825,715,398,5314,6461,6134,25509
6019,220824,13899,10711,13404,12457,12799,11105,4467,6148,35305,26772,20356,53401
6023,29581,1050,1296,1067,1508,1182,771,449,937,5335,4173,2768,9045
6025,30792,2174,2060,1849,1937,1884,903,668,1365,5952,3675,3805,4520
6029,201894,12730,11344,10019,11788,10853,9120,6542,6994,37539,22184,16607,46174
6031,33774,2132,1194,1942,1419,1749,1155,1200,1061,6185,4606,2270,8861
6033,16035,662,1025,164,41,1223,970,664,453,2763,1760,795,5515
6037,2193349,89212,62095,79211,105628,103375,91966,43388,51810,336944,278729,213374,737617
6039,33834,2078,2248,1690,1554,1861,1449,763,613,6055,6072,2307,7144
6041,67597,1327,495,466,657,473,613,165,291,4485,3946,4097,50582
6045,21433,904,588,1704,482,486,1216,577,294,3530,3388,2318,5946
6047,57977,4251,1240,3849,3031,3277,2508,1006,1374,12293,8000,3762,13386
