id,total
36047,2582830
36051,63227
36053,70795
36055,742474
36059,1358343
36061,1628701
36063,210433
36065,229577
36067,461809
36069,109864
36071,381951
36075,117898
36079,98892
36081,2278906
36083,159442
36085,476179
36087,325695
36089,108047
36091,230163
36093,155350
36101,95796
36103,1481093
36105,75498
36109,102793
36111,178599
36113,64265
36117,90064
36119,967612
37001,166436
37019,136744
37021,259103
37023,90382
37025,211342
37027,82029
37031,69524
37035,158652
37037,73139
37045,97645
37049,102912
37051,332330
37057,166614
37063,316739
37067,379099
37069,67560
37071,222846
37081,533670
37085,134214
37089,116748
37097,178435
37101,202675
37109,83770
37119,1093901
37125,98682
37127,94016
37129,232274
37133,197683
37135,146027
37147,179914
37151,143351
37155,131831
37157,90690
37159,141262
37161,66826
37171,71948
37179,235908
37183,1092305
37191,123248
37193,68557
37195,81455
38015,95273
38017,181516
38035,70770
38101,67744
39003,102663
39007,97493
39009,65818
39013,67505
39017,382378
39023,134585
39025,205466
39029,102665
39035,1243857
39041,204826
39043,74615
39045,155782
39049,1310300
39055,94031
39057,167995
39061,816684
39063,75930
39081,65767
39085,230514
39089,175769
39093,309461
39095,429899
39099,229642
39101,65256
39103,179146
39109,106222
39113,532331
39119,86183
39133,162927
39139,121099
39141,76931
39145,75502
39151,371574
39153,541918
39155,198627
39157,92176
39165,232173
39169,115967
39173,130696
40017,144447
40027,281669
40031,120422
40037,71604
40101,68362
40109,792582
40119,82040
40125,72679
40131,91984
40143,648360
40145,80110
41003,92101
41005,416075
41017,191996
41019,110283
41029,219564
41033,87393
41035,67653
41039,379611
41043,127335
41047,346868
41051,811880
41053,85234
41059,77516
41067,597695
41071,107002
42001,102811
42003,1218452
42005,65263
42007,164742
42011,420152
42013,122492
42017,628195
42019,187888
42021,131730
42025,64227
42027,162805
42029,522046
42033,79388
42037,65456
42039,85063
42041,251423
42043,277097
42045,564751
42049,272061
42051,130441
42055,154835
42063,84501
42069,210793
42071,543557
42073,86184
42075,141314
42077,368100
42079,317646
42081,113664
42085,110683
42089,169507
42091,828604
42095,304807
42097,91083
42101,1584138
42107,142067
42111,73952
42125,207346
42129,350611
42133,448273
44003,163861
44005,82542
44007,636084
44009,126179
45003,169401
45007,200482
45013,188715
