id,no_internet,has_internet
26159,2429,23418
26161,6939,130467
26163,78749,536559
27003,4403,117027
27013,1396,23303
27019,1588,33696
27037,6042,149801
27053,33936,448207
27109,4067,55213
27123,11180,183310
27131,1038,19933
27137,5953,68261
27139,1732,46412
27141,1121,29564
27145,4603,49160
27163,2697,88479
27171,1611,43160
28033,2898,56680
28035,2557,20589
28047,7179,68504
28049,7352,68982
28059,4296,43159
28067,7080,15554
28075,1854,24115
28081,3736,24557
28089,1254,37350
28121,5649,45815
29019,8390,60713
29021,2610,28165
29031,1532,24621
29037,2919,34812
29043,2708,26169
29047,5937,81778
29051,6333,21409
29071,2969,33743
29077,16788,95002
29095,25757,241247
29097,3064,39353
29099,5292,76049
29165,1697,37127
29183,4953,138135
29187,869,20965
29189,17551,361416
29510,15973,109712
30013,2463,28415
30029,1975,32901
30031,2769,39313
30049,1674,23243
30063,1871,46052
30111,5074,55626
31055,11240,193243
31109,6438,112138
31153,2510,60795
32003,68833,687130
32031,13050,163004
33005,1380,25772
33009,3666,28910
33011,6832,146097
33013,2343,52754
33015,4176,110385
33017,3721,41423
34001,6729,84148
34003,12981,305315
34005,7882,148613
34007,12520,160371
34009,2323,34144
34011,3361,41256
34013,23993,242337
34015,3425,91715
34017,15105,231294
34019,1322,44193
34021,11685,112843
34023,14463,254538
34025,10590,211273
34027,4506,167675
34029,16669,188871
34031,13860,142755
34033,1793,20249
34035,3434,111184
34037,1405,49854
34039,10857,163612
34041,2001,35736
35001,29826,220422
35005,3085,16291
35013,15114,55098
35025,2405,18652
35031,3623,9975
35035,2410,19430
35043,3219,45270
35045,5752,31244
35049,3887,51232
35061,3842,21161
36001,7070,107678
36005,59198,390786
36007,4719,64040
36009,2662,24137
36011,2354,24452
36013,4291,42160
36015,2436,28020
36019,2119,26721
36027,5611,95667
36029,21954,327910
36045,2981,37804
36047,71742,791247
36051,1377,20483
36053,1162,22440
36055,15780,259990
36059,17471,404399
36061,43330,652531
36063,6467,72889
36065,4319,75027
36067,16943,146550
36069,2115,38577
36071,8593,107625
36075,2152,39238
36079,1131,32386
36081,55436,672338
36083,2749,57312
36085,14866,138826
36087,3949,84528
36089,2556,33476
36091,4469,84210
36093,3866,46566
36101,2985,32605
36103,20457,447399
36105,2152,23478
36109,3558,34925
36111,3627,60969
36113,2013,22334
36117,1972,29998
36119,19201,308614
37001,6352,51026
37019,1718,51885
37021,6452,89575
37023,5235,26626
37025,2850,67292
37027,1961,25332
37031,1527,25226
37035,4090,52517
37037,3408,22466
37045,5704,22701
37049,2736,34750
37051,6787,110813
37057,6551,54567
37063,7811,113859
37067,17587,120666
37069,1300,22039
37071,5790,70096
37081,18930,170429
37085,5806,36696
37089,2875,41891
37097,3758,58953
37101,9823,54204
37109,1327,30559
37119,23661,376690
37125,1860,34741
37127,2917,30625
37129,7745,85273
37133,3520,60874
37135,3562,47069
37147,5275,56980
37151,6019,43818
37155,8681,30187
37157,3618,24868
37159,3444,43602
37161,2992,19142
37171,6108,17416
37179,2219,71759
37183,20198,375840
37191,3262,39462
37193,2720,23171
37195,2749,23879
38015,4229,33500
38017,6372,63094
38035,3828,24318
38101,2204,22723
39003,2236,34719
39007,2047,27567
39009,1991,17974
39013,1935,18182
39017,7849,124781
39023,2659,47625
39025,3936,68279
39029,2401,33931
39035,42886,441910
39041,1377,67701
39043,4195,24593
39045,4414,47142
39049,32474,455447
39055,2112,29421
39057,2812,58193
39061,17098,297477
39063,1488,27788
39081,1207,20804
39085,5619,84671
39089,3154,54144
39093,15317,97831
39095,13358,148375
39099,5806,80220
39101,2543,19405
39103,5022,61693
39109,1541,35679
39113,12487,191051
39119,2722,27623
39133,4974,50861
39139,2334,38294
39141,2917,23322
39145,2165,23022
39151,9536,127026
39153,11483,194441
39155,5765,67035
39157,3268,29013
39165,3227,77364
39169,2130,35536
39173,4357,43433
40017,1559,41225
40027,8217,96668
40031,2224,37144
40037,3007,21160
40101,3526,19319
40109,22409,255574
40119,3487,25350
40125,2062,21668
40131,4117,29182
40143,17054,215741
40145,1657,26699
41003,1180,32992
41005,9977,141196
41017,6351,70460
41019,2954,38358
41029,7734,77490
41033,4508,29929
41035,2362,22183
41039,8930,138922
41043,3600,41512
41047,10459,103045
41051,17431,296562
41053,1458,28489
41059,2367,21158
41067,10575,208786
41071,3069,31129
